absorbance_3.6_1,3.6_1,3.6_2,3.6_3,3.6_4,3.6_5,5.12_1,5.12_2,5.12_3,5.12_4,5.12_5,5.12_6
593.4857,0.05121016,0.04543541,0.02947745,0.04757491,0.05856295,0.05911403,0.0422872,0.02365679,0.06676054,0.03332581,0.02287301
593.9678,0.04997773,0.04345255,0.03144834,0.04931175,0.05504223,0.05686531,0.04513846,0.02342875,0.06643468,0.0363024,0.02351645
594.45,0.04794861,0.04173436,0.03419047,0.04953715,0.05242892,0.05441723,0.04681878,0.02185261,0.06565285,0.03884106,0.02395877
594.9321,0.04519682,0.040525,0.03758124,0.04829363,0.05059507,0.05208258,0.04724566,0.01921119,0.06452976,0.04052614,0.02403917
595.4142,0.04180127,0.03994521,0.04134977,0.04603735,0.04934276,0.05009975,0.04655753,0.01610174,0.06327001,0.04123693,0.02382815
595.8963,0.03793518,0.04002544,0.04504298,0.04345594,0.04851463,0.04861298,0.04505099,0.01330928,0.06212944,0.04112135,0.02359024
596.3784,0.03389309,0.0407083,0.04811585,0.04118652,0.0480795,0.04764565,0.04308272,0.01154005,0.06132119,0.04050338,0.02366605
596.8605,0.03003364,0.04186873,0.05009437,0.03961223,0.04812608,0.04713391,0.04097208,0.01122452,0.06094824,0.03971214,0.02431497
597.3427,0.02673405,0.04331971,0.05067902,0.03884077,0.04881116,0.04695318,0.03898181,0.01247524,0.06099124,0.03898173,0.02561967
597.8248,0.02425878,0.0448445,0.04989006,0.03871892,0.05025371,0.04695218,0.03727786,0.01506447,0.06132878,0.038376,0.02741784
598.3069,0.02269207,0.04623001,0.04804894,0.03897291,0.05245336,0.04696467,0.03594427,0.01854325,0.06181749,0.03784245,0.02936768
598.789,0.02192052,0.04727902,0.04571598,0.03929387,0.05524203,0.04679641,0.03502019,0.02232105,0.06235003,0.03731183,0.03102241
599.2711,0.02165875,0.04786113,0.04348205,0.03945101,0.05830535,0.04626181,0.03451918,0.02583859,0.06291644,0.0368031,0.03200891
599.7532,0.02153995,0.04792895,0.04177827,0.03932046,0.06126658,0.04522754,0.03444649,0.02867821,0.06359965,0.03646389,0.03214578
600.2354,0.02119768,0.04752649,0.04077154,0.03886664,0.06376573,0.04366097,0.03479849,0.03060418,0.06452879,0.03654626,0.03149129
600.7175,0.02040874,0.04677444,0.04031906,0.03812305,0.06558976,0.04167661,0.03555415,0.03160686,0.06578879,0.03728313,0.0303176
601.1996,0.01914705,0.04583447,0.04008412,0.0371594,0.06670307,0.0395215,0.03666336,0.03184475,0.06736299,0.03878201,0.02899943
601.6817,0.01759218,0.0448834,0.03968779,0.03607038,0.06723154,0.03754398,0.03803612,0.03157721,0.0691088,0.04095504,0.02790668
602.1638,0.01606448,0.04406629,0.03890481,0.03496362,0.06739341,0.03608351,0.03955408,0.03105169,0.07081263,0.04353208,0.02726937
602.6459,0.01494015,0.04348133,0.03773504,0.0339519,0.06743333,0.03540431,0.04108283,0.03044088,0.07226951,0.04613737,0.0271506
603.1281,0.01456659,0.04317313,0.03639712,0.03313372,0.06758053,0.03564572,0.04248635,0.02980134,0.0733579,0.04837824,0.02745651
603.6102,0.0151359,0.04312429,0.03520805,0.03254679,0.06799433,0.03678774,0.04366715,0.02906912,0.07409965,0.04998263,0.02800143
604.0923,0.01663877,0.04325608,0.03445318,0.03214833,0.06875442,0.03868354,0.04457476,0.02809946,0.07464232,0.05083668,0.02857068
604.5744,0.01883156,0.04343558,0.03426668,0.03180883,0.06983767,0.04110648,0.04520963,0.02672941,0.07518563,0.05099279,0.02897286
605.0565,0.02131241,0.04351394,0.03458392,0.0313708,0.07111864,0.04383171,0.04560547,0.02486378,0.07585904,0.05061338,0.02908443
605.5386,0.02359695,0.04334937,0.03518917,0.03072109,0.07237124,0.0466602,0.04579728,0.0225152,0.0766437,0.04990972,0.02883985
606.0208,0.02524675,0.04286093,0.03582238,0.02987583,0.07329875,0.04942841,0.04578894,0.01982115,0.0773382,0.04908563,0.02822096
606.5029,0.02601208,0.0420685,0.03631078,0.02900702,0.07361826,0.05200427,0.04554459,0.01699704,0.07764059,0.04829374,0.02724151
606.985,0.0258648,0.04110843,0.03661989,0.02842307,0.0730907,0.05425398,0.04499784,0.01429678,0.07724634,0.0476542,0.02593675
607.4671,0.02502153,0.0402236,0.03686102,0.02846169,0.07158416,0.05604692,0.04409497,0.01195733,0.07600024,0.04725358,0.02435747
607.9492,0.02385244,0.03968701,0.03720811,0.0293313,0.06910201,0.05728484,0.04284297,0.01015295,0.07399046,0.04713653,0.02255743
608.4313,0.02280757,0.03975358,0.03781544,0.03101742,0.06577411,0.05792157,0.04134068,0.009017901,0.07156755,0.04729449,0.02058844
608.9135,0.02227535,0.04056603,0.03872273,0.03321407,0.06184414,0.05798963,0.03978094,0.008653545,0.06925787,0.04764146,0.01848928
609.3956,0.02246454,0.04210381,0.03982794,0.03541529,0.05761551,0.05758513,0.03839104,0.00912929,0.06756283,0.04802416,0.01628337
609.8777,0.02338182,0.04416426,0.04089824,0.03700385,0.05346704,0.0568474,0.03738995,0.01047333,0.06684579,0.04823616,0.01400077
610.3598,0.02483272,0.04639664,0.04164313,0.03747115,0.04981019,0.05590791,0.03690173,0.01261899,0.06717838,0.0480846,0.01170763
610.8419,0.02651997,0.04840582,0.04181616,0.0366037,0.04702906,0.05484926,0.03691188,0.01537029,0.06834494,0.047461,0.009527111
611.324,0.02810486,0.04980318,0.04125641,0.03455068,0.04545987,0.05370183,0.03726414,0.01836292,0.06990413,0.04638052,0.007663069
611.8062,0.02931714,0.05032985,0.03993639,0.0318098,0.04527662,0.05245022,0.03770781,0.02112152,0.07134567,0.04499144,0.006367499
612.2883,0.0300046,0.04990514,0.03794307,0.02903152,0.04642441,0.05106458,0.03799806,0.0231862,0.07225834,0.0435133,0.005875468
612.7704,0.03011807,0.0486106,0.03544578,0.02687848,0.04857742,0.04952757,0.0379504,0.0241906,0.07238091,0.04218198,0.006366579
613.2525,0.02968776,0.0466411,0.03265351,0.02577551,0.05118878,0.04785597,0.03751021,0.02400949,0.07165945,0.04115259,0.007891841
613.7346,0.02877507,0.04421907,0.02978382,0.02581252,0.05363179,0.04610028,0.03674391,0.02278634,0.0701996,0.04045997,0.01036437
614.2167,0.02744748,0.04154768,0.02708175,0.02675094,0.05529613,0.04435229,0.03580713,0.02092189,0.06821856,0.04002834,0.01355945
614.6989,0.02577568,0.03876108,0.02479654,0.02812063,0.0558062,0.04273183,0.03488225,0.01894963,0.06597475,0.03971541,0.01716273
615.181,0.02385863,0.03593658,0.02316313,0.02939538,0.05512039,0.04137822,0.03412826,0.01738599,0.06372287,0.03938221,0.02082872
615.6631,0.02187246,0.03313986,0.02238356,0.03011558,0.05356723,0.04045447,0.0336662,0.01664136,0.06171542,0.03894183,0.02419751
616.1452,0.02007495,0.03047018,0.02254757,0.0300532,0.05175003,0.04011059,0.03356106,0.01689382,0.06015861,0.03839513,0.02697216
616.6273,0.01879011,0.02809427,0.02359184,0.02923587,0.0503586,0.04045541,0.03383822,0.01809789,0.05919962,0.03781683,0.02894274
617.1094,0.01836802,0.02625378,0.02526776,0.02792186,0.04998387,0.04151969,0.03449125,0.02001507,0.05891374,0.03732473,0.02998793
617.5916,0.01906722,0.02519761,0.02719548,0.02648798,0.05087619,0.0432231,0.03548386,0.02230962,0.05927814,0.03702398,0.03009546
618.0737,0.02098596,0.02511502,0.02894033,0.02533397,0.0529075,0.0453644,0.03673725,0.02460085,0.06017549,0.03697943,0.02934814
618.5558,0.02401287,0.02605897,0.03010159,0.0248113,0.05562264,0.04763267,0.03811136,0.02648826,0.06140728,0.03720693,0.02792213
