absorbance_1.11_1A,1.11_1A,1.11_2A,1.11_3A,1.11_4A,1.11_5A,6.9_1,6.9_2,6.9_2_NoCbbes_DiffDrop_Drop1,6.9_2_NoCbbes_DiffDrop_Drop2_1,6.9_2_NoCbbes_DiffDrop_Drop2_2,6.9_2_NoCbbes_DiffDrop_Drop2_3,6.9_2_NoCbbes_SameDrop_1,6.9_2_NoCbbes_SameDrop_2,6.9_3,6.9_4,6.9_5
554.4343,0.008151915,0.04757247,0.0998207,0.0239686,0.06231087,0.0876704,0.07604384,0.0802931,0.04252071,0.06351321,0.0685522,0.0624803,0.06723708,0.04644245,0.06763522,0.02861858
554.9164,0.0108052,0.04900071,0.09944886,0.02271724,0.06249502,0.08385804,0.07576627,0.08098042,0.04320268,0.06198798,0.07293531,0.06470335,0.06792304,0.04889681,0.07014441,0.0271644
555.3985,0.01529481,0.04796939,0.09679765,0.02262348,0.06290239,0.07969245,0.07356676,0.08108205,0.0428526,0.05972686,0.07497454,0.06554537,0.06694934,0.04934679,0.07234509,0.02537095
555.8806,0.02176915,0.04473841,0.09316972,0.02377405,0.06406282,0.07524066,0.06961543,0.08028591,0.04158874,0.05720533,0.07435752,0.0642517,0.06424829,0.04809723,0.07389183,0.02390222
556.3627,0.02995108,0.03966123,0.08932014,0.02607527,0.06514588,0.07063015,0.06469594,0.07841279,0.040801,0.05498489,0.0717856,0.06144099,0.06095967,0.04573281,0.07528948,0.02321547
556.8448,0.03858779,0.03490061,0.08755954,0.02952151,0.06691456,0.06600814,0.05988723,0.07553352,0.03986702,0.05363424,0.06834079,0.05767941,0.05710118,0.04294194,0.07520854,0.02338859
557.327,0.04636332,0.03187089,0.08846954,0.03396831,0.06909057,0.06151282,0.05620532,0.07194263,0.03885917,0.05351657,0.06535865,0.05426074,0.0534849,0.04025892,0.07338822,0.02408574
557.8091,0.05207156,0.03135353,0.0915848,0.0391654,0.07137864,0.05731167,0.05425618,0.06803093,0.03764088,0.05466728,0.06376893,0.0523515,0.05089764,0.03799151,0.06993547,0.0246808
558.2912,0.05489482,0.03325837,0.09570223,0.04475859,0.07366101,0.05365923,0.05408024,0.06411806,0.03589462,0.05671432,0.06374034,0.05257452,0.04988695,0.03621296,0.0652962,0.02447664
558.7733,0.05531978,0.03513667,0.09729965,0.05016556,0.07383084,0.05087302,0.05530944,0.06033294,0.0354677,0.05899517,0.064776,0.05538161,0.05196224,0.03486578,0.06208097,0.02299943
559.2554,0.05268686,0.03985379,0.09931449,0.0501126,0.07738491,0.04929373,0.05602437,0.05667056,0.02993759,0.06070143,0.06492183,0.05340007,0.0545488,0.03391173,0.05821589,0.02012486
559.7375,0.04799301,0.04311959,0.1000986,0.05376668,0.08068033,0.04915137,0.05806384,0.05315283,0.02501831,0.06113736,0.06501021,0.05668886,0.05750492,0.0334456,0.05369453,0.01618306
560.2197,0.04256023,0.04538815,0.09949382,0.05606529,0.08426426,0.05042061,0.05972047,0.04998365,0.01971591,0.05999494,0.06408519,0.05922287,0.0605511,0.03369131,0.0499674,0.01185493
560.7018,0.03747634,0.04690215,0.09813426,0.0567322,0.08776484,0.05276392,0.06074106,0.04766018,0.01479447,0.05744209,0.06265991,0.06028592,0.06288149,0.03493127,0.04702508,0.008051756
561.1839,0.03372709,0.04782832,0.09640806,0.05718551,0.09023328,0.05559207,0.06151044,0.04690886,0.011716,0.05412422,0.06187389,0.0611804,0.06371239,0.03732955,0.04445323,0.005639466
561.666,0.03099759,0.04976351,0.09599606,0.05749427,0.09276558,0.05831883,0.06247978,0.04840475,0.009678056,0.0509007,0.06319986,0.06289497,0.06265295,0.04077916,0.04114079,0.005132979
562.1481,0.03061528,0.05294345,0.09476793,0.05313841,0.09431282,0.06053237,0.06228542,0.05257331,0.008605601,0.04864672,0.06573884,0.05990163,0.06020235,0.04482827,0.03882426,0.006614901
562.6302,0.03187634,0.05599695,0.09183922,0.04752505,0.09344137,0.06217487,0.0622052,0.05931782,0.0105988,0.04797062,0.0704993,0.05775114,0.05793141,0.04873224,0.037781,0.009689869
563.1124,0.0337483,0.05935495,0.08811642,0.041017,0.09138088,0.06348458,0.06221683,0.06798436,0.01413039,0.04906177,0.07666299,0.05642085,0.05565745,0.05169639,0.03680346,0.01366795
563.5945,0.03520653,0.0626306,0.08386511,0.03387956,0.08841787,0.06482001,0.06223464,0.0773634,0.0184823,0.05171617,0.08321243,0.05599759,0.05395578,0.05303392,0.03567787,0.01768879
564.0766,0.03533331,0.0655678,0.07966515,0.02643916,0.08488121,0.06639777,0.06211564,0.08597589,0.02278478,0.05540964,0.08914521,0.05619168,0.05310098,0.05246325,0.03416608,0.02099709
564.5587,0.03365697,0.06804967,0.07610305,0.01911147,0.08115483,0.06814423,0.06183575,0.09252219,0.02621,0.05951013,0.09380347,0.05653989,0.05302266,0.050215,0.03211349,0.02318761
565.0408,0.03029482,0.07011784,0.07358486,0.01245121,0.07768198,0.06971234,0.06131581,0.09609856,0.02813698,0.06337692,0.09686854,0.05652601,0.05339783,0.04698264,0.02943803,0.02427998
565.5229,0.02591712,0.07182665,0.07211721,0.007072708,0.07502243,0.07068229,0.06050919,0.09652017,0.02836605,0.0665573,0.098351,0.05587852,0.05380559,0.0436605,0.02621856,0.02473058
566.0051,0.02145761,0.07311179,0.07132204,0.003537802,0.07384362,0.07082637,0.05941629,0.09425109,0.02711565,0.06886226,0.09839536,0.05466755,0.05389494,0.04096685,0.02270248,0.02520426
566.4872,0.01786709,0.07373812,0.07060625,0.002344793,0.07487189,0.07027566,0.05815231,0.09024854,0.02502052,0.07033773,0.09720833,0.05335422,0.0534817,0.03926823,0.01930267,0.02637817
566.9693,0.01575124,0.07340041,0.06953704,0.003803393,0.07852462,0.06954278,0.05693848,0.08563057,0.02300948,0.07121556,0.09509841,0.05267221,0.05265595,0.0384361,0.01647505,0.02862305
567.4514,0.01526192,0.07193168,0.06805162,0.007937906,0.08456934,0.06930356,0.05590154,0.08137686,0.02206261,0.07179973,0.09248406,0.05332355,0.05170868,0.03799812,0.01459984,0.03185291
567.9335,0.01611707,0.06933859,0.06643361,0.01438982,0.09184753,0.07011415,0.05516221,0.07824372,0.02298304,0.07239752,0.09002876,0.05584321,0.0510492,0.03734545,0.01391653,0.03549667
568.4156,0.01767675,0.06730402,0.06508744,0.01601228,0.1000038,0.07202218,0.05343747,0.07658646,0.02353497,0.07321034,0.08797243,0.05440815,0.05206849,0.03608466,0.0159648,0.03868052
568.8978,0.01991991,0.06315029,0.06408681,0.02507264,0.1038482,0.07447156,0.0538026,0.07639036,0.02852854,0.0742951,0.08788839,0.06092939,0.05279871,0.03422891,0.01729042,0.04054237
569.3799,0.02268853,0.05810246,0.0621408,0.03335411,0.1022776,0.07644286,0.05495417,0.07733598,0.03554167,0.07555093,0.08955409,0.0687694,0.05530291,0.03222634,0.02031478,0.04045198
569.862,0.02516602,0.05463459,0.06164574,0.04046586,0.09771373,0.07695173,0.05691508,0.0789193,0.04043432,0.07674137,0.09211628,0.075921,0.05704825,0.03073712,0.02163538,0.03825807
570.3441,0.02751358,0.05200363,0.06072211,0.04573594,0.08952781,0.07545252,0.05974531,0.0805572,0.04351676,0.07753675,0.09484547,0.08217187,0.05876083,0.0303232,0.02227557,0.03428172
