absorbance_5.11_1A (2),5.11_1A (2),5.11_1A,5.11_2A (2),5.11_2A,5.11_3A (2),5.11_3A,5.11_4A (2),5.11_4A
572.7547,0.03829972,0.05798271,0.0737797,0.05960565,0.03202174,0.07050265,0.0474923,0.03161336
573.2368,0.04100073,0.05698586,0.07431236,0.05676537,0.0315003,0.06765239,0.05110824,0.0251063
573.7189,0.04386406,0.05414367,0.07558954,0.05346242,0.02997798,0.06426276,0.05535584,0.02037192
574.201,0.04646602,0.04919604,0.0773747,0.05030789,0.02829652,0.06091052,0.05977152,0.01803032
574.6832,0.04869796,0.04221537,0.0791681,0.04778116,0.02725261,0.05794354,0.06396376,0.0180347
575.1653,0.05075897,0.03372523,0.08039549,0.04614705,0.02717903,0.05534889,0.06758742,0.01968918
575.6474,0.05300744,0.02458477,0.0807012,0.04543294,0.02789878,0.05288959,0.07032692,0.02200953
576.1295,0.05570418,0.01588969,0.08010569,0.04546744,0.02900168,0.05032965,0.07186459,0.02393102
576.6116,0.05880884,0.008665074,0.07902747,0.04593083,0.03017048,0.04763925,0.07194905,0.02468562
577.0938,0.06195141,0.003545044,0.07808426,0.04647126,0.03135291,0.0450651,0.07049714,0.02405912
577.5759,0.06461994,0.0007227268,0.07783855,0.046742,0.03277327,0.04301777,0.06762975,0.02233582
578.058,0.06633842,0.0,0.07857382,0.0464663,0.03477755,0.04189415,0.06368424,0.02008561
578.5401,0.06681721,0.0009501483,0.080245,0.0454921,0.03743648,0.04188309,0.05912872,0.01787938
579.0222,0.06593972,0.00306309,0.08252347,0.04382189,0.04028343,0.04282229,0.05454835,0.01614835
579.5043,0.06373799,0.005852375,0.08496907,0.04169446,0.04239741,0.04424321,0.05051102,0.01502211
579.9865,0.0603862,0.008917926,0.08717813,0.03956966,0.04288179,0.04555067,0.04742019,0.01432123
580.4686,0.05616117,0.01191491,0.08888409,0.0381119,0.04126532,0.04625402,0.0454498,0.01366184
580.9507,0.0514093,0.01459966,0.08996614,0.03796591,0.03770696,0.04608609,0.04448461,0.0126729
581.4328,0.04651526,0.01683874,0.0904074,0.03951111,0.03287672,0.04502743,0.04422814,0.01120395
581.9149,0.04189114,0.01857461,0.09026609,0.04275205,0.02769881,0.04323182,0.04433247,0.009397161
582.397,0.0378994,0.01981144,0.0896714,0.04727189,0.02295422,0.04092079,0.04455741,0.007664139
582.8792,0.03479417,0.02055783,0.0888509,0.05238423,0.01906586,0.03831234,0.04482465,0.006529186
583.3613,0.0326866,0.02078088,0.08815627,0.05724354,0.01606601,0.03559458,0.04518868,0.006491685
583.8434,0.03151067,0.02039053,0.08800495,0.06110913,0.01382074,0.03296892,0.04576665,0.007770441
584.3255,0.03106339,0.01928927,0.08874256,0.06350856,0.01223377,0.03064452,0.04665296,0.01020231
584.8076,0.03108121,0.01742147,0.09051686,0.06430327,0.01134244,0.02882989,0.04786789,0.0132469
585.2897,0.03137494,0.01484993,0.09317236,0.06370461,0.01127583,0.02767727,0.04932724,0.0162032
585.7719,0.03189442,0.01179017,0.09628533,0.06213973,0.01208406,0.02722623,0.05085124,0.01844696
586.254,0.03269512,0.008616848,0.09929278,0.0601267,0.01357163,0.02739969,0.05216897,0.01960589
586.7361,0.03382939,0.00576249,0.1017258,0.05810272,0.01522194,0.02800588,0.05296934,0.01968064
587.2182,0.03500206,0.003144236,0.103331,0.05637448,0.01473494,0.02899338,0.05292934,0.01932373
587.7003,0.03609451,0.001640463,0.1044082,0.05510906,0.01400141,0.03032988,0.05177607,0.01837363
588.1824,0.03698525,0.001393884,0.1051262,0.05433183,0.01322729,0.03185582,0.04940008,0.01722927
588.6646,0.03751483,0.002314895,0.105748,0.05396141,0.01270423,0.03345963,0.04593682,0.01632121
589.1467,0.03755897,0.004112344,0.106506,0.05382698,0.01273515,0.03511509,0.04185284,0.01603486
589.6288,0.03710802,0.006419117,0.1074831,0.05371507,0.01352299,0.03687415,0.03787583,0.01659743
590.1109,0.03628727,0.008877648,0.10857,0.05339438,0.01512484,0.0388067,0.03494383,0.01803831
590.593,0.03532279,0.01123816,0.1094737,0.05267744,0.01741368,0.04091821,0.03399354,0.02013903
591.0751,0.03441678,0.01340444,0.109838,0.05149855,0.02012517,0.04308648,0.03560224,0.02249765
591.5573,0.03364579,0.0153828,0.109346,0.04995891,0.02291191,0.04504845,0.03976508,0.02460932
592.0394,0.03286539,0.01720075,0.1078544,0.04833604,0.02545184,0.0464797,0.04571345,0.02603626
592.5215,0.03176329,0.01882102,0.1054358,0.04698492,0.02754637,0.04715425,0.0521585,0.02656661
593.0036,0.02996474,0.02011197,0.1023231,0.04625519,0.02911125,0.04703464,0.05756201,0.02622734
593.4857,0.02722584,0.02089217,0.09881188,0.04636843,0.03013507,0.04631292,0.06065677,0.02523369
593.9678,0.02355603,0.02103148,0.0951651,0.04736392,0.03060611,0.04531848,0.06084201,0.02385106
594.45,0.01923149,0.0205233,0.0916257,0.04911208,0.03046931,0.04443412,0.05821247,0.02231536
594.9321,0.0147204,0.01954144,0.08842883,0.05134611,0.02965441,0.04396089,0.05352863,0.02076482
595.4142,0.01050158,0.01839619,0.08580963,0.05373045,0.02815705,0.04402491,0.04788227,0.01923979
595.8963,0.006968815,0.01748337,0.08402923,0.0558665,0.02612055,0.04457001,0.04248565,0.01773017
596.3784,0.004295377,0.01713503,0.08329796,0.05735771,0.02387365,0.04538832,0.03828492,0.01621932
596.8605,0.002434261,0.01749941,0.08370189,0.05787341,0.02184885,0.0462353,0.03574426,0.01471623
597.3427,0.001205131,0.0184991,0.08515725,0.0571521,0.02050416,0.04691201,0.034867,0.01326122
597.8248,0.0004244801,0.0198416,0.08738413,0.05509946,0.02014231,0.04735089,0.0352588,0.01190571
598.3069,7.571653e-06,0.02113932,0.08996316,0.05183533,0.02081855,0.04761042,0.03635436,0.01069623
598.789,0.0,0.02200959,0.09237459,0.04776094,0.02232595,0.04781603,0.03757218,0.009688488
599.2711,0.0005316827,0.02224139,0.09415209,0.0435265,0.02427056,0.04805896,0.03854183,0.008967523
599.7532,0.001708083,0.02185202,0.09500328,0.03989692,0.02622679,0.04831799,0.03918948,0.008676784
600.2354,0.003515211,0.0210682,0.09487834,0.03760679,0.02786552,0.04843137,0.03973071,0.009042813
600.7175,0.005774271,0.02020082,0.09399676,0.03706698,0.02909614,0.04816711,0.04054015,0.01031461
601.1996,0.008191587,0.01949948,0.09276047,0.03825846,0.03005195,0.04734261,0.04196057,0.01268395
601.6817,0.01043755,0.01905497,0.09166043,0.04074523,0.03100029,0.04593224,0.04416025,0.01618891
602.1638,0.01227462,0.01876556,0.09110954,0.04386248,0.03217139,0.04413354,0.04703449,0.02062602
602.6459,0.01359799,0.01840482,0.09137252,0.04691694,0.03364412,0.04234188,0.05024,0.02552749
603.1281,0.01444345,0.01772515,0.09252256,0.04934792,0.03529325,0.04108279,0.05326559,0.03016108
603.6102,0.01495066,0.01659649,0.09442665,0.05088459,0.03684824,0.04082102,0.0556144,0.03372028
604.0923,0.01530099,0.01506803,0.09678257,0.05153156,0.03799488,0.04184366,0.05690304,0.03545461
604.5744,0.01565717,0.0133813,0.09917185,0.05151542,0.03849578,0.04413116,0.05696724,0.03487872
605.0565,0.0161045,0.01186837,0.1011924,0.05114686,0.03828821,0.04734401,0.05589956,0.03195448
605.5386,0.01663885,0.0108534,0.1025188,0.05072547,0.03747798,0.050886,0.05400136,0.02709779
606.0208,0.01717601,0.01053395,0.1029916,0.0504621,0.03629196,0.05406253,0.05169327,0.02110157
606.5029,0.01760305,0.01091161,0.1026563,0.05045144,0.03497053,0.05633489,0.04936488,0.01486947
606.985,0.01781758,0.01181268,0.1017441,0.05071507,0.03371829,0.05741964,0.04732267,0.009301039
607.4671,0.01778338,0.01296006,0.1006132,0.05123043,0.03265586,0.05737026,0.0457349,0.005105851
607.9492,0.01755352,0.01410389,0.09961725,0.05195001,0.03181214,0.056486,0.04463925,0.002669143
608.4313,0.01726585,0.01509116,0.09904257,0.05278563,0.03115055,0.05517882,0.04399847,0.002077793
608.9135,0.01709784,0.0159293,0.09902155,0.0535906,0.03058749,0.05379011,0.04375232,0.003115844
609.3956,0.01718307,0.01675291,0.09951867,0.05417918,0.03002129,0.0524671,0.04385727,0.005371568
609.8777,0.01754797,0.01776024,0.1003626,0.05434714,0.02933968,0.0511674,0.0442856,0.008289946
610.3598,0.01804936,0.01910476,0.101309,0.05396386,0.02844609,0.04972855,0.04500898,0.01129763
610.8419,0.01839976,0.02081449,0.1021247,0.05304452,0.02729125,0.04801119,0.0459727,0.0139301
611.324,0.01821484,0.02276422,0.1026144,0.05178641,0.02589841,0.04601137,0.04707306,0.01585259
611.8062,0.0171712,0.02470632,0.102667,0.05052285,0.02438507,0.04392351,0.04817078,0.01694361
612.2883,0.01515408,0.02636957,0.1022534,0.04958311,0.0229364,0.04207304,0.04912856,0.01728306
