absorbance_1.8_1A,1.8_1A,1.8_2A,1.8_3A,1.8_4A,1.8_6A
609.3956,0.0491762,0.03750707,0.02503073,0.1174135,0.08397775
609.8777,0.04738668,0.03754947,0.02467661,0.1134222,0.08378445
610.3598,0.04546758,0.03790751,0.02458074,0.1098163,0.08377506
610.8419,0.04334268,0.03852659,0.02455281,0.1072925,0.08383788
611.324,0.04101218,0.03925198,0.02431972,0.1063004,0.08387864
611.8062,0.03859837,0.0398861,0.02364887,0.1068322,0.08386566
612.2883,0.03632706,0.04027906,0.02244891,0.108467,0.0838273
612.7704,0.03450661,0.04038044,0.02081677,0.1104834,0.08381739
613.2525,0.03342991,0.04026689,0.01902089,0.1121473,0.08387521
613.7346,0.03329544,0.04008973,0.01740253,0.1129575,0.08400562
614.2167,0.03417462,0.04000419,0.01629074,0.1127372,0.08419307
614.6989,0.03598421,0.04008035,0.01586573,0.1116769,0.08443187
615.181,0.03852323,0.04027004,0.01610677,0.1102011,0.08474971
615.6631,0.04150289,0.04042101,0.01678876,0.108833,0.08520184
616.1452,0.0446346,0.04036048,0.01756126,0.1079822,0.08582661
616.6273,0.04768123,0.03998533,0.01806487,0.1078519,0.08659376
617.1094,0.05048226,0.03933106,0.01802754,0.1084319,0.0873635
617.5916,0.05296613,0.03857181,0.01736249,0.1095555,0.08791944
618.0737,0.05511604,0.03795565,0.01616398,0.1110034,0.08803485
618.5558,0.05692393,0.03770548,0.01466085,0.1125745,0.08756587
619.0379,0.05835912,0.03790442,0.01311177,0.1141314,0.08653791
619.52,0.05935569,0.03846134,0.0117453,0.1155708,0.08515329
620.0021,0.05982931,0.03912398,0.01072336,0.1167792,0.08374674
620.4843,0.05972521,0.03958861,0.01012816,0.1176182,0.08264644
620.9664,0.0590575,0.03958447,0.009989876,0.1179226,0.08209211
621.4485,0.05793976,0.03896541,0.01029954,0.1175437,0.0821577
621.9306,0.056564,0.03775143,0.01100694,0.1164191,0.08275564
622.4127,0.05517915,0.0361074,0.0120034,0.114612,0.0836928
622.8948,0.05402435,0.03428826,0.01310484,0.1123321,0.08475652
623.377,0.05324781,0.03254756,0.01407726,0.1098801,0.08579527
623.8591,0.05287344,0.03111475,0.0146547,0.1076186,0.08672127
624.3412,0.05276777,0.03015887,0.01462329,0.105884,0.08749436
624.8233,0.05269216,0.02978093,0.01390655,0.104903,0.08807971
625.3054,0.05236207,0.03003069,0.012607,0.1047749,0.08841531
625.7875,0.05158612,0.0308911,0.01100704,0.105439,0.0884265
626.2697,0.05036699,0.03226839,0.009468654,0.1067058,0.08807237
626.7518,0.04893719,0.03397695,0.008369382,0.1082827,0.08738619
627.2339,0.04770389,0.03575963,0.007985262,0.1098414,0.0864892
627.716,0.04709907,0.03735109,0.008444843,0.1110892,0.08554563
628.1981,0.0474747,0.03852065,0.009749561,0.1117859,0.08471394
628.6802,0.04893657,0.03916278,0.01179026,0.1118069,0.08407384
629.1624,0.05129509,0.0393298,0.0143886,0.1111566,0.08360231
629.6445,0.05406508,0.03922954,0.01729919,0.1099655,0.0831899
630.1266,0.05661174,0.03915691,0.02024256,0.1084532,0.08270112
630.6087,0.05835203,0.03938714,0.02292927,0.106862,0.08204582
631.0908,0.05890278,0.04009467,0.02506549,0.1054153,0.08122147
631.5729,0.05824519,0.04126872,0.02642957,0.1042528,0.08032016
632.0551,0.05669925,0.04272638,0.02691053,0.1034296,0.07948041
632.5372,0.05483806,0.04415939,0.02654071,0.1029446,0.07883007
633.0193,0.05325202,0.0452645,0.02549811,0.1027755,0.07842097
633.5014,0.05238035,0.04582764,0.0240638,0.102912,0.0782192
633.9835,0.05238971,0.04578043,0.02255664,0.1033615,0.07812971
634.4656,0.05314159,0.0452056,0.02120949,0.1041264,0.07805813
634.9478,0.05429401,0.04428237,0.02011195,0.1051669,0.07795469
635.4299,0.05545264,0.04321638,0.01918405,0.1063711,0.07783172
635.912,0.05635658,0.04216063,0.01824082,0.1075768,0.07773528
636.3941,0.05693462,0.04120404,0.01707954,0.1086036,0.07770053
636.8762,0.05729888,0.04038457,0.01558846,0.1093208,0.07770914
