absorbance_3.8_1A,3.8_1A,3.8_2A,3.8_3A
719.3182,0.08078232,0.1078968,0.1063858
719.8003,0.08211546,0.1069602,0.1062608
720.2824,0.08357985,0.1057363,0.1057258
720.7645,0.08500785,0.1044368,0.1049278
721.2466,0.08612335,0.1032308,0.1040384
721.7288,0.08664151,0.1022065,0.1032038
722.2109,0.08633011,0.1013686,0.1025214
722.693,0.08510593,0.1006542,0.1020123
723.1751,0.08304699,0.09997594,0.1016351
723.6572,0.08037065,0.09926046,0.1013023
724.1393,0.07735784,0.09848316,0.1009128
724.6215,0.07428245,0.09766786,0.1003721
725.1036,0.07137421,0.09687043,0.09959844
725.5857,0.06877018,0.09614222,0.09853977
726.0678,0.06652644,0.09550186,0.09717467
726.5499,0.06463515,0.09491783,0.09551695
727.032,0.06304531,0.09431686,0.09361499
727.5142,0.06168547,0.09360651,0.09154637
727.9963,0.06047759,0.09270558,0.08940852
728.4784,0.05935645,0.09157903,0.08729057
728.9605,0.05827117,0.09024844,0.08526666
729.4426,0.05719049,0.08879194,0.0833832
729.9247,0.05610287,0.0873134,0.08165421
730.4069,0.05500945,0.08591957,0.08007453
730.889,0.05391617,0.08468297,0.07863247
731.3711,0.05282583,0.08361889,0.07732493
731.8532,0.05173413,0.08268664,0.07616332
732.3353,0.05063387,0.08180435,0.07516852
732.8174,0.04952306,0.08088581,0.07435483
733.2996,0.04841565,0.07985957,0.07371216
733.7817,0.04734486,0.07869442,0.0731915
734.2638,0.04635544,0.07740251,0.07271246
734.7459,0.04549334,0.07603036,0.07216942
735.228,0.04478628,0.07464122,0.07146436
735.7101,0.04423194,0.07329763,0.07053821
736.1923,0.04379874,0.07205783,0.06938405
736.6744,0.04343618,0.07097208,0.06805823
737.1565,0.04309349,0.07008329,0.06666387
737.6386,0.04273076,0.06943288,0.06534034
738.1207,0.04233113,0.06904946,0.06421982
738.6028,0.04189762,0.06893836,0.06339633
739.085,0.04144464,0.06906878,0.06290694
739.5671,0.04098568,0.069372,0.06271701
740.0492,0.04052501,0.06974918,0.06273209
740.5313,0.04005615,0.07008373,0.06281416
741.0134,0.03956656,0.07027747,0.06282562
741.4955,0.03904375,0.07026628,0.06265802
741.9777,0.03848164,0.07003264,0.06225629
742.4598,0.03788311,0.06960337,0.06163312
742.9419,0.0372588,0.06903161,0.06085745
743.424,0.0366273,0.06837589,0.06003214
743.9061,0.03601148,0.06767817,0.0592511
744.3882,0.03544106,0.06696073,0.05857833
744.8704,0.03495161,0.0662302,0.05803094
745.3525,0.03457567,0.06548935,0.05758455
745.8346,0.03433493,0.06474707,0.05719379
746.3167,0.03422342,0.06401904,0.05682085
746.7988,0.03420076,0.0633176,0.0564567
747.2809,0.03418861,0.06263926,0.0561273
747.7631,0.03408695,0.06195334,0.05587964
748.2452,0.03380795,0.06121074,0.05575307
748.7273,0.0332973,0.06035663,0.05575627
749.2094,0.03256507,0.05936331,0.05584695
749.6915,0.03168569,0.05825398,0.05594261
750.1736,0.03079078,0.05711646,0.05593603
750.6558,0.03002908,0.05608975,0.05573818
751.1379,0.02952109,0.05532158,0.05531222
751.62,0.02933989,0.05494219,0.05468627
752.1021,0.0294857,0.05501286,0.05395029
752.5842,0.0298991,0.05550959,0.05322269
753.0663,0.03047665,0.05632223,0.05262528
753.5485,0.03110852,0.05728419,0.05223954
754.0306,0.03170623,0.05821788,0.05208799
