absorbance_6.1_1A,6.1_1A,absorbance_6.1_2A,6.1_2A,6.1_3A,6.1_4A
617.0,0.0453,617.5916,0.04684255,0.03623725,0.04348207
618.0,0.0457,618.0737,0.0478122,0.0363562,0.04517543
618.0,0.0455,618.5558,0.04951962,0.03585186,0.04696513
619.0,0.0449,619.0379,0.05198516,0.03487175,0.04863446
619.0,0.0442,619.52,0.05506756,0.03375468,0.05011219
620.0,0.0437,620.0021,0.05845156,0.03297242,0.05143953
620.0,0.0433,620.4843,0.06172907,0.03296174,0.05267648
620.0,0.043,620.9664,0.06444801,0.0340228,0.05381338
621.0,0.0426,621.4485,0.06620719,0.0362004,0.05471834
621.0,0.042,621.9306,0.06676821,0.03926723,0.05518373
622.0,0.0412,622.4127,0.06608067,0.04276455,0.05499714
622.0,0.0402,622.8948,0.06431909,0.04611304,0.05405884
623.0,0.0394,623.377,0.06183313,0.04879482,0.05244575
623.0,0.039,623.8591,0.05912163,0.05041015,0.05041485
624.0,0.0393,624.3412,0.05672091,0.05078183,0.04833081
624.0,0.0401,624.8233,0.05505133,0.04996936,0.04652625
625.0,0.0412,625.3054,0.05435208,0.04823367,0.04523185
625.0,0.0424,625.7875,0.05458746,0.04595485,0.04450565
626.0,0.0432,626.2697,0.05548806,0.04351182,0.04426787
626.0,0.0435,626.7518,0.05662143,0.04124536,0.04437849
627.0,0.0431,627.2339,0.05754482,0.03939918,0.04472916
627.0,0.0423,627.716,0.05793906,0.03812562,0.045286
628.0,0.0413,628.1981,0.05763942,0.03753136,0.04606966
628.0,0.0403,628.6802,0.05667081,0.03768127,0.04709244
629.0,0.0395,629.1624,0.05519231,0.03859179,0.0482901
629.0,0.0387,629.6445,0.0534482,0.04020219,0.04947763
630.0,0.0381,630.1266,0.0516836,0.04233382,0.05038191
630.0,0.0375,630.6087,0.05008689,0.04468767,0.05072727
631.0,0.0369,631.0908,0.04877682,0.04683303,0.05031352
631.0,0.0364,631.5729,0.04778678,0.04831823,0.04911463
632.0,0.0362,632.0551,0.04709216,0.04876984,0.04728242
632.0,0.0363,632.5372,0.04663749,0.0479932,0.04511777
633.0,0.0368,633.0193,0.04636668,0.0460803,0.04295597
633.0,0.0376,633.5014,0.04623829,0.04341745,0.04108384
634.0,0.0386,633.9835,0.04623366,0.040644,0.03967874
634.0,0.0396,634.4656,0.04635928,0.03844111,0.03877935
634.0,0.0403,634.9478,0.04664174,0.03738398,0.03833333
635.0,0.0405,635.4299,0.04711693,0.03777645,0.03826196
635.0,0.0404,635.912,0.04780854,0.03955512,0.03852514
636.0,0.0399,636.3941,0.04870902,0.04232813,0.03913645
636.0,0.0392,636.8762,0.04976038,0.0454745,0.04013731
637.0,0.0388,637.3583,0.05085884,0.04836719,0.04153968
637.0,0.0386,637.8405,0.05186158,0.05046853,0.04327711
638.0,0.0389,638.3226,0.05261995,0.05146611,0.04517987
638.0,0.0398,638.8047,0.0530306,0.05131808,0.04701665
639.0,0.0411,639.2868,0.05305921,0.05021239,0.04852602
639.0,0.0427,639.7689,0.05276483,0.04849657,0.04949712
640.0,0.0444,640.251,0.05227473,0.04654939,0.04983526
640.0,0.0459,640.7332,0.05175212,0.04472666,0.04956525
641.0,0.047,641.2153,0.05133408,0.04326674,0.0488133
641.0,0.0475,641.6974,0.05108796,0.04225133,0.04773908
642.0,0.0473,642.1795,0.05101314,0.04161731,0.04649672
642.0,0.0464,642.6616,0.05106204,0.04117928,0.04519427
643.0,0.0451,643.1437,0.0511883,0.04070454,0.04389596
643.0,0.0435,643.6259,0.05138244,0.03996269,0.04265406
644.0,0.0418,644.108,0.05169202,0.03882245,0.0415301
644.0,0.0403,644.5901,0.05220164,0.03730081,0.04060018
645.0,0.0389,645.0722,0.05300162,0.03558615,0.03994935
645.0,0.0378,645.5543,0.05413443,0.03399514,0.03963269
646.0,0.0368,646.0364,0.05556932,0.03288487,0.03964788
646.0,0.036,646.5186,0.0571953,0.03258316,0.03991918
647.0,0.0353,647.0007,0.05885242,0.03326572,0.0403139
647.0,0.0349,647.4828,0.06037006,0.03491892,0.04067982
647.0,0.0347,647.9649,0.06159212,0.03733775,0.04088529
