absorbance_1.7_1A,1.7_1A,1.7_2A,1.7_3A,1.7_4A,1.7_5,2.8_1A,2.8_2A,2.8_3A,2.8_4A,3.10_1A,3.10_2A,3.10_3A,3.10_4A,3.10_5A,3.1_1,3.1_2,3.1_3,3.1_4,4.3_1A,4.3_2A,4.3_3A,4.3_4A,4.3_5A,5.1_1A,5.1_2A,5.1_3A,5.1_4A,5.1_5A
545.7562,0.02427904,0.04652864,0.04638536,0.04189923,0.007251881,0.02393365,0.05709775,0.03364217,0.06992185,0.0003149956,0.004656166,0.0158055,0.004347436,0.0109351,0.03850081,0.03075166,0.03881497,0.03021456,0.0431099,0.1218862,0.05980945,0.05096864,0.06372178,0.04124158,0.1278001,0.03861897,0.005695835,0.009584405
546.2383,0.0285172,0.04239347,0.04711993,0.03964911,0.01319125,0.02683405,0.05898478,0.03437367,0.06453022,0.0,0.0,0.01746979,0.005217701,0.01547628,0.03906329,0.0353268,0.03938994,0.030658,0.03540217,0.1292211,0.06196515,0.04984752,0.06517682,0.04696527,0.1278377,0.03188457,0.01165659,0.01225916
546.7204,0.03174378,0.03775231,0.04870417,0.03626842,0.01807806,0.02779806,0.06170546,0.03627482,0.06032393,0.002277076,8.828938e-05,0.02029035,0.005343929,0.02175872,0.0409301,0.03895484,0.03905138,0.03080417,0.03100919,0.1327395,0.06390908,0.04999176,0.06387156,0.05035368,0.1262222,0.02786143,0.01817816,0.01750761
547.2025,0.03284232,0.03399105,0.05005644,0.03640934,0.02111732,0.02784209,0.06524245,0.03874186,0.05619878,0.006886274,0.004644047,0.02208918,0.005199291,0.02747892,0.04190236,0.0396724,0.03737752,0.03144276,0.02921586,0.1329626,0.06405476,0.05200175,0.06049087,0.05086248,0.1224579,0.02683009,0.02379432,0.02407799
547.6846,0.03245276,0.03155995,0.05162603,0.03885474,0.02191568,0.02743589,0.06904028,0.04110873,0.0525815,0.01268782,0.0125213,0.0227823,0.005253933,0.03210704,0.0419663,0.03801018,0.03442116,0.03220905,0.02983213,0.1304668,0.0620001,0.05588736,0.05589879,0.04849771,0.1163626,0.02835896,0.0273707,0.03123144
548.1667,0.03119939,0.03072766,0.05345575,0.04286661,0.02077998,0.02722516,0.07209496,0.0426698,0.04965598,0.01875716,0.02207214,0.02223914,0.006197952,0.03484788,0.0407548,0.03487226,0.0306028,0.03287275,0.03191649,0.1260445,0.05787898,0.06157765,0.05079281,0.04358429,0.1081495,0.03131702,0.02830787,0.03770725
548.6489,0.02913949,0.03201494,0.05449393,0.05059981,0.018875,0.02836491,0.07332618,0.04285038,0.0465409,0.02488415,0.03162169,0.01938057,0.008723248,0.03378011,0.03668129,0.03037635,0.02651947,0.03413697,0.03346135,0.1211991,0.05200077,0.06890677,0.0453967,0.03695139,0.09845238,0.03414702,0.02683875,0.04151133
549.131,0.02657735,0.03269934,0.05618153,0.05821151,0.01618156,0.02870918,0.07202438,0.04137536,0.0451846,0.0316921,0.03984524,0.01658658,0.01277925,0.03135171,0.0316527,0.02793972,0.02270075,0.03438628,0.0359983,0.1143355,0.04598323,0.07707385,0.03951393,0.02905543,0.08811186,0.03717655,0.02393223,0.04346035
549.6131,0.02468185,0.03250539,0.05802953,0.06498063,0.0144992,0.02965754,0.06805608,0.03836065,0.04489626,0.03854591,0.0457616,0.01355037,0.01751932,0.02684639,0.02561332,0.02751904,0.0195554,0.03482963,0.03850672,0.107783,0.0399788,0.08440463,0.03278155,0.02166767,0.07802618,0.03891171,0.02112339,0.04331765
550.0952,0.02388828,0.03031965,0.05977603,0.07051373,0.01470384,0.03146898,0.06196079,0.03432267,0.04503246,0.04481496,0.04890727,0.01043756,0.02183209,0.0211508,0.01895642,0.028765,0.01731451,0.03574641,0.04055599,0.1018739,0.03389958,0.08960917,0.0250746,0.01562084,0.06884819,0.03887978,0.01991594,0.04224402
550.5773,0.02457739,0.02579629,0.06130473,0.07448457,0.0170011,0.03422262,0.05467244,0.02998962,0.044883,0.04962403,0.04929546,0.007308699,0.02474595,0.01527872,0.01227118,0.03060458,0.01608542,0.0372556,0.04176996,0.09689919,0.02756304,0.09194089,0.01677782,0.01121458,0.06085813,0.03706341,0.02118625,0.04156206
