absorbance_5.10_3A,5.10_3A,5.10_4A,5.9_1A_16,5.9_2A,5.9_2AA,5.9_3A,5.9_4A
579.0222,0.09317233,0.03891322,0.02531641,0.04916295,0.02416379,0.06089704,0.02680897
579.5043,0.09374508,0.0377964,0.02034738,0.04950136,0.01775518,0.05836184,0.02785611
579.9865,0.09378576,0.03622645,0.01643304,0.04876517,0.01115029,0.05539989,0.02680728
580.4686,0.09348038,0.03438699,0.0137264,0.04713345,0.005490381,0.0528237,0.02431256
580.9507,0.09301108,0.03241513,0.01186313,0.04512683,0.001648216,0.05158474,0.02124774
581.4328,0.09245352,0.03038183,0.01022656,0.04333684,0.0,0.0523535,0.01834951
581.9149,0.09181219,0.02832333,0.008242043,0.04221523,0.000406066,0.05531102,0.01604708
582.397,0.09112753,0.0262893,0.005755153,0.04189552,0.00236176,0.06003097,0.0144005
582.8792,0.09057587,0.02437156,0.003090821,0.04222636,0.005228834,0.06568119,0.01326686
583.3613,0.09047349,0.02275078,0.0009378009,0.04289997,0.00838219,0.0711882,0.01248966
583.8434,0.09111364,0.02166484,0.0,0.04366008,0.01135194,0.07558957,0.01212649
584.3255,0.0925639,0.02137879,0.0007111542,0.04446203,0.01392065,0.07823958,0.01248502
584.8076,0.09450272,0.0221497,0.003089502,0.04548302,0.01607284,0.07886566,0.01402753
585.2897,0.09628132,0.0241236,0.006769726,0.04702902,0.0179489,0.07758742,0.01712704
585.7719,0.09713253,0.0272842,0.01120267,0.04935247,0.01974164,0.0747616,0.02184708
586.254,0.09645957,0.03141826,0.01586253,0.05252995,0.02160663,0.07085454,0.02780204
586.7361,0.09412687,0.03613675,0.02041757,0.0563706,0.02359876,0.06631,0.03418026
587.2182,0.09070312,0.04102274,0.02394664,0.05891486,0.02431731,0.06154698,0.03889196
587.7003,0.08691747,0.04551361,0.02713293,0.06174806,0.02495373,0.05700953,0.04244369
588.1824,0.08335294,0.04913934,0.02988242,0.06457736,0.0255143,0.05314221,0.04435882
588.6646,0.08047338,0.05163653,0.03207278,0.067132,0.02600066,0.05039664,0.04438369
589.1467,0.0785396,0.05300938,0.03356128,0.06920969,0.02645951,0.04917044,0.04250424
589.6288,0.0776108,0.05348876,0.03424713,0.07069691,0.02700659,0.04967745,0.03891959
590.1109,0.07765976,0.05342376,0.03411449,0.07151835,0.02783188,0.05188777,0.03402595
590.593,0.07867321,0.05312716,0.0332853,0.07160825,0.02913461,0.05545255,0.02842136
591.0751,0.08069643,0.05271821,0.03200097,0.07090236,0.03100554,0.05978446,0.02281493
591.5573,0.08378825,0.05207382,0.03058664,0.06935935,0.0333361,0.06413972,0.01799584
592.0394,0.08788721,0.05087135,0.02933626,0.06701794,0.03577725,0.06783552,0.01464326
592.5215,0.092715,0.04878753,0.0283966,0.06403397,0.03786767,0.07046458,0.01311441
593.0036,0.09774247,0.04566005,0.02774051,0.06069463,0.03916117,0.07190306,0.01339174
593.4857,0.1023003,0.04163219,0.02719578,0.05737991,0.03941375,0.07227252,0.01508238
593.9678,0.1058041,0.03711309,0.02654815,0.05446075,0.03866288,0.07180616,0.01759377
594.45,0.1078556,0.03269549,0.02560377,0.05226208,0.03719913,0.07077806,0.02023288
594.9321,0.1084032,0.0289652,0.02426009,0.05096976,0.03546207,0.06946231,0.02239125
595.4142,0.107742,0.02631299,0.02252626,0.05058991,0.0338612,0.06812042,0.02368285
595.8963,0.1064524,0.02488727,0.02051387,0.05095947,0.03268781,0.0670387,0.02396055
596.3784,0.1052048,0.0245459,0.01840963,0.05179889,0.03202105,0.06647675,0.02334535
596.8605,0.1045135,0.02496553,0.01641778,0.05282719,0.03176993,0.06660894,0.02212825
597.3427,0.1046221,0.02574986,0.01474971,0.05383552,0.03177816,0.06748278,0.02068791
597.8248,0.1054021,0.02658817,0.0135882,0.05479008,0.0319513,0.06897238,0.01936302
598.3069,0.1064543,0.02734021,0.01307322,0.05583028,0.03233245,0.07081112,0.01838805
598.789,0.1072391,0.02802744,0.01329934,0.05721473,0.03309918,0.07262527,0.01791031
599.2711,0.1073171,0.02877201,0.01427864,0.05917174,0.0344538,0.07405636,0.0180006
599.7532,0.1065005,0.02968236,0.01591385,0.06174319,0.03646623,0.07486441,0.01869527
600.2354,0.1048894,0.03075783,0.01797002,0.06467839,0.03894283,0.07497083,0.02001599
600.7175,0.1027972,0.03184225,0.0201114,0.06747543,0.04142856,0.07446274,0.02195805
601.1996,0.1005851,0.03266458,0.0219689,0.0695546,0.0433564,0.07350611,0.0244602
601.6817,0.09854472,0.03291528,0.02320411,0.07044797,0.04423539,0.07225797,0.02736043
602.1638,0.09681049,0.03237888,0.02362718,0.07002407,0.04388599,0.0707933,0.0303895
602.6459,0.09540168,0.03100202,0.0232321,0.06853,0.04249271,0.06911597,0.03317032
603.1281,0.09429651,0.02893689,0.02222218,0.06655817,0.04057978,0.06720595,0.03524053
603.6102,0.09349617,0.02650535,0.02095203,0.06481802,0.03880467,0.0650828,0.0361756
604.0923,0.09304772,0.02414071,0.01985461,0.06393658,0.03777675,0.06284595,0.035664
604.5744,0.0930047,0.02229423,0.019325,0.06422831,0.03784753,0.06067338,0.03361139
605.0565,0.09335204,0.02128857,0.01956954,0.06555872,0.03896829,0.05875141,0.03019491
605.5386,0.09394078,0.02127074,0.02055028,0.06738068,0.04070875,0.05722037,0.02585124
606.0208,0.09446804,0.02217312,0.02196373,0.06889345,0.04238208,0.05611704,0.02120853
606.5029,0.09456819,0.02376356,0.02336488,0.06937211,0.04332592,0.05537147,0.01690422
606.985,0.09389713,0.02570501,0.02428063,0.06833753,0.04305059,0.05484287,0.01351786
607.4671,0.09227724,0.02764932,0.02440297,0.06573924,0.0414004,0.05438348,0.01142862
607.9492,0.08978153,0.02934213,0.02373018,0.06193038,0.03855494,0.05390281,0.01072813
608.4313,0.08674051,0.03064112,0.02259043,0.05756284,0.03495038,0.05338501,0.01122082
608.9135,0.08366714,0.03154434,0.02155893,0.05337507,0.03113798,0.05288575,0.01245936
609.3956,0.08107724,0.03215506,0.02122034,0.04994898,0.02760163,0.0524911,0.01390522
609.8777,0.0794062,0.03264116,0.02201781,0.04765703,0.02471161,0.05228644,0.01502189
610.3598,0.07887493,0.03317291,0.02404435,0.0465905,0.02263803,0.05232547,0.01545847
610.8419,0.07946648,0.03386668,0.02701196,0.04662343,0.02135651,0.05262239,0.01514782
611.324,0.08097108,0.03477244,0.03029153,0.04748977,0.02068296,0.05316257,0.01430645
611.8062,0.08306707,0.0358618,0.03311303,0.04887817,0.02033421,0.05390833,0.01335619
612.2883,0.08542244,0.03705665,0.0348308,0.05050988,0.02001632,0.05480478,0.01274978
612.7704,0.08770762,0.03825475,0.03504914,0.05213467,0.01945945,0.05577354,0.01286709
613.2525,0.08963542,0.03936851,0.03376291,0.0535595,0.01850139,0.05671996,0.01387052
