absorbance_3.9_0,3.9_0,3.9_1,3.9_2A,3.9_3A,3.9_4,3.9_5
606.0208,0.01140913,0.02556434,0.06970171,0.0520643,0.02497401,0.03674131
606.5029,0.01083104,0.02691693,0.06806196,0.05290534,0.02452365,0.03760876
606.985,0.01061863,0.02784431,0.06535992,0.0532189,0.02398277,0.03863271
607.4671,0.01076056,0.02796269,0.06209638,0.05257741,0.0230736,0.03950561
607.9492,0.01117372,0.02713077,0.05882519,0.05074039,0.02157923,0.04004179
608.4313,0.01172789,0.0254926,0.05606241,0.04774281,0.01942055,0.04018639
608.9135,0.01227834,0.02346364,0.05411275,0.04394905,0.01674427,0.0399886
609.3956,0.01270097,0.02156033,0.05298671,0.03992784,0.01389107,0.03951698
609.8777,0.01289638,0.0202824,0.0524179,0.03634649,0.01135495,0.03880028
610.3598,0.01281347,0.01991306,0.05196048,0.03374624,0.009629257,0.03780857
610.8419,0.01245468,0.02043997,0.05119026,0.03238817,0.009043894,0.0364998
611.324,0.0118788,0.02157501,0.04983351,0.03224141,0.009699922,0.03488584
611.8062,0.01118758,0.02287457,0.04791414,0.03302325,0.01141831,0.03309219
612.2883,0.01049539,0.02392436,0.04573508,0.03435352,0.0138318,0.03134129
612.7704,0.009908558,0.02442293,0.04380372,0.03584757,0.01646831,0.02991465
613.2525,0.009493012,0.02427147,0.04262991,0.03723102,0.01891333,0.0290405
613.7346,0.009261562,0.02354209,0.04254674,0.03835208,0.02090647,0.02881905
614.2167,0.009180355,0.02242129,0.04363316,0.03912967,0.02234277,0.02920213
614.6989,0.009188006,0.02112969,0.04567686,0.03951584,0.02326812,0.03001931
615.181,0.009221409,0.01986134,0.04827487,0.03947201,0.02380771,0.03105795
615.6631,0.00923152,0.01877446,0.05093847,0.03898572,0.02410983,0.03213076
616.1452,0.009196656,0.01796316,0.05327831,0.03811513,0.02428709,0.03314916
616.6273,0.009113886,0.01746748,0.05509613,0.03701855,0.02440569,0.03412263
617.1094,0.008986902,0.01727231,0.05639938,0.03595457,0.02449544,0.03511801
617.5916,0.008812803,0.01730966,0.05734362,0.03519355,0.02457171,0.03618343
618.0737,0.008583282,0.01746878,0.05811939,0.0349333,0.02465441,0.03729725
618.5558,0.008293448,0.01762082,0.05885321,0.03521695,0.02477329,0.03834677
619.0379,0.007957301,0.01767446,0.05954203,0.03590491,0.02495308,0.03917013
619.52,0.007617607,0.0176222,0.06007341,0.03671995,0.02519452,0.03961501
620.0021,0.007346691,0.01757259,0.06028213,0.03734923,0.0254566,0.03960903
620.4843,0.007227127,0.01771995,0.06004036,0.03759349,0.02566204,0.03921102
620.9664,0.007331543,0.01829119,0.05929337,0.03743446,0.02571186,0.03859727
621.4485,0.00769467,0.01944451,0.05806836,0.0370576,0.0255167,0.03801211
621.9306,0.008296435,0.02117477,0.05643076,0.03675562,0.02503666,0.03766273
622.4127,0.009059538,0.02327811,0.05444131,0.03682885,0.02430435,0.03766697
622.8948,0.009862961,0.02537596,0.05213039,0.03744101,0.02343403,0.03799965
623.377,0.01058041,0.0270559,0.04951464,0.03853991,0.02258752,0.03850735
623.8591,0.01109447,0.02796649,0.04666217,0.03984967,0.02194752,0.03894239
624.3412,0.01132269,0.02796368,0.04376608,0.04094874,0.02165174,0.039044
624.8233,0.01123395,0.02715279,0.04115265,0.04144149,0.02173998,0.03863803
625.3054,0.01084198,0.02585863,0.03927865,0.04105508,0.02213986,0.03768063
625.7875,0.01020115,0.02450464,0.03859567,0.03975714,0.0226758,0.03629752
626.2697,0.009390802,0.02344098,0.03937922,0.03774096,0.0231386,0.03473204
626.7518,0.008508529,0.02286535,0.04164219,0.03536484,0.02333312,0.03329479
627.2339,0.007652902,0.02275223,0.04507487,0.03303197,0.02315924,0.03224947
627.716,0.00690769,0.02290646,0.04914375,0.03107311,0.02264122,0.03172956
628.1981,0.006341735,0.02303727,0.05316442,0.02973465,0.02192182,0.03171372
628.6802,0.005994406,0.02287858,0.05650014,0.02914209,0.02121259,0.0320273
629.1624,0.005874906,0.02227225,0.05870806,0.02933017,0.02071528,0.03241361
629.6445,0.005967732,0.02119376,0.05958619,0.03028277,0.02057089,0.03259641
630.1266,0.006242928,0.01975765,0.05923764,0.03195198,0.02079825,0.03239878
630.6087,0.006673031,0.01816951,0.05800113,0.03426567,0.02130054,0.03180761
631.0908,0.007241414,0.01669355,0.05638082,0.03710423,0.02189233,0.0310015
631.5729,0.007945815,0.01557517,0.05487838,0.04028464,0.02237873,0.03029859
632.0551,0.008786994,0.01500023,0.05388395,0.04354925,0.02261572,0.03005041
632.5372,0.009749892,0.01507612,0.05362161,0.04655129,0.02254189,0.03053768
633.0193,0.01078893,0.01580423,0.05410158,0.04893457,0.02218783,0.03183946
633.5014,0.01182279,0.01709056,0.05515333,0.0503915,0.02163585,0.03380362
633.9835,0.01274083,0.01875733,0.05646333,0.05073739,0.02097169,0.03606185
