absorbance_2.2_1,2.2_1,2.2_2,2.2_3,2.2_4,6.10_1 (1),6.10_2,6.10_3,6.10_4
598.3069,0.07734847,0.0234528,0.04916289,0.03564799,0.08432514,0.02204937,0.01938695,0.06752649
598.789,0.08157678,0.01789231,0.05040038,0.03556147,0.0842122,0.01744379,0.01947946,0.07005783
599.2711,0.08629817,0.01233753,0.05167394,0.03456813,0.08325921,0.01359013,0.02071156,0.07176112
599.7532,0.09078106,0.007817684,0.05268995,0.03262688,0.08171622,0.01083484,0.02277702,0.07231345
600.2354,0.09433442,0.005174159,0.0533243,0.03001299,0.07992125,0.009393891,0.02495724,0.07176523
600.7175,0.09657665,0.004730524,0.05362383,0.02721689,0.07823584,0.009287896,0.02642602,0.07047108
601.1996,0.09749857,0.006248729,0.05371877,0.02476612,0.07699317,0.01035522,0.02656165,0.06888844
601.6817,0.09740388,0.009014959,0.05375139,0.02307899,0.07646185,0.01227288,0.02516157,0.06742093
602.1638,0.09671105,0.01214687,0.053822,0.0223175,0.07676945,0.01463832,0.02254153,0.0662847
602.6459,0.09576255,0.01485039,0.05400126,0.0224022,0.07789172,0.01701923,0.01940519,0.0655393
603.1281,0.09469735,0.01660038,0.05436171,0.02307434,0.07963457,0.0190066,0.01665295,0.06516232
603.6102,0.09341972,0.01728155,0.05498759,0.02402517,0.08167435,0.02032622,0.01502669,0.06512801
604.0923,0.09169593,0.01713513,0.05596849,0.02498325,0.08359157,0.02088157,0.01493362,0.06544217
604.5744,0.0893149,0.01665583,0.05734354,0.02577987,0.0849468,0.02079167,0.01631692,0.06612711
605.0565,0.08625738,0.01636076,0.05904042,0.026373,0.08541251,0.02034698,0.01870797,0.06717029
605.5386,0.08276992,0.01664356,0.06083585,0.02680634,0.08482546,0.01993469,0.02137215,0.06847976
606.0208,0.07934634,0.01763016,0.06236073,0.02715284,0.08324517,0.01992555,0.02353485,0.06987305
606.5029,0.07654206,0.01915527,0.06321727,0.02745901,0.08092859,0.0205464,0.02466253,0.07113609
606.985,0.07485063,0.02083114,0.06306361,0.02772181,0.07828512,0.02185718,0.02454907,0.07206814
607.4671,0.07452978,0.02219123,0.06175336,0.02789559,0.07578399,0.02374403,0.02338689,0.0725487
607.9492,0.07553344,0.02288863,0.0594008,0.02792618,0.07381611,0.02599342,0.02165199,0.07256068
608.4313,0.07755041,0.02278315,0.05637104,0.02778366,0.07265501,0.0283449,0.01998418,0.07216331
608.9135,0.0801122,0.02200814,0.05318271,0.0274888,0.07238674,0.0305569,0.01897408,0.07144935
609.3956,0.08277027,0.02088787,0.05032494,0.02711108,0.07291922,0.03244796,0.01896679,0.07050299
609.8777,0.08515906,0.01984209,0.04818333,0.02675417,0.07400927,0.03386973,0.02000441,0.06939724
610.3598,0.08707783,0.01921413,0.04692803,0.0265214,0.07532659,0.03470888,0.02178998,0.06820937
610.8419,0.08847804,0.01914583,0.04651463,0.02647932,0.07654756,0.03489708,0.02381431,0.06704172
611.324,0.08939758,0.01955394,0.04674344,0.02664749,0.07738477,0.0344291,0.02545899,0.06603947
611.8062,0.08990099,0.02016676,0.04734707,0.02699257,0.07766522,0.03340273,0.02622168,0.06535425
612.2883,0.09003305,0.02066072,0.0480902,0.02744743,0.07735042,0.03201433,0.02587566,0.0650873
612.7704,0.08981512,0.02076347,0.04879287,0.02791839,0.07652283,0.03054079,0.02451264,0.06524502
613.2525,0.08925991,0.02037342,0.04935292,0.02830058,0.07535484,0.02923999,0.0225146,0.06570987
613.7346,0.08839812,0.01956758,0.04971665,0.02848722,0.07405274,0.02825838,0.02039385,0.0662801
614.2167,0.08729678,0.0185503,0.04984346,0.02836074,0.07283613,0.0275731,0.01868499,0.06671628
614.6989,0.08605365,0.01753761,0.04970429,0.02781811,0.07188097,0.02698064,0.01776104,0.06684222
615.181,0.08477778,0.01665135,0.04929594,0.02679782,0.07129577,0.0261808,0.01777111,0.06659953
615.6631,0.08357771,0.0158629,0.04867738,0.02531169,0.07110509,0.02488163,0.01865149,0.06605317
616.1452,0.08253146,0.01499918,0.04798079,0.02347242,0.07123675,0.02296494,0.02018289,0.06533907
616.6273,0.08168368,0.0138254,0.04738566,0.02148796,0.07153648,0.02056334,0.02208677,0.06458283
617.1094,0.08105983,0.01214567,0.04706833,0.01963983,0.07178362,0.01807139,0.0240761,0.06383479
617.5916,0.08067523,0.00992186,0.04710995,0.01818875,0.07176644,0.01599843,0.02591359,0.06305184
618.0737,0.08055606,0.007306912,0.04745369,0.0173168,0.07132409,0.0148176,0.02738216,0.06214794
618.5558,0.08074221,0.004630853,0.04790128,0.01707513,0.07039163,0.01481715,0.02824707,0.06107458
619.0379,0.08127259,0.002288092,0.04819274,0.01737072,0.06903151,0.01598286,0.02828294,0.05989018
619.52,0.08216399,0.0006552581,0.04809292,0.01799812,0.06743148,0.01801151,0.02731035,0.05877747
620.0021,0.08339126,0.0,0.04749501,0.01869384,0.06588262,0.02038223,0.0252758,0.05800233
620.4843,0.08488658,0.0003998131,0.04648256,0.01923319,0.06468163,0.02255095,0.02231314,0.05779218
620.9664,0.08653246,0.001745004,0.04531965,0.01946316,0.06408881,0.02405654,0.01876399,0.05825577
621.4485,0.08816554,0.003766962,0.04438027,0.01933875,0.06425162,0.02463393,0.01512271,0.05931306
621.9306,0.08960447,0.006140006,0.04399431,0.01890901,0.06516928,0.02425253,0.01186236,0.06072775
622.4127,0.09065429,0.008534698,0.04435501,0.01828557,0.06670143,0.02307118,0.009335176,0.0621761
622.8948,0.09114175,0.01069475,0.0454323,0.01759767,0.06860314,0.02137278,0.007647822,0.06336397
623.377,0.09095868,0.01248276,0.04700091,0.01694784,0.07060911,0.0194602,0.006664226,0.06413601
623.8591,0.09008138,0.01385924,0.04871465,0.01641132,0.07246591,0.01763013,0.006085876,0.06448356
624.3412,0.08859751,0.01487055,0.05025058,0.0160381,0.07398871,0.01611511,0.005602799,0.06451686
624.8233,0.08668684,0.01560694,0.05144334,0.0158646,0.07508537,0.01504174,0.005044103,0.06436774
625.3054,0.08460849,0.01617665,0.05231506,0.01593098,0.07573891,0.01442746,0.004425054,0.06412049
625.7875,0.0826342,0.01667221,0.05305137,0.01627507,0.07599505,0.01416865,0.003919279,0.06376782
626.2697,0.08097232,0.01714857,0.05387709,0.01691248,0.07593177,0.014083,0.003722004,0.0632418
626.7518,0.07974725,0.01762299,0.05496451,0.01782277,0.07564795,0.01395288,0.003933297,0.06247802
627.2339,0.07897314,0.01807243,0.0563395,0.01893861,0.07524736,0.01361175,0.004469955,0.06149262
627.716,0.07858922,0.01844383,0.05788689,0.02015805,0.07482652,0.01300253,0.00510594,0.06039912
628.1981,0.07850482,0.01865517,0.05938892,0.02135466,0.07448151,0.01219237,0.005558098,0.05939126
