absorbance_6.4_1A,6.4_1A,6.4_1AA,6.8_1A,6.8_2A
719.8003,0.1001999,0.08126646,0.143679,0.106872
720.2824,0.1017629,0.08175744,0.1441734,0.1078554
720.7645,0.1033112,0.08216514,0.1443049,0.1083771
721.2466,0.1046915,0.08250975,0.1441434,0.1085363
721.7288,0.1056723,0.08277553,0.1437117,0.1083964
722.2109,0.1059911,0.08291331,0.1429745,0.1079559
722.693,0.1054768,0.08286043,0.1418642,0.1071531
723.1751,0.1041281,0.08256484,0.1403294,0.1059092
723.6572,0.1021406,0.08200311,0.1383701,0.1041755
724.1393,0.09984982,0.08119161,0.1360554,0.1019821
724.6215,0.09762454,0.0801791,0.1335029,0.09944808
725.1036,0.09577652,0.0790338,0.1308497,0.09677316
725.5857,0.09444876,0.077815,0.1282026,0.09417721
726.0678,0.09360808,0.07655645,0.1256233,0.09185222
726.5499,0.09307425,0.07525798,0.1231343,0.08992085
727.032,0.09261678,0.07389025,0.1207402,0.08840068
727.5142,0.09203417,0.07241029,0.1184596,0.08721785
727.9963,0.09121552,0.07078678,0.1163479,0.08623247
728.4784,0.09016147,0.06901934,0.1144891,0.08529669
728.9605,0.08895205,0.06715089,0.1129795,0.08428441
729.4426,0.08769776,0.06526724,0.1118915,0.08312236
729.9247,0.08648285,0.06347251,0.1112375,0.08179957
730.4069,0.08534807,0.06187491,0.1109581,0.08035398
730.889,0.08428717,0.06055665,0.110927,0.07884972
731.3711,0.08326982,0.05955098,0.1109951,0.07734784
731.8532,0.08226497,0.05883985,0.1110111,0.07589572
732.3353,0.08125774,0.05835404,0.1108561,0.07452175
732.8174,0.08025008,0.05799723,0.1104597,0.07324462
733.2996,0.07925066,0.05765213,0.1097864,0.07209141
733.7817,0.07826379,0.05720786,0.1088307,0.07110761
734.2638,0.07728346,0.05658323,0.1076102,0.07035328
734.7459,0.07629482,0.05573297,0.1061694,0.06989542
735.228,0.0752804,0.05466284,0.1045863,0.06977992
735.7101,0.07422481,0.053426,0.1029711,0.07000989
736.1923,0.07311465,0.05211448,0.1014729,0.07052825
736.6744,0.07193856,0.05083274,0.100251,0.07121442
737.1565,0.07068989,0.04966523,0.09944014,0.07190656
737.6386,0.06937438,0.04865923,0.09913214,0.07241206
738.1207,0.06802227,0.04780179,0.0993373,0.07256366
738.6028,0.06669524,0.04702936,0.09998259,0.07225898
739.085,0.06549073,0.0462462,0.1009118,0.07148694
739.5671,0.06451662,0.04536942,0.1019249,0.07034355
740.0492,0.06386067,0.04436431,0.1028122,0.06900927
740.5313,0.06356311,0.04326662,0.1033783,0.06772084
741.0134,0.0635885,0.04217238,0.1034902,0.0666907
741.4955,0.06382886,0.04120465,0.1030907,0.06605837
741.9777,0.06412121,0.04046687,0.1022087,0.06585251
742.4598,0.06430691,0.03998929,0.1009501,0.06598292
742.9419,0.06426519,0.03971355,0.09948105,0.06627139
743.424,0.06394479,0.03950342,0.09800009,0.06650078
743.9061,0.0633695,0.03920305,0.09668168,0.06649416
744.3882,0.06261418,0.03868486,0.09565292,0.06614468
744.8704,0.06177503,0.03790451,0.0949599,0.06543983
745.3525,0.06092982,0.03691944,0.09456031,0.06444369
745.8346,0.0601305,0.03587426,0.09433943,0.06326345
746.3167,0.05940261,0.03495497,0.0941473,0.06200263
746.7988,0.05875884,0.03431566,0.09385699,0.06072508
747.2809,0.058217,0.03404839,0.09338948,0.05945482
747.7631,0.0578074,0.03415341,0.09273571,0.05819485
748.2452,0.05756311,0.03455532,0.09194238,0.05695836
748.7273,0.05750841,0.0351258,0.0910874,0.05579805
749.2094,0.05764134,0.03572553,0.09024182,0.05480973
749.6915,0.05792893,0.0362425,0.0894409,0.05410248
750.1736,0.05830961,0.03659835,0.08867958,0.05376834
750.6558,0.05871067,0.03675857,0.08792251,0.05383398
751.1379,0.05906903,0.03672217,0.08713017,0.05424466
751.62,0.05933156,0.03650746,0.08628158,0.0548703
752.1021,0.05946117,0.03614285,0.08539104,0.05554681
752.5842,0.05942956,0.03565831,0.08450368,0.05613269
753.0663,0.05920932,0.0350877,0.08368535,0.05653832
753.5485,0.05877893,0.03446374,0.08299728,0.05675806
754.0306,0.05813306,0.03381512,0.08247817,0.05685345
754.5127,0.05729622,0.03316491,0.08214082,0.05692193
754.9948,0.05633075,0.03252685,0.08197272,0.05704408
755.4769,0.05533294,0.0319077,0.08194752,0.05725073
755.959,0.05442421,0.03131506,0.08203332,0.05751129
756.4412,0.05371433,0.03076412,0.08220076,0.05775165
756.9233,0.05327866,0.03028455,0.08242255,0.05788752
