absorbance_2.10_1 (2),2.10_1 (2),2.10_2 (2),2.10_3 (2),2.10_4 (2),2.10_5 (2)
584.8076,0.04711555,0.04893436,0.05128082,0.04925039,0.036319
585.2897,0.0418109,0.04235091,0.04721814,0.05190311,0.0342154
585.7719,0.03712116,0.03512818,0.04338999,0.05497128,0.03114223
586.254,0.03400495,0.02813017,0.04029473,0.05813219,0.02733253
586.7361,0.03300942,0.02209436,0.03817185,0.06117929,0.02330075
587.2182,0.03428409,0.01823713,0.03541661,0.06458123,0.01943741
587.7003,0.03691758,0.01597743,0.03358335,0.06766032,0.01615964
588.1824,0.04007912,0.0153785,0.03265518,0.07023721,0.01361245
588.6646,0.04291547,0.01627393,0.03253683,0.07209649,0.01172282
589.1467,0.04478406,0.01829074,0.03310111,0.07303126,0.01028086
589.6288,0.04544042,0.02096662,0.03424562,0.07292004,0.009076875
590.1109,0.04501181,0.02380973,0.03590111,0.07176664,0.007977703
590.593,0.04393922,0.02639102,0.03801229,0.06973176,0.006969476
591.0751,0.04277614,0.02844131,0.04050512,0.06710171,0.006133075
591.5573,0.04205059,0.02984468,0.0432361,0.06426092,0.005594324
592.0394,0.04208235,0.03062255,0.04598905,0.06160219,0.005474187
592.5215,0.04290257,0.03085803,0.0485348,0.05941937,0.005850488
593.0036,0.04429735,0.03063332,0.05067985,0.05790008,0.006769254
593.4857,0.04590056,0.02999604,0.05232343,0.05711941,0.008247754
593.9678,0.0473277,0.02897642,0.0534605,0.05707517,0.01025857
594.45,0.04820487,0.02762534,0.05413929,0.05771028,0.01269802
594.9321,0.04825199,0.02603948,0.05441425,0.05890047,0.01534492
595.4142,0.04734883,0.02434654,0.0543066,0.06044234,0.01788164
595.8963,0.04556371,0.02268444,0.05379067,0.06201975,0.0199107
596.3784,0.04317835,0.021145,0.05280954,0.06324354,0.02109032
596.8605,0.04060846,0.01974745,0.05132182,0.06373511,0.02125396
597.3427,0.03834279,0.01845459,0.0493443,0.06316762,0.02045757
597.8248,0.0367934,0.01722396,0.04699624,0.06137569,0.01898401
598.3069,0.03619996,0.01606925,0.04449807,0.05840054,0.01723805
598.789,0.03659764,0.01510904,0.04216921,0.05452769,0.01567756
599.2711,0.03779462,0.01454907,0.04033054,0.05025151,0.01466871
599.7532,0.03944323,0.01460713,0.03920771,0.04616737,0.01441551
600.2354,0.04111192,0.01542268,0.03885564,0.04287268,0.01495196
600.7175,0.04245055,0.01696244,0.03912828,0.04075793,0.01615587
601.1996,0.04327225,0.01901572,0.03975176,0.03994174,0.01781403
601.6817,0.04356384,0.02123607,0.04042673,0.04028369,0.01965731
602.1638,0.0434476,0.02326574,0.04096182,0.04147756,0.02141121
602.6459,0.04310849,0.02481177,0.04132211,0.04316832,0.02279499
603.1281,0.04274511,0.0256936,0.04162741,0.04504015,0.02352885
603.6102,0.04251223,0.02587736,0.04208792,0.04690875,0.02340515
604.0923,0.04250438,0.02544425,0.04293461,0.04872183,0.0223365
604.5744,0.04271767,0.02455518,0.04434593,0.05053306,0.0204233
605.0565,0.04302942,0.02339087,0.04638413,0.05242598,0.01795083
605.5386,0.04318915,0.02213163,0.04899293,0.05443434,0.01535263
606.0208,0.04285385,0.02095078,0.05200387,0.05647241,0.01311056
606.5029,0.04171813,0.02000448,0.05518451,0.05833754,0.0115942
606.985,0.03961955,0.01946133,0.05824394,0.05974206,0.01101204
607.4671,0.03668522,0.01948968,0.0608568,0.06041402,0.01136483
607.9492,0.03334906,0.02021714,0.06271215,0.06021425,0.01249332
608.4313,0.03032598,0.02170481,0.06351779,0.05918209,0.01414353
608.9135,0.02841339,0.02389362,0.06307604,0.05754789,0.0160431
609.3956,0.02819993,0.02660282,0.06135584,0.05563459,0.01795817
609.8777,0.02992064,0.02952446,0.05854648,0.05378936,0.01966201
610.3598,0.03329914,0.03228028,0.05507984,0.05226476,0.02093578
610.8419,0.03765557,0.0345161,0.05153188,0.05116292,0.0215848
611.324,0.04204462,0.03594064,0.0485622,0.05045569,0.02146429
611.8062,0.04560548,0.03642103,0.04670073,0.05003291,0.02057386
612.2883,0.04784947,0.0360041,0.04618993,0.04978384,0.01910285
612.7704,0.04872686,0.03490329,0.04693411,0.04963993,0.01745015
613.2525,0.04859149,0.03342764,0.04851082,0.0495939,0.01611445
613.7346,0.04795377,0.03187745,0.05032963,0.04966596,0.01552973
614.2167,0.04728477,0.03048733,0.05175731,0.04985447,0.01594648
614.6989,0.04679982,0.02934663,0.05235095,0.05009151,0.01729646
615.181,0.04643366,0.02840484,0.05196811,0.05024102,0.01921651
615.6631,0.04592528,0.02751798,0.05079871,0.05012006,0.02112406
616.1452,0.04501728,0.02653628,0.04929086,0.04958478,0.02245834
616.6273,0.04363673,0.02538878,0.04798834,0.0485972,0.02287253
617.1094,0.04199098,0.02412925,0.04738112,0.04726578,0.02234633
617.5916,0.04049299,0.02292331,0.04771398,0.04582961,0.02118059
618.0737,0.03959316,0.02198102,0.04894668,0.04460545,0.01984618
618.5558,0.03960004,0.02147142,0.0507786,0.04393259,0.01880669
619.0379,0.04053437,0.02143199,0.05278186,0.04407122,0.01831994
619.52,0.04213963,0.02175184,0.05451635,0.04516577,0.01840054
620.0021,0.04396782,0.02219834,0.05563259,0.04719141,0.01885388
620.4843,0.04557579,0.02252433,0.05595981,0.04993388,0.0194093
620.9664,0.04663726,0.02255074,0.05549949,0.05299032,0.01982957
621.4485,0.04703784,0.02224735,0.05441693,0.05581234,0.01999742
621.9306,0.04686785,0.02173959,0.05297567,0.05785316,0.01992688
622.4127,0.0463464,0.02126571,0.05150037,0.05862666,0.01971117
622.8948,0.04571906,0.02108928,0.05030923,0.05784778,0.01945361
623.377,0.0451576,0.02138657,0.04963569,0.05552711,0.01921617
623.8591,0.04473986,0.02220128,0.04960561,0.05200243,0.01902118
624.3412,0.0444435,0.02341495,0.05019398,0.04791417,0.018877
624.8233,0.04418661,0.02480076,0.05124,0.04401533,0.01881085
625.3054,0.04386023,0.02607983,0.05247267,0.04105774,0.01887661
625.7875,0.04336409,0.02701902,0.05359253,0.03953114,0.01912161
626.2697,0.04262998,0.02749415,0.05437027,0.03952843,0.01953635
626.7518,0.04162131,0.02748502,0.05467949,0.04076738,0.02001884
627.2339,0.04034929,0.0270555,0.05453096,0.04271878,0.02038934
627.716,0.03887894,0.02630888,0.05403055,0.04483999,0.02046278
628.1981,0.03734313,0.02537022,0.05333222,0.04668831,0.02011265
628.6802,0.03592914,0.0243733,0.05257316,0.04804791,0.01935196
629.1624,0.03484092,0.02345813,0.05183439,0.04890433,0.01833764
629.6445,0.03427371,0.02278157,0.05114061,0.04936028,0.01733475
630.1266,0.03434379,0.02248203,0.05047406,0.04953613,0.0165981
630.6087,0.03505818,0.02264448,0.04980654,0.04949564,0.01626348
631.0908,0.03630754,0.02327058,0.04912848,0.0492282,0.01628451
631.5729,0.03789704,0.02425858,0.04845988,0.04868699,0.0164381
632.0551,0.03959671,0.0254266,0.04784302,0.04785587,0.01641481
632.5372,0.04117663,0.02655046,0.04732591,0.04681375,0.01592121
633.0193,0.04246621,0.02745337,0.0469418,0.04574326,0.01481889
633.5014,0.04336437,0.0280571,0.04670353,0.04489326,0.01316925
633.9835,0.04384008,0.02841322,0.04660967,0.044505,0.01122678
634.4656,0.04392502,0.02867456,0.04665938,0.04470136,0.009330947
634.9478,0.04369878,0.02903741,0.04686261,0.04544396,0.007802745
635.4299,0.0432744,0.02965993,0.04723914,0.046533,0.00684659
635.912,0.0427689,0.03058823,0.0477969,0.04769989,0.006495946
636.3941,0.04229174,0.03173392,0.04850844,0.04868868,0.006654272
636.8762,0.0419232,0.03289063,0.04928897,0.04934514,0.0071578
637.3583,0.04169685,0.03381334,0.05001143,0.0496559,0.007860381
637.8405,0.04160204,0.03427279,0.05052163,0.04971944,0.008658782
638.3226,0.04159134,0.03413147,0.05068681,0.04969717,0.009498367
638.8047,0.04160297,0.03338498,0.05044669,0.0497409,0.01034819
639.2868,0.04157432,0.03215713,0.04982835,0.04996698,0.01116867
639.7689,0.04145599,0.03066893,0.04894796,0.05043055,0.01190126
640.251,0.0412147,0.02915814,0.04795659,0.05112874,0.01248934
640.7332,0.04082032,0.02783632,0.04700183,0.05201374,0.01290637
641.2153,0.04024261,0.02681418,0.04616722,0.05299873,0.01318821
641.6974,0.0394587,0.02607856,0.04545783,0.05397359,0.01342774
642.1795,0.03847538,0.02550202,0.04481924,0.05479583,0.01375659
642.6616,0.03736272,0.02489421,0.04418723,0.05531789,0.01428425
643.1437,0.03626481,0.02408367,0.04353901,0.05542842,0.01504569
643.6259,0.03540839,0.02297439,0.04292475,0.05508688,0.01597333
644.108,0.03503694,0.02160882,0.0424608,0.05437409,0.01690383
644.5901,0.03532456,0.02016053,0.04227958,0.05348633,0.01763621
645.0722,0.03631064,0.01890965,0.04248274,0.05271715,0.01798176
645.5543,0.0378521,0.0181448,0.04308156,0.05235165,0.01784401
646.0364,0.03966376,0.01807394,0.04399024,0.05257029,0.01724192
646.5186,0.04137686,0.01877543,0.0450405,0.05338501,0.01630696
647.0007,0.04267883,0.02016024,0.04604529,0.05461024,0.01523409
647.4828,0.04340094,0.02200512,0.0468541,0.05591403,0.0142247
647.9649,0.04356259,0.02399193,0.04738279,0.05687859,0.013448
648.447,0.04335352,0.02581495,0.0476327,0.05715119,0.01299039
648.9291,0.04304622,0.02723558,0.04765631,0.0565228,0.01285725
649.4113,0.04289069,0.02811383,0.04751093,0.05497838,0.01298719
649.8934,0.04300011,0.02841712,0.04721186,0.05269115,0.01329002
650.3755,0.04333185,0.02817876,0.04672215,0.04996983,0.01367557
650.8576,0.04372174,0.02746005,0.045974,0.04719795,0.01407856
651.3397,0.0439906,0.02632246,0.04492319,0.044729,0.01446999
651.8218,0.04402333,0.02483587,0.04359577,0.04286953,0.01484935
652.304,0.04383453,0.023104,0.04211972,0.04183967,0.01523142
652.7861,0.04355134,0.0212744,0.04069235,0.04173742,0.01562676
653.2682,0.04335857,0.01955642,0.03954408,0.04254425,0.01602365
653.7503,0.04340805,0.01819473,0.03886098,0.04411365,0.01637748
654.2324,0.04374851,0.01740319,0.03871948,0.04620959,0.01661648
654.7145,0.04432017,0.01733531,0.03907377,0.04851507,0.01665291
655.1967,0.04499137,0.01803077,0.03976824,0.05069179,0.01641723
655.6788,0.04564048,0.01940651,0.0406086,0.05245927,0.01589815
656.1609,0.04620775,0.02126567,0.04140906,0.05361042,0.01516875
656.643,0.04673325,0.02333933,0.04206087,0.05405921,0.01439522
657.1251,0.0473251,0.02536042,0.04255537,0.05383325,0.0137908
657.6072,0.04810664,0.02708312,0.0429681,0.05304796,0.01358012
658.0894,0.04913336,0.02834628,0.04341727,0.0518708,0.01390685
658.5715,0.05034749,0.0290941,0.04400401,0.05047835,0.01477265
659.0536,0.05156706,0.02937219,0.04477944,0.04905955,0.01601127
659.5357,0.05254263,0.02931195,0.04571452,0.04778917,0.01732441
660.0178,0.0530529,0.02908427,0.04671689,0.04681621,0.01838884
660.4999,0.05296617,0.02887213,0.0476525,0.04626354,0.01894131
660.9821,0.05230488,0.02881352,0.04839446,0.04619361,0.01889633
661.4642,0.05122972,0.02897747,0.04885472,0.04659141,0.01836214
661.9463,0.05000744,0.02935799,0.04899385,0.04734993,0.01760906
662.4284,0.04891899,0.02988254,0.04883388,0.04828987,0.01695258
662.9105,0.04818801,0.03044329,0.04844947,0.04920645,0.01663352
663.3926,0.04793565,0.03093108,0.04796067,0.0499225,0.01673613
663.8748,0.04814887,0.03128664,0.04750166,0.05036424,0.01715375
664.3569,0.04871464,0.03151114,0.04719916,0.05056943,0.01765469
664.839,0.04946026,0.03165391,0.047151,0.05066068,0.01797545
665.3211,0.05022036,0.03177695,0.04740057,0.05077312,0.01793408
665.8032,0.05085633,0.03191893,0.04792845,0.05099383,0.01747796
666.2853,0.05127957,0.03208067,0.04864824,0.05132467,0.01671185
666.7675,0.05147652,0.03222042,0.04941641,0.05165545,0.01586943
667.2496,0.05154912,0.03232598,0.05008225,0.05183151,0.01522737
667.7317,0.05172541,0.03246919,0.0505705,0.051762,0.01492379
668.2138,0.0522204,0.0327618,0.0509648,0.05156699,0.0148565
668.6959,0.05305677,0.03322463,0.05143273,0.05149022,0.01474282
669.178,0.05400932,0.03369801,0.05199458,0.05158018,0.01435253
669.6602,0.05480704,0.03400954,0.05252143,0.051663,0.01363273
670.1423,0.05527499,0.03412589,0.05295654,0.05164129,0.01269159
670.6244,0.05536655,0.03413953,0.05337469,0.0516011,0.01174269
671.1065,0.05512637,0.03414961,0.05387059,0.05167673,0.0110129
671.5886,0.05464663,0.03418421,0.05448332,0.05196743,0.01075228
672.0707,0.05405888,0.03419704,0.05517089,0.05250461,0.01114733
672.5529,0.05350414,0.03410482,0.05583715,0.05326545,0.01226065
673.035,0.0531246,0.03383512,0.05636901,0.05419704,0.01399494
673.5171,0.05301445,0.0333745,0.05668618,0.05522463,0.01609348
673.9992,0.05319538,0.03278592,0.05677392,0.05626237,0.0182324
674.4813,0.05361748,0.03220813,0.0566873,0.05720748,0.02007608
674.9634,0.05417814,0.03181018,0.05653033,0.05796041,0.02139055
675.4456,0.05476111,0.03173748,0.05641379,0.05845023,0.02207848
675.9277,0.05525555,0.0320809,0.05642591,0.05865708,0.02216762
676.4098,0.05558781,0.03283504,0.05659448,0.05864459,0.02179269
676.8919,0.05572749,0.03390283,0.05688092,0.05855317,0.02114987
677.374,0.05568486,0.03510831,0.05719081,0.05858307,0.02047457
677.8561,0.05550246,0.03625258,0.05741222,0.0589172,0.01998021
678.3383,0.05524255,0.03715971,0.05745456,0.05966072,0.01982754
678.8204,0.05498552,0.0377017,0.05727863,0.06079855,0.02010697
679.3025,0.05481576,0.03782995,0.05691678,0.06218956,0.02081387
679.7846,0.05481936,0.03756997,0.05646725,0.06360589,0.02185743
680.2667,0.0550759,0.0370156,0.05607945,0.06479509,0.02307296
680.7488,0.05563518,0.03629688,0.05590155,0.06558361,0.02428053
681.231,0.05650789,0.03555881,0.05605146,0.06592166,0.02532225
681.7131,0.05765335,0.03493685,0.0565879,0.06589963,0.02610278
682.1952,0.05898582,0.03452595,0.05749949,0.06569657,0.02660705
682.6773,0.06037428,0.03438028,0.0587147,0.06552005,0.02688171
683.1594,0.06165426,0.0345071,0.06011338,0.06553403,0.02700541
683.6415,0.06266195,0.03486996,0.06155501,0.06580007,0.0270489
684.1237,0.06324697,0.0353978,0.06288008,0.06627276,0.02706291
684.6058,0.06331275,0.03600061,0.06392828,0.06681348,0.02707348
685.0879,0.06284721,0.03660046,0.06456709,0.06725454,0.02709644
685.57,0.06193019,0.03714519,0.06469454,0.06744017,0.02715806
686.0521,0.06072961,0.03762663,0.06426628,0.06728166,0.02730305
686.5342,0.0594579,0.03807632,0.06331067,0.06677799,0.02758415
687.0164,0.05835857,0.03854893,0.0619441,0.06601154,0.028047
687.4985,0.05764969,0.03909354,0.06037288,0.06512547,0.02870148
687.9806,0.05747039,0.0397221,0.05884929,0.06427237,0.02951287
688.4627,0.05786382,0.04039589,0.05764968,0.06358927,0.03040381
688.9448,0.0587596,0.04103001,0.05698757,0.0631521,0.03128303
689.4269,0.06000891,0.04153241,0.05695632,0.0629697,0.03208289
689.9091,0.06141809,0.04183711,0.05751753,0.06300428,0.0327731
690.3912,0.06280868,0.04194842,0.05851489,0.06320865,0.03336833
690.8733,0.06405079,0.0419481,0.05973366,0.06355933,0.03390794
691.3554,0.06505655,0.04198919,0.06094043,0.0640682,0.03443564
691.8375,0.06578179,0.04224897,0.06195492,0.06476919,0.03497846
692.3196,0.06620832,0.04287588,0.06268116,0.06568277,0.03554494
692.8018,0.06633119,0.04395454,0.06310901,0.06677663,0.03613309
693.2839,0.06615961,0.0454677,0.06330395,0.06794633,0.03674173
693.766,0.06572086,0.04730301,0.06336722,0.06902876,0.03737668
694.2481,0.06507151,0.0492683,0.06340405,0.06983617,0.03804301
694.7302,0.06429382,0.05114774,0.06348219,0.07023858,0.03873163
695.2123,0.06348924,0.05273666,0.06362024,0.07021515,0.03940527
695.6945,0.06276689,0.05386953,0.06378669,0.06989003,0.03999468
696.1766,0.0622115,0.05445659,0.06391943,0.0694974,0.04042168
696.6587,0.06187292,0.0544825,0.0639483,0.06932046,0.04062608
697.1408,0.06176173,0.05400451,0.06382378,0.06960016,0.04059792
697.6229,0.06185705,0.05313222,0.06354156,0.07043526,0.04039099
698.105,0.06212525,0.05201406,0.06315282,0.07175597,0.04011612
698.5872,0.06253438,0.05082023,0.06276285,0.07333668,0.03990878
699.0693,0.06306374,0.04970674,0.06250022,0.0748934,0.03987015
699.5514,0.06369717,0.04881028,0.06249422,0.07615612,0.04003641
700.0335,0.06441411,0.04822616,0.06283491,0.07695943,0.04035309
700.5156,0.06518473,0.04799469,0.06354135,0.07728027,0.04070085
700.9977,0.06596848,0.04810962,0.06455686,0.07720439,0.04092686
701.4799,0.06672493,0.04852814,0.0657583,0.07687072,0.04090531
701.962,0.06742979,0.04919364,0.06699961,0.07639574,0.04058808
702.4441,0.06808003,0.05004348,0.0681324,0.07585075,0.04002422
702.9262,0.06869545,0.05101794,0.06905335,0.0752576,0.03935938
703.4083,0.06930453,0.0520598,0.06972814,0.07462482,0.03878653
703.8904,0.06992938,0.05310126,0.07019035,0.0739973,0.03851232
704.3726,0.07057112,0.05406475,0.07052404,0.07348236,0.03868473
704.8547,0.07121193,0.05487681,0.07082579,0.07323378,0.03935229
705.3368,0.07182643,0.05547947,0.07118027,0.07342404,0.04045626
705.8189,0.0724061,0.05586131,0.07163504,0.07417373,0.04184642
706.301,0.07297218,0.05606811,0.07220043,0.07550786,0.04333133
706.7831,0.07357907,0.05620562,0.07286619,0.07734309,0.04471205
707.2653,0.07429197,0.05640667,0.07361642,0.07950958,0.04584887
707.7474,0.07515617,0.05678715,0.07444495,0.08180654,0.04668909
708.2295,0.07617229,0.05741233,0.07535492,0.08403733,0.04727078
708.7116,0.07728544,0.0582653,0.07635307,0.08606412,0.04770117
709.1937,0.07840396,0.05926019,0.07744121,0.08781074,0.04811055
709.6758,0.07942617,0.06027252,0.07861055,0.08924364,0.04861454
710.158,0.08028942,0.06120255,0.07984544,0.09035419,0.04926695
710.6401,0.08099155,0.06201772,0.08113234,0.09114373,0.05005433
711.1222,0.0815971,0.0627762,0.08246684,0.09162472,0.05090869
711.6043,0.08220951,0.06360352,0.08385363,0.09183382,0.05175102
712.0864,0.08293755,0.06464692,0.0852984,0.09184825,0.0525329
712.5685,0.08385967,0.06601547,0.08679029,0.091793,0.05327156
713.0507,0.08500037,0.06772654,0.08829395,0.09181274,0.05404975
713.5328,0.08633977,0.06969526,0.08974861,0.09205425,0.05499142
714.0149,0.08783475,0.07175285,0.09108565,0.09262989,0.05621328
714.497,0.08944941,0.0737182,0.09226293,0.09358582,0.05776819
714.9791,0.0911649,0.07544272,0.09329002,0.09490244,0.05962075
715.4612,0.09297463,0.07686444,0.0942438,0.0965015,0.06164478
715.9434,0.09486249,0.07801668,0.09524199,0.09828137,0.06367241
