absorbance_2.9_1A (2),2.9_1A (2),2.9_1A,2.9_2,2.9_2A,2.9_3A (2),2.9_3A,2.9_4A (2),2.9_4A,6.4_1A,6.4_1AA,6.8_1A,6.8_2A
560.2197,0.0227814,0.03071565,0.05901893,0.03030188,0.08511387,0.02680555,0.0607587,0.03924081,0.03050393,0.01116723,0.06642956,0.03978958
560.7018,0.01986797,0.037332,0.06323908,0.02329496,0.07619809,0.03321378,0.06211904,0.03986526,0.02932602,0.01405259,0.06855422,0.0413415
561.1839,0.01733095,0.04399988,0.06550246,0.01787419,0.06717765,0.03773882,0.06244287,0.0409307,0.02828317,0.01719448,0.06943704,0.04196445
561.666,0.01528596,0.04910211,0.06583992,0.01355354,0.06066677,0.03977651,0.06246163,0.04001123,0.0273619,0.02035921,0.06812561,0.04141692
562.1481,0.01290276,0.05020477,0.06458505,0.0118126,0.05475196,0.04261043,0.05794586,0.04282822,0.0286961,0.02344301,0.06890848,0.03970689
562.6302,0.01122992,0.04962355,0.06231758,0.01458053,0.04960972,0.04326059,0.05349464,0.04638255,0.03088464,0.02651602,0.06833792,0.03711053
563.1124,0.01043759,0.04678824,0.05969205,0.01993485,0.04628628,0.0429052,0.04961476,0.05053315,0.03337228,0.02973828,0.06754121,0.03407617
563.5945,0.01105684,0.04244273,0.05736555,0.02699054,0.04498102,0.04152045,0.04727137,0.05532817,0.03568913,0.03324353,0.06711248,0.03116882
564.0766,0.01348532,0.03746348,0.05580453,0.03480212,0.04574908,0.03889997,0.04693387,0.0607213,0.03738358,0.03699962,0.06758167,0.02892107
564.5587,0.01767482,0.03255671,0.05516792,0.04256433,0.04840654,0.03496899,0.04825839,0.06657465,0.03805382,0.0407727,0.06920537,0.02769051
565.0408,0.02321938,0.02814918,0.05530287,0.04962625,0.05257592,0.03013668,0.0500865,0.07259526,0.03743482,0.04414917,0.07183301,0.02763478
565.5229,0.02940599,0.02434042,0.0558242,0.05546414,0.05767458,0.02534952,0.0508495,0.07841767,0.03540517,0.04669704,0.07488274,0.02869969
566.0051,0.03544502,0.02104539,0.05631512,0.05957734,0.06302524,0.02182017,0.04919339,0.08368979,0.03198772,0.04811349,0.07752924,0.03072726
566.4872,0.04057482,0.01819756,0.05646685,0.06141096,0.06785537,0.02070819,0.0444196,0.08807573,0.02738101,0.04827112,0.07889159,0.03354749
566.9693,0.04433979,0.01589037,0.05622832,0.06054174,0.07149754,0.02251988,0.03692827,0.09127523,0.02205492,0.04722498,0.07842764,0.03705767
567.4514,0.04680043,0.01435486,0.05578039,0.05686034,0.07357751,0.02685881,0.02819523,0.09298702,0.01679666,0.04513576,0.0761058,0.04120894
567.9335,0.04844666,0.01388636,0.05542672,0.05076348,0.0741079,0.03243537,0.02047881,0.09289082,0.01267745,0.0421968,0.07248999,0.04594018
568.4156,0.04967318,0.01232798,0.05537931,0.04169073,0.07496372,0.03977702,0.01238192,0.09245444,0.0131058,0.03856557,0.07114896,0.05109597
568.8978,0.05150602,0.01434896,0.05560229,0.03392702,0.07380176,0.04335534,0.01211299,0.08829034,0.01361493,0.03434086,0.06764786,0.05637689
569.3799,0.05415666,0.01797776,0.05575792,0.02872223,0.07215007,0.04405575,0.01635324,0.08280328,0.01696133,0.02961423,0.06465685,0.06130455
569.862,0.05683974,0.02012636,0.05533917,0.02329155,0.07265621,0.04475128,0.02263851,0.07622152,0.02188672,0.02453068,0.0640556,0.06530036
570.3441,0.05948123,0.021308,0.0538696,0.01992576,0.07448603,0.04520675,0.02995773,0.06983323,0.02753833,0.01935367,0.06454743,0.06775922
570.8262,0.06182134,0.02175495,0.05108281,0.01986239,0.07667547,0.04557008,0.0371045,0.06500165,0.03299586,0.01451189,0.06503054,0.06811593
571.3083,0.06337673,0.02053452,0.04706712,0.02162715,0.07916956,0.04697737,0.04258636,0.06254127,0.0374702,0.01050431,0.06568086,0.06602813
571.7905,0.06418081,0.01764311,0.04224772,0.02447165,0.08125791,0.04929722,0.04599621,0.06292951,0.0409013,0.007791305,0.06648907,0.06147516
572.2726,0.06451704,0.01347216,0.03729847,0.02758326,0.08231871,0.05186841,0.04755888,0.0660223,0.04373248,0.006679134,0.06771055,0.05484203
572.7547,0.06503069,0.009780912,0.03290972,0.03198545,0.0811175,0.05279952,0.0485032,0.07138641,0.04681861,0.007221293,0.06882343,0.04685412
573.2368,0.06529967,0.005254757,0.0296723,0.03387822,0.07949312,0.05360957,0.04829784,0.0776754,0.05020947,0.009262061,0.07166176,0.03848859
573.7189,0.0654504,0.001771821,0.02798511,0.03456463,0.07676397,0.05298964,0.04809143,0.08421053,0.05412596,0.01249427,0.0753303,0.030857
574.201,0.06509583,0.0,0.02799902,0.03405883,0.07314855,0.05095451,0.04818616,0.0903862,0.05810485,0.01655398,0.07931983,0.02494221
574.6832,0.06374414,0.0002989173,0.02966121,0.032714,0.06878752,0.04758052,0.04879017,0.09583775,0.0613583,0.02100382,0.08289576,0.02155019
575.1653,0.06108968,0.002572086,0.03272564,0.03118066,0.06380548,0.0429116,0.05006199,0.1003039,0.06312805,0.02532344,0.08525908,0.02110827
575.6474,0.05718294,0.006330553,0.03682266,0.03019579,0.05836518,0.0369685,0.05210914,0.1034771,0.06307173,0.02899431,0.08589745,0.02352369
576.1295,0.05244565,0.01079556,0.04146892,0.03033846,0.0528046,0.03001679,0.05477918,0.1048654,0.06145915,0.03156787,0.0847204,0.02817499
576.6116,0.04754743,0.0151799,0.0461331,0.03173091,0.04763526,0.02276545,0.05761234,0.1038548,0.05912956,0.03282522,0.08210924,0.03410415
577.0938,0.04307748,0.01898343,0.05032813,0.03406814,0.0433696,0.01622448,0.06005208,0.0999814,0.05710252,0.03284181,0.07872897,0.04042081
577.5759,0.03935846,0.02207504,0.05358809,0.0367672,0.04039805,0.01151562,0.06156639,0.09313591,0.05620331,0.03191834,0.07530203,0.04647525
578.058,0.0363072,0.02466484,0.05549057,0.0392405,0.0389175,0.009554017,0.06179594,0.08376934,0.05674635,0.03045305,0.07238218,0.05195156
578.5401,0.03361549,0.02709291,0.0557151,0.04121215,0.03894437,0.01072347,0.06066053,0.07285467,0.05854327,0.02878764,0.07030462,0.05674466
579.0222,0.03095745,0.02959426,0.0540664,0.04268862,0.04041297,0.01480284,0.05833643,0.06190592,0.06103142,0.02718335,0.06922007,0.06072544
579.5043,0.02817244,0.03214674,0.05063151,0.0439523,0.04322479,0.02097046,0.05516,0.05262528,0.06345226,0.02577355,0.06912497,0.06360942
579.9865,0.02532444,0.03446671,0.04585809,0.04530327,0.04724099,0.02808775,0.0513902,0.04640278,0.06504793,0.02458403,0.06987333,0.06497775
580.4686,0.02267226,0.03611934,0.04060996,0.04696194,0.05221668,0.03494602,0.04717888,0.04400456,0.06516056,0.02358603,0.07121732,0.06437097
580.9507,0.02064678,0.03669123,0.03597295,0.04884801,0.05774708,0.04066839,0.04254869,0.04530171,0.06346463,0.02275692,0.07280096,0.06156255
581.4328,0.01966916,0.03596708,0.03290986,0.05058385,0.06330087,0.04490097,0.03751763,0.0494812,0.06003271,0.02212714,0.07423122,0.05674154
581.9149,0.0200339,0.03399323,0.03205548,0.05161786,0.06821804,0.04772472,0.03222881,0.05535888,0.05530379,0.02178582,0.0751311,0.05059154
582.397,0.02179159,0.03108498,0.03344782,0.05146461,0.07190886,0.04947167,0.02702152,0.06179676,0.04998386,0.02182729,0.07524793,0.0441784
582.8792,0.0247535,0.0277295,0.03655609,0.0499289,0.07398671,0.0504489,0.02236286,0.06794474,0.04488802,0.02228212,0.07453126,0.03868017
583.3613,0.02858593,0.02450228,0.04037827,0.0471671,0.07439116,0.05083841,0.01869048,0.07319931,0.04094395,0.0230653,0.0731302,0.03523589
583.8434,0.03283872,0.02194509,0.04378006,0.04364929,0.07345565,0.05070321,0.01613627,0.07722574,0.03892217,0.02397714,0.07138458,0.03456532
584.3255,0.03705816,0.02046617,0.0458513,0.03994987,0.07184887,0.05013835,0.01442454,0.07985514,0.03926267,0.02477332,0.06969597,0.03681412
584.8076,0.04081957,0.0202967,0.046126,0.03660165,0.07041645,0.04938541,0.01293525,0.08102566,0.0419189,0.02525091,0.06844851,0.04152677
585.2897,0.04380352,0.0213982,0.04477538,0.0339091,0.06981365,0.04880198,0.01103486,0.08079552,0.04629043,0.02536138,0.06789276,0.04779996
585.7719,0.04582213,0.02348149,0.04247949,0.03192771,0.07029119,0.04875834,0.008374384,0.07933073,0.05137596,0.02522641,0.06809346,0.05455075
586.254,0.0467866,0.02603732,0.04020454,0.03055149,0.07159521,0.04948265,0.005117502,0.07691085,0.0559932,0.02508207,0.06895862,0.06071539
586.7361,0.04675934,0.02848929,0.03878613,0.02963591,0.07311045,0.05092521,0.001900349,0.07386702,0.05923899,0.02512475,0.07026879,0.06555609
587.2182,0.04625612,0.03007703,0.03869791,0.03029675,0.07345997,0.05174535,0.0003108904,0.07083818,0.06108758,0.02538705,0.07272705,0.06872085
587.7003,0.04466429,0.03074232,0.03993946,0.03120987,0.07267377,0.05268736,0.0,0.06788373,0.06118938,0.02565938,0.07514931,0.07024455
588.1824,0.04229313,0.03052361,0.04211829,0.03206114,0.07059786,0.05343928,0.001099337,0.06522745,0.05989732,0.02556097,0.07705901,0.07045112
588.6646,0.03964146,0.02967749,0.04466449,0.03260648,0.06735396,0.05372003,0.003459355,0.06311942,0.0578354,0.02467319,0.0781308,0.06979123
589.1467,0.0373395,0.02860043,0.047058,0.03271092,0.06330622,0.05338343,0.006696694,0.06184284,0.05571914,0.02271918,0.07825367,0.06868082
589.6288,0.03595588,0.0276907,0.04903648,0.03238142,0.05893793,0.05249094,0.01035008,0.06163214,0.05411136,0.01973063,0.07751311,0.06734569
590.1109,0.03589813,0.0272902,0.05061797,0.0317708,0.05481157,0.05131343,0.01396857,0.06260131,0.0533452,0.01611674,0.07611175,0.06579286
590.593,0.03723894,0.02759152,0.05205268,0.03115923,0.05148751,0.05028221,0.01721396,0.06460685,0.0534408,0.01264679,0.07428197,0.0638281
591.0751,0.0396519,0.02857241,0.05365035,0.03083906,0.04938081,0.04983139,0.01993196,0.06721722,0.0541409,0.01019129,0.0721895,0.06119446
591.5573,0.04242835,0.02997864,0.05563211,0.0310118,0.04869623,0.05029026,0.02213028,0.06973914,0.05499928,0.009504979,0.06991834,0.0577172
592.0394,0.04466895,0.03136043,0.05799514,0.03163716,0.04933179,0.05174853,0.02393385,0.07144834,0.05556275,0.01088076,0.06748153,0.05347252
592.5215,0.04564084,0.0322327,0.06052402,0.03241149,0.05093464,0.05402884,0.02548656,0.07191416,0.05557134,0.01402357,0.06489218,0.04881563
593.0036,0.04494587,0.03217838,0.06289778,0.03281718,0.05300418,0.05674127,0.02688707,0.07113484,0.05500934,0.01815962,0.06222404,0.04432829
593.4857,0.04266461,0.03100583,0.06483918,0.03230589,0.05507585,0.05939695,0.02813647,0.06955253,0.05408782,0.02233021,0.05964419,0.0406602
593.9678,0.03924872,0.028811,0.06621334,0.03051298,0.05686901,0.06154525,0.02914662,0.06781733,0.05310589,0.0257559,0.05737188,0.03832815
594.45,0.0353765,0.02597213,0.06699818,0.02734844,0.05829044,0.06278362,0.02977134,0.06660716,0.05235419,0.02792186,0.05564849,0.03765298
594.9321,0.03173501,0.02307572,0.0672265,0.02308172,0.05942262,0.06281498,0.02987361,0.06638221,0.05200184,0.02867197,0.05467048,0.03862818
595.4142,0.02882478,0.02073003,0.06690986,0.01824812,0.06042774,0.06148778,0.02939592,0.0672639,0.05205996,0.02813583,0.05454311,0.04092053
595.8963,0.02692783,0.01946123,0.06599925,0.0135646,0.0614571,0.05880727,0.02839395,0.06906252,0.05240023,0.02662595,0.05529258,0.04390104
596.3784,0.02605562,0.01951388,0.06440362,0.009698026,0.06255569,0.05499443,0.02704823,0.07136508,0.05280545,0.02452529,0.05687513,0.04682877
596.8605,0.02603398,0.02079707,0.0620562,0.007068774,0.06363626,0.05046842,0.02560329,0.07372306,0.05305522,0.02218138,0.05921755,0.04909529
597.3427,0.02660461,0.02290685,0.05898321,0.005818198,0.06449643,0.04586666,0.02432099,0.07573606,0.05296179,0.01991646,0.0622348,0.05033632
597.8248,0.02755274,0.02525054,0.055363,0.005789325,0.06491143,0.0419179,0.02338307,0.07714299,0.05242351,0.01800325,0.06582756,0.05056317
598.3069,0.02878386,0.0272256,0.05151807,0.006654467,0.0647327,0.03927812,0.02283731,0.07780065,0.05143991,0.01667986,0.06984856,0.05010737
598.789,0.03032299,0.02831323,0.04791262,0.008020578,0.06394587,0.03841777,0.02258612,0.07761805,0.0501122,0.01617395,0.07403005,0.04953283
599.2711,0.03226228,0.02826746,0.04502681,0.009577822,0.06270444,0.03940853,0.02241601,0.07654546,0.04862934,0.01663806,0.07798751,0.04942322
599.7532,0.03465866,0.02716812,0.04324322,0.01115276,0.06126644,0.04189516,0.02208075,0.0746038,0.04722813,0.01809477,0.08127702,0.05018641
600.2354,0.03744042,0.02541434,0.042775,0.01268786,0.05990715,0.0451554,0.02138133,0.07196032,0.04615341,0.02039542,0.08347303,0.0519471
600.7175,0.04037341,0.02356758,0.0435962,0.0141822,0.05876936,0.04838264,0.02026533,0.06897193,0.04557286,0.02324473,0.08433919,0.0544958
601.1996,0.04311109,0.02215217,0.04547519,0.01560927,0.05780211,0.05095094,0.01883929,0.06615452,0.0455423,0.02628371,0.08389442,0.05740497
601.6817,0.04527093,0.0215082,0.04802102,0.01686186,0.05676977,0.05257116,0.01733998,0.06411325,0.04599621,0.02916356,0.08241487,0.06015177
602.1638,0.04657376,0.0216696,0.05078524,0.01777581,0.05537476,0.05335753,0.01603887,0.0633287,0.04677503,0.03164539,0.08033185,0.06230294
602.6459,0.0468995,0.02240177,0.05330881,0.01818948,0.05339475,0.05369373,0.01517177,0.06403825,0.04767516,0.03360204,0.07811544,0.06357607
603.1281,0.04629995,0.02328004,0.05515809,0.01803926,0.05080485,0.05404869,0.01489544,0.0661467,0.04849094,0.0349826,0.07617344,0.06385671
603.6102,0.04495304,0.0238661,0.05603129,0.01744035,0.04783615,0.0547284,0.01525496,0.06924094,0.04908412,0.03576563,0.07473463,0.06319461
604.0923,0.04308567,0.02382578,0.05579834,0.01670933,0.04494838,0.05577127,0.0162093,0.07267714,0.04940336,0.03590126,0.07385009,0.06175589
604.5744,0.04088643,0.02304685,0.05456641,0.01631953,0.04272626,0.05693362,0.01765716,0.07572914,0.0494919,0.03528805,0.07342139,0.05978411
605.0565,0.03843982,0.02168287,0.05265433,0.01672656,0.04166321,0.0578466,0.01948129,0.07782906,0.04944903,0.03381432,0.07329121,0.05753576
605.5386,0.03574543,0.02011169,0.05052824,0.01824302,0.04205286,0.05817958,0.02155691,0.07864702,0.0493849,0.03141577,0.07332005,0.05526903
606.0208,0.03278799,0.01882217,0.04866276,0.02089106,0.04387905,0.05780976,0.02374653,0.07815976,0.04936836,0.02816428,0.07344819,0.05322203
606.5029,0.02963355,0.01821504,0.04735617,0.02436841,0.04683416,0.05687903,0.02589793,0.07659993,0.04939856,0.02430091,0.07370428,0.05157528
606.985,0.02651701,0.01850274,0.04666502,0.02807781,0.0503722,0.05574863,0.02781262,0.07437518,0.04941643,0.02024316,0.07417151,0.05044749
607.4671,0.02386027,0.01961844,0.04637913,0.03128162,0.0538268,0.05486281,0.02925674,0.07197163,0.04933374,0.0165199,0.07493622,0.04985534
607.9492,0.02215309,0.02126995,0.0461405,0.03337295,0.0565993,0.05455048,0.0300177,0.06983,0.04907735,0.0136144,0.07604085,0.04970282
608.4313,0.02185881,0.02303504,0.04556865,0.03401105,0.05820218,0.054935,0.02993007,0.0683384,0.04861045,0.01190665,0.07746752,0.04978007
608.9135,0.02321658,0.02453345,0.04443837,0.03327113,0.0583712,0.05588278,0.02894891,0.06776486,0.04793715,0.01155334,0.0791421,0.04980896
609.3956,0.02613318,0.025579,0.04277636,0.03156614,0.05709377,0.05710365,0.02716876,0.06821053,0.04708661,0.01245841,0.08096342,0.04953425
609.8777,0.03017265,0.02621276,0.04086357,0.02950894,0.05459323,0.05825747,0.02482153,0.06959401,0.04609992,0.01429301,0.0828141,0.04877713
610.3598,0.03466325,0.02667718,0.0391392,0.02764476,0.05129389,0.05910268,0.02221495,0.07163227,0.04502258,0.0165788,0.08457626,0.04751745
610.8419,0.0389313,0.02727044,0.03801598,0.02623319,0.04771731,0.05956412,0.01963469,0.07391082,0.04391409,0.01883674,0.08614229,0.04590384
