absorbance_2.3_1_oilA,2.3_1_oilA,2.3_2_oilA,2.3_3_oilA
614.6989,0.06680119,0.04051872,0.03849816
615.181,0.06662554,0.04144697,0.03714967
615.6631,0.06662492,0.04267046,0.03544926
616.1452,0.06677081,0.04409741,0.0337263
616.6273,0.06695855,0.04552481,0.0322548
617.1094,0.06702305,0.04667908,0.03118766
617.5916,0.06680635,0.04733926,0.03051106
618.0737,0.06621121,0.04741135,0.03008141
618.5558,0.06524705,0.04696855,0.02968783
619.0379,0.06403852,0.04621807,0.02915371
619.52,0.06280299,0.04542384,0.02838891
620.0021,0.06179976,0.04481533,0.02742071
620.4843,0.0612408,0.0444921,0.0263669
620.9664,0.06125319,0.04441981,0.02538751
621.4485,0.06184327,0.04447038,0.02463169
621.9306,0.06290749,0.04451763,0.02419301
622.4127,0.06425982,0.04450715,0.02412265
622.8948,0.06567518,0.0445037,0.02444841
623.377,0.06695392,0.04465718,0.02519632
623.8591,0.06793875,0.045142,0.02639629
624.3412,0.0685554,0.04605598,0.02805153
624.8233,0.0688219,0.0473501,0.03010067
625.3054,0.06883705,0.04880979,0.03237706
625.7875,0.06874225,0.05011685,0.03461806
626.2697,0.06865773,0.05097889,0.03654192
626.7518,0.06864371,0.05120153,0.03789966
627.2339,0.06866302,0.05076438,0.03856783
627.716,0.06859893,0.04979996,0.03856792
628.1981,0.06828614,0.04854319,0.03804236
628.6802,0.0675871,0.04724981,0.0371968
629.1624,0.06645254,0.04613012,0.03622802
629.6445,0.06495672,0.04533446,0.0352928
630.1266,0.06329016,0.04492532,0.03447361
630.6087,0.0616964,0.0448917,0.03379212
631.0908,0.0604163,0.04516363,0.03323697
631.5729,0.05959361,0.04563,0.03278694
632.0551,0.05925471,0.04615807,0.03241955
632.5372,0.05932766,0.04659661,0.0321018
633.0193,0.05970594,0.04681261,0.03178154
633.5014,0.06031831,0.0467109,0.03138536
633.9835,0.06117327,0.04626023,0.03083858
634.4656,0.06234926,0.04551356,0.03011118
634.9478,0.06393494,0.04460144,0.02925065
635.4299,0.06593993,0.043708,0.02839681
635.912,0.06823098,0.04300222,0.02773219
636.3941,0.07051244,0.0425992,0.0274258
636.8762,0.07237352,0.04251736,0.02755345
637.3583,0.07342878,0.0426769,0.02805402
637.8405,0.07340081,0.04292057,0.02873675
638.3226,0.0722352,0.04305751,0.02933694
638.8047,0.07012393,0.04293265,0.02962993
639.2868,0.06747642,0.0424549,0.02949633
639.7689,0.06480571,0.04163803,0.02898507
640.251,0.06254906,0.04059144,0.02827943
640.7332,0.06099407,0.03950312,0.02763707
641.2153,0.06018981,0.03858198,0.02727351
641.6974,0.05998626,0.03799365,0.02727567
642.1795,0.06010659,0.03784002,0.02758729
642.6616,0.06026968,0.0381311,0.02803629
643.1437,0.06029569,0.03879871,0.0284234
643.6259,0.06013912,0.0397169,0.02858314
644.108,0.05989706,0.04074366,0.02845805
644.5901,0.05974031,0.04176096,0.02810477
645.0722,0.05984334,0.04269138,0.02766847
645.5543,0.06029338,0.0435143,0.02731255
646.0364,0.06105613,0.04425046,0.02715385
646.5186,0.06198109,0.04493966,0.02723159
647.0007,0.06286103,0.04561064,0.02749533
647.4828,0.06350763,0.04626283,0.02783724
647.9649,0.06381057,0.04685555,0.0281261
648.447,0.06379066,0.04731735,0.02826242
648.9291,0.06358775,0.04755711,0.02820201
649.4113,0.06342335,0.04747905,0.02796759
649.8934,0.0635094,0.04701235,0.02763586
650.3755,0.06399601,0.04612454,0.02731416
650.8576,0.06492965,0.0448417,0.02711171
651.3397,0.06625067,0.04325209,0.02710159
651.8218,0.06782057,0.04150876,0.02730519
652.304,0.06946182,0.03981432,0.02768255
652.7861,0.07101329,0.03836805,0.0281508
653.2682,0.07233898,0.03734366,0.02860497
653.7503,0.07333404,0.03684634,0.02895724
654.2324,0.07392339,0.03689266,0.0291726
654.7145,0.07404339,0.03741417,0.02928016
655.1967,0.07365718,0.03827236,0.02937136
655.6788,0.07277694,0.03929925,0.0295636
656.1609,0.07149384,0.04030759,0.02997174
656.643,0.06999099,0.04112176,0.03066084
657.1251,0.06850804,0.04160205,0.03162101
657.6072,0.06732208,0.04163216,0.03276161
658.0894,0.06666231,0.0411435,0.0339285
658.5715,0.06664152,0.04013245,0.03494732
659.0536,0.06722756,0.03868828,0.03564589
659.5357,0.06823744,0.03700774,0.0359077
660.0178,0.06940314,0.03537131,0.03569993
660.4999,0.07042634,0.03412442,0.03508087
660.9821,0.07108037,0.03357603,0.03419439
661.4642,0.07125158,0.03392486,0.03323929
661.9463,0.0709379,0.03521214,0.03245029
662.4284,0.07023178,0.0372886,0.0320273
662.9105,0.06927668,0.03985955,0.03208648
663.3926,0.06823661,0.04254398,0.0326204
663.8748,0.06725077,0.0450241,0.03349092
