absorbance_1.1_1A,1.1_1A,1.1_2A,1.1_3A,1.1_4A,1.3_1,1.3_1A,1.3_2,1.3_2A,1.3_3,1.3_3A,1.3_4,1.3_4A,1.3_5,3.11_1,3.11_2,3.11_3,3.11_4,3.11_5,3.11_6,3.11_7,3.3_1A,3.3_2A,3.3_3A,3.3_4A,3.3_5A,6.6_1A (2),6.6_1A,6.6_2A (2),6.6_2A,6.6_3A (2),6.6_3A,6.6_4A (2),6.6_4A,6.6_5A,6.7_1A,6.7_2A,6.7_3A,6.7_4A,6.7_5A
541.4171,0.02086838,0.05899888,4.167855e-05,0.02986722,0.05036455,0.05337413,0.02813424,0.04919272,0.06967193,0.03912307,0.01180869,0.04903787,0.09988517,0.03127821,0.05601062,0.07729676,0.03214244,0.05367003,0.0472974,0.02828214,0.005799439,0.03853744,0.007249582,0.03979123,0.03217234,0.04616896,0.03150628,0.0803513,0.05297787,0.06314664,0.09716958,0.02539086,0.05458281,0.01229176,0.05767103,0.01029715,0.05161762,0.01669891,0.07150052
541.8992,0.01970218,0.06101307,0.0,0.03208984,0.06186567,0.05387113,0.02178003,0.04197619,0.06846403,0.04600903,0.008672854,0.03846918,0.1034104,0.03078407,0.06588161,0.07059929,0.02454226,0.05591057,0.04299093,0.02595358,0.003314685,0.04932228,0.004935287,0.0382534,0.03587906,0.05149617,0.03400554,0.08026703,0.05604833,0.05903525,0.1028381,0.0323251,0.05846944,0.0126985,0.06131317,0.01821871,0.04297618,0.02133614,0.06633031
542.3813,0.01744141,0.06377444,0.001823112,0.03355526,0.07278143,0.05176278,0.01864549,0.03239231,0.06624629,0.05348106,0.004083782,0.02356629,0.1043321,0.03002959,0.07243972,0.06320646,0.01798156,0.05657497,0.03890585,0.02336964,0.001786582,0.06076771,0.006108683,0.03783808,0.04095009,0.05787853,0.03647109,0.08032333,0.05892362,0.05562155,0.1084507,0.04110693,0.06151294,0.01469902,0.0638017,0.02703898,0.03536315,0.02506998,0.06142403
542.8635,0.01648743,0.06748953,0.006399147,0.03397366,0.0793559,0.04656247,0.01887992,0.0230486,0.06254415,0.05986847,0.001020117,0.01166461,0.103637,0.02783658,0.07524464,0.05606272,0.0141928,0.05627016,0.03427114,0.02045153,0.0007472187,0.06957956,0.009726983,0.03684101,0.04667605,0.06361879,0.03931042,0.07847857,0.0614423,0.05466105,0.111119,0.04869777,0.0617222,0.01838886,0.0632515,0.03535992,0.02862509,0.02709212,0.05835543
543.3456,0.01791335,0.07247023,0.01341109,0.03365492,0.08111887,0.03881101,0.02167015,0.01553743,0.05720516,0.06387043,0.0,0.004264776,0.1012982,0.02434627,0.07451493,0.04980389,0.01304581,0.05487776,0.03004264,0.01703312,0.00047471,0.07530589,0.01516899,0.03425495,0.05288855,0.06897023,0.04246983,0.07508581,0.06390627,0.05576639,0.1099935,0.05383842,0.05902915,0.0227787,0.05953798,0.04274612,0.02270098,0.02793325,0.0581166
543.8277,0.02148199,0.07891098,0.02114307,0.03337143,0.08114894,0.03266751,0.02551522,0.01280533,0.05050508,0.06482199,0.002929058,0.0,0.09797977,0.02303063,0.07096355,0.04474143,0.01327777,0.05284535,0.02543437,0.01304702,0.0,0.07609326,0.01882778,0.02990427,0.055763,0.07460039,0.0446534,0.07087229,0.06620173,0.05804334,0.1044012,0.05437646,0.05495117,0.02718168,0.05351273,0.04759783,0.01983016,0.03135727,0.05807584
544.3098,0.0287925,0.08661394,0.03088436,0.03404547,0.07544681,0.02326108,0.02870835,0.01086865,0.04324429,0.06239859,0.007601323,0.002996515,0.09241673,0.01788526,0.06564873,0.04091226,0.01549273,0.05081918,0.02536092,0.008716229,0.001623347,0.0755567,0.02475388,0.0233137,0.06223796,0.07896121,0.04757678,0.0659529,0.06855503,0.0602644,0.09704526,0.05364028,0.04818919,0.03048731,0.04591825,0.05302828,0.01493805,0.03174133,0.06332833
544.7919,0.03854837,0.09490228,0.04053256,0.03629211,0.06793254,0.01456429,0.03001582,0.0114029,0.03656084,0.05694563,0.0153164,0.01077097,0.08553829,0.01206283,0.0597399,0.03819296,0.01831273,0.04989605,0.028615,0.00457919,0.004247602,0.07259762,0.02984331,0.01576817,0.06888551,0.08206208,0.04958692,0.06051727,0.0700442,0.06155335,0.08892237,0.05131079,0.04073901,0.03290715,0.03838312,0.05781991,0.009997195,0.03163949,0.070291
545.274,0.04986761,0.1026582,0.04933075,0.0401517,0.05931742,0.006159902,0.02895877,0.0131621,0.03175463,0.04907288,0.02503769,0.02286536,0.07772988,0.004770741,0.05450668,0.03640888,0.02141635,0.05096712,0.03585091,0.001417931,0.007935993,0.06869434,0.03458091,0.008433349,0.07631033,0.08334098,0.05045656,0.05425241,0.07005744,0.06174695,0.0819232,0.0493827,0.03326347,0.0345502,0.03219473,0.06253871,0.004229501,0.02951893,0.07858033
545.7562,0.06006035,0.108724,0.05453092,0.04494566,0.05520628,0.003025658,0.02602779,0.01887359,0.02981408,0.03987473,0.03754906,0.03428525,0.07090823,0.001681872,0.05110259,0.03538352,0.0232911,0.05449569,0.04304573,0.0,0.01038494,0.06219782,0.03486497,0.003068287,0.07793207,0.08387395,0.0482114,0.04716552,0.0678549,0.06133338,0.07578936,0.04661296,0.02824078,0.03609587,0.02849573,0.06471871,0.001781689,0.02984163,0.08236332
