absorbance_1.10_1A,1.10_1A,1.10_2A,1.10_3A,1.9_1A (2),1.9_1A,1.9_2A (2),1.9_2A,1.9_3A (2),1.9_3A,1.9_4A (2),1.9_4A,2.5_1A,2.5_2A,2.5_3A,2.5_4A,4.2_1A,4.2_2A
1599.663,0.0340674,0.0677527,0.06024976,0.01954289,0.01442054,0.01829284,0.01805853,0.0305937,0.01763356,0.03433773,0.05039239,0.05547024,0.03499281,0.04280493,0.02375228,0.03400717,0.07668436
1600.145,0.03403074,0.06784019,0.06027623,0.01967184,0.01440799,0.01827126,0.01796977,0.03055641,0.01768439,0.03442655,0.05041929,0.05555845,0.03519338,0.04279045,0.02392164,0.03411932,0.07672683
1600.627,0.03400185,0.06793115,0.06030815,0.01980019,0.01438098,0.01823091,0.01780719,0.03055751,0.01768916,0.03452346,0.05042613,0.05566202,0.035392,0.04275503,0.02412865,0.03420752,0.07680055
1601.11,0.03398018,0.06801712,0.06037107,0.01991377,0.01434912,0.01815942,0.01759607,0.0305951,0.01764292,0.03461624,0.05039971,0.05576524,0.03557381,0.04268899,0.0243393,0.03425806,0.07688338
1601.592,0.03396666,0.06808498,0.06048347,0.01999959,0.01432717,0.01805364,0.01737376,0.03066288,0.01754972,0.03468675,0.05033137,0.05585493,0.03572298,0.04259793,0.02451462,0.03426111,0.07695366
1602.074,0.03396276,0.06812211,0.06064714,0.02005271,0.01433142,0.01792371,0.01718117,0.03075324,0.01742545,0.03471851,0.05022442,0.05592621,0.03582622,0.04250263,0.02462767,0.03421285,0.07700145
1602.556,0.03396901,0.06812189,0.06084485,0.02007981,0.01437408,0.01779079,0.01705213,0.03086041,0.01729499,0.03470344,0.05009589,0.05598297,0.03587446,0.04242828,0.02467381,0.03411664,0.07703134
1603.038,0.03398256,0.06808743,0.06104378,0.02009718,0.01445831,0.0176829,0.01700723,0.03098039,0.01718829,0.03464573,0.04997638,0.05603498,0.03586425,0.04239206,0.02467246,0.03398188,0.0770568
1603.52,0.03399667,0.06803109,0.06120831,0.02012302,0.01457455,0.01762605,0.0170457,0.03111026,0.01712886,0.03456151,0.04989921,0.05609199,0.03579769,0.04239223,0.02465853,0.03382311,0.07708936
1604.002,0.03400306,0.06796949,0.06131065,0.02017005,0.01470249,0.01763723,0.01714838,0.03124649,0.01712793,0.03447239,0.0498904,0.0561593,0.03568215,0.04240943,0.02466819,0.0336571,0.07712936
1604.484,0.03399539,0.06791762,0.06133993,0.02024195,0.01481513,0.01772253,0.01728362,0.03138301,0.01718078,0.0343997,0.04996219,0.05623642,0.03552944,0.04241599,0.0247277,0.03350426,0.07716385
1604.967,0.03397465,0.06788362,0.06130506,0.02033305,0.01488979,0.0178775,0.0174202,0.03151306,0.01726945,0.03435639,0.05011007,0.05631778,0.03535374,0.04238974,0.02484435,0.03338471,0.07717139
1605.449,0.03394973,0.06786637,0.06123047,0.02043349,0.01491216,0.01809096,0.01753606,0.03162994,0.01736911,0.03434656,0.05031661,0.0563949,0.03517137,0.04232313,0.02500719,0.03331805,0.07713076
1605.931,0.03393758,0.06785904,0.06114922,0.02053447,0.01488178,0.01834743,0.01762259,0.0317282,0.01745295,0.03436664,0.05055496,0.05645691,0.03500266,0.0422254,0.02519114,0.03332206,0.07702816
1606.413,0.0339575,0.06785331,0.06109104,0.02063305,0.01481047,0.01863047,0.01768637,0.03180431,0.01750184,0.03440897,0.0507976,0.05649258,0.03486826,0.04211749,0.02536573,0.03340716,0.07686419
1606.895,0.03402505,0.06784342,0.06107505,0.02073198,0.01472002,0.01892124,0.01774404,0.03185535,0.01750668,0.03446463,0.05101746,0.05648989,0.03478944,0.04202379,0.02550066,0.03357317,0.07665501
1607.377,0.03414617,0.06782959,0.06110324,0.02083616,0.01463558,0.01919707,0.01781636,0.03187731,0.01747143,0.03452414,0.05119072,0.05643778,0.03478257,0.04196332,0.02557313,0.03380482,0.07642965
1607.859,0.0343131,0.06781641,0.06116093,0.02094761,0.01457524,0.01943413,0.01791677,0.03186398,0.01741065,0.03458004,0.05130061,0.05633113,0.03485216,0.04194202,0.02557484,0.03407477,0.07621969
1608.341,0.03450621,0.06780998,0.06122231,0.02106064,0.01454395,0.01960878,0.01804607,0.03180756,0.01734456,0.03462515,0.05133751,0.05617334,0.03498609,0.04195444,0.02551312,0.0343482,0.07605022
1608.823,0.03470004,0.0678133,0.06126138,0.02116122,0.01453118,0.01970256,0.01818998,0.03170176,0.01729105,0.03465392,0.05130059,0.05597953,0.03515545,0.04199066,0.02540739,0.03459307,0.07593165
1609.306,0.03487407,0.06782401,0.06126581,0.02123242,0.01451734,0.0197082,0.01832705,0.03154688,0.01725812,0.03466311,0.05119608,0.05577343,0.03532489,0.04204505,0.02527962,0.03479026,0.07585981
1609.788,0.03501635,0.06783625,0.06123983,0.02125939,0.0144814,0.01963004,0.01843586,0.03135308,0.01724302,0.03465305,0.05103702,0.05558314,0.03545992,0.04211983,0.02514761,0.03493309,0.07582156
1610.27,0.03512451,0.06784567,0.06120276,0.02123487,0.01440986,0.01948508,0.01850481,0.03114183,0.017235,0.03462829,0.05084126,0.05543485,0.03553811,0.04221961,0.02501992,0.03502306,0.07580205
1610.752,0.03520254,0.06785338,0.0611788,0.02116004,0.01430192,0.01929791,0.01853614,0.03094078,0.01722306,0.03459606,0.05062835,0.05534595,0.03555439,0.04234333,0.02489655,0.03506351,0.07579067
1611.234,0.0352555,0.06786749,0.06118934,0.02104221,0.01416752,0.01909928,0.01854588,0.03077988,0.01720067,0.03456464,0.05041958,0.05532478,0.03551945,0.04247741,0.02477279,0.03505484,0.0757807
1611.716,0.03528712,0.06790087,0.06124412,0.02089163,0.01402353,0.01892075,0.01855987,0.03068237,0.0171704,0.03453974,0.05023473,0.05537123,0.03545619,0.04259507,0.02464326,0.03499472,0.07576764
1612.198,0.03529861,0.0679638,0.06133854,0.02071608,0.01388762,0.01878784,0.01860497,0.03065862,0.01714162,0.03452213,0.05008853,0.05548133,0.03538965,0.04266597,0.02450461,0.03488057,0.07574788
1612.68,0.03528904,0.06806045,0.06145619,0.02052052,0.01377587,0.01872179,0.01870557,0.0307054,0.01712778,0.03450845,0.04999184,0.05565117,0.03534306,0.04266172,0.02435596,0.03471292,0.07571563
1613.163,0.03525656,0.06818324,0.0615732,0.02030717,0.01370004,0.01873644,0.01887672,0.03080684,0.01714042,0.03449264,0.04995022,0.05587924,0.03533124,0.04256668,0.02419752,0.0344977,0.07566214
1613.645,0.03519753,0.06831353,0.06166543,0.02007616,0.01366871,0.0188412,0.01912091,0.03094036,0.01718442,0.03447057,0.04996612,0.0561671,0.03535804,0.04238052,0.02402771,0.03424569,0.07557549
1614.127,0.03510701,0.06841841,0.06170952,0.019833,0.01368958,0.01904115,0.01942226,0.03107661,0.01725461,0.03444415,0.05003798,0.05651176,0.03541511,0.04212289,0.02384274,0.03397695,0.07544101
1614.609,0.03497881,0.0684536,0.06168722,0.0195966,0.01377102,0.01933467,0.01973992,0.03118347,0.0173319,0.03442497,0.05015838,0.05689835,0.03548101,0.0418347,0.02363633,0.0337219,0.07525048
1615.091,0.03480867,0.06837185,0.06158903,0.019407,0.01392194,0.01970726,0.02000655,0.03123076,0.01738417,0.03443561,0.05030965,0.05728935,0.03552366,0.04157557,0.02340425,0.03352422,0.07501604
1615.573,0.0346045,0.06813982,0.06142248,0.0193328,0.01414763,0.0201108,0.02012461,0.03119833,0.01736731,0.03450344,0.05045395,0.05761296,0.03550508,0.0414237,0.02315804,0.03344212,0.07480049
1616.055,0.03439867,0.06777462,0.06122346,0.01943884,0.01443668,0.02045934,0.02000627,0.03109564,0.0172508,0.0346445,0.05053841,0.05777603,0.03540654,0.04143779,0.02294103,0.03352574,0.07471681
1616.537,0.03424529,0.06736363,0.06105599,0.01973035,0.01475071,0.02065801,0.01964272,0.03097056,0.01705311,0.03484588,0.05052206,0.0577135,0.03525656,0.04160677,0.02282306,0.03377732,0.07486771
1617.02,0.03419723,0.0670394,0.06099196,0.0201169,0.015031,0.02066256,0.01914668,0.03089368,0.01685615,0.03506753,0.05041027,0.05744602,0.03513006,0.04182811,0.02286478,0.03412709,0.07525555
1617.502,0.03426982,0.06689421,0.06106564,0.02047154,0.01523292,0.02051641,0.01868768,0.03091027,0.0167547,0.03527036,0.05025837,0.05707558,0.03509504,0.04197876,0.02307065,0.03447895,0.07576728
1617.984,0.03443703,0.06693911,0.06125839,0.0207132,0.01534715,0.02030819,0.01837751,0.0310198,0.01679081,0.03543629,0.05012941,0.05671414,0.03517064,0.04199542,0.02339532,0.03477265,0.07627104
1618.466,0.03465446,0.06712914,0.06151886,0.02082695,0.01539154,0.02011801,0.01823718,0.03119437,0.01694558,0.03556459,0.05006554,0.05643872,0.03533623,0.04187794,0.02378071,0.03499566,0.07668711
1618.948,0.03488208,0.06740677,0.06179277,0.02084067,0.0153903,0.01998758,0.01822361,0.03140333,0.0171648,0.03565853,0.0500798,0.05628297,0.0355566,0.04165873,0.02418127,0.03516322,0.07699889
1619.43,0.03509225,0.06772633,0.06203975,0.0207916,0.01536066,0.01992854,0.01827701,0.03162592,0.01739041,0.03571835,0.05016902,0.05625464,0.03580042,0.04137266,0.02456559,0.03529552,0.07722007
1619.912,0.03526647,0.06805295,0.06223656,0.02071258,0.01530846,0.01993582,0.01834303,0.03185171,0.01757245,0.03573953,0.05032395,0.05634805,0.03604094,0.04105038,0.02490811,0.03540784,0.07736742
1620.394,0.0353968,0.06836218,0.0623769,0.02062391,0.0152305,0.01999279,0.01838495,0.03207968,0.01767557,0.03571327,0.05053435,0.05654989,0.03625838,0.04071711,0.02518851,0.03550858,0.07745197
1620.876,0.03548257,0.06863119,0.06246736,0.02053909,0.01511659,0.02007419,0.01838699,0.03231465,0.01767966,0.03563003,0.05078945,0.05684023,0.03643397,0.04040079,0.02538753,0.03559938,0.07747672
1621.359,0.03552978,0.06883299,0.06252347,0.02047097,0.01495639,0.02014312,0.01835879,0.0325612,0.01758287,0.03548511,0.05107436,0.0571882,0.03654585,0.04014362,0.02548662,0.0356745,0.07744334
1621.841,0.03555034,0.06894208,0.06256345,0.02043552,0.01474542,0.02015654,0.01833349,0.03281919,0.01740569,0.03528764,0.05136779,0.05755151,0.03657128,0.03999884,0.02547557,0.03572122,0.07735661
1622.323,0.03555965,0.06894383,0.0625999,0.02045025,0.01449628,0.02007389,0.01835451,0.03307575,0.01719061,0.03507014,0.05163733,0.057872,0.03649317,0.04002318,0.02536309,0.03572274,0.07723147
1622.805,0.03557236,0.06885363,0.06263244,0.02052332,0.0142441,0.01987994,0.01844735,0.03330316,0.01699352,0.03488994,0.05184339,0.05808553,0.03631559,0.04024243,0.02518778,0.03566707,0.07709053
1623.287,0.03559668,0.06872143,0.062652,0.02064549,0.01403149,0.01960496,0.01859399,0.0334703,0.01686062,0.03480337,0.05195722,0.05814986,0.03607259,0.04062006,0.02500632,0.03555995,0.07695284
1623.769,0.03563488,0.06861745,0.06264997,0.02079022,0.01388811,0.0193177,0.01873864,0.03355965,0.01680865,0.03483586,0.0519771,0.05806646,0.03581865,0.0410625,0.02486861,0.03542819,0.07682453
1624.251,0.0356883,0.06859875,0.06262662,0.020928,0.01381622,0.01908916,0.01882305,0.03357693,0.01682483,0.03496459,0.05192814,0.05787674,0.0356009,0.0414716,0.02479323,0.0353074,0.07670135
1624.733,0.03576135,0.06868663,0.06258719,0.02103808,0.01380201,0.01895584,0.01882081,0.03354128,0.01688361,0.03513744,0.05184294,0.05763178,0.03543998,0.04179488,0.02477042,0.03522439,0.07657985
1625.215,0.03586262,0.06887423,0.06253609,0.02111083,0.01382942,0.01892005,0.01873821,0.03347115,0.01696331,0.03529774,0.05174776,0.05737222,0.03533674,0.04202301,0.02478036,0.03519456,0.07646436
1625.698,0.03599978,0.06913754,0.0624723,0.02114707,0.01388905,0.01895989,0.01860639,0.03337557,0.01705486,0.03540469,0.05165567,0.05712091,0.03528302,0.04217298,0.02480748,0.03522293,0.07637055
1626.18,0.03617346,0.06944668,0.0623896,0.02115531,0.01397755,0.01904506,0.01846389,0.03325229,0.01715889,0.03544235,0.05156846,0.05688566,0.03527033,0.04226819,0.02484541,0.03530625,0.07632052
1626.662,0.03637104,0.06976558,0.06227808,0.02115,0.01409244,0.01914256,0.01835138,0.03309339,0.01727902,0.03541943,0.0514797,0.05666809,0.03529252,0.04233068,0.02489404,0.03543203,0.07634038
1627.144,0.03656383,0.07005348,0.06212886,0.02114705,0.01422735,0.01922331,0.01829573,0.03289364,0.01741281,0.03536887,0.05138014,0.0564706,0.03534547,0.04237798,0.02495668,0.03557681,0.07644878
1627.626,0.03671639,0.07027257,0.0619413,0.02115668,0.01437043,0.0192705,0.01830059,0.03265963,0.0175497,0.03533509,0.05126401,0.05629982,0.03542567,0.04242196,0.02503529,0.03571029,0.07664414
1628.108,0.03679716,0.07039339,0.06172841,0.02117841,0.01450568,0.01928398,0.0183444,0.03241513,0.01767332,0.0353595,0.05113511,0.05616803,0.03552802,0.04247089,0.02512719,0.03580185,0.07689747
1628.59,0.03679729,0.07040653,0.06151688,0.02120075,0.01461931,0.01928072,0.01839518,0.03219464,0.01777602,0.03545895,0.05100888,0.05608636,0.03564619,0.04252894,0.02522506,0.03583657,0.07715981
1629.072,0.03673349,0.07032236,0.06133567,0.02120877,0.01470598,0.01928415,0.01843178,0.03202615,0.01786605,0.03561965,0.05090657,0.05605967,0.03577411,0.04259617,0.02531976,0.03581914,0.07738593
1629.554,0.03663687,0.07016373,0.06120598,0.02118981,0.01476827,0.01931383,0.01845288,0.03192242,0.01796472,0.03580739,0.05084872,0.05608742,0.035907,0.0426703,0.02540171,0.03576741,0.07754783
1630.037,0.03653641,0.06995559,0.06113236,0.02114121,0.01481341,0.01937732,0.01847632,0.03187627,0.01809554,0.03598526,0.05084808,0.05616613,0.03604242,0.04274751,0.02546235,0.03570109,0.0776415
1630.519,0.03644713,0.06971877,0.0611045,0.02106977,0.01484811,0.01947106,0.01852428,0.03186817,0.01827343,0.03612818,0.05090849,0.05629208,0.0361797,0.04282492,0.02549417,0.03563222,0.07767972
1631.001,0.03637156,0.06947193,0.06110468,0.02099245,0.01487461,0.01958511,0.01861745,0.03187145,0.01850305,0.03622548,0.05102723,0.05646035,0.03632009,0.04290274,0.02548994,0.03556482,0.07768406
1631.483,0.03630275,0.06923165,0.06111257,0.02093104,0.0148913,0.01970676,0.0187646,0.03186092,0.01877551,0.03628229,0.05119725,0.05666484,0.03646764,0.04298766,0.02544504,0.03549491,0.07767741
1631.965,0.0362328,0.0690112,0.06111114,0.02090639,0.01489432,0.01982485,0.01895965,0.0318165,0.01907274,0.03631494,0.05141173,0.05689744,0.03662973,0.04309501,0.02535948,0.03541389,0.07767931
1632.447,0.03616008,0.06882327,0.06108832,0.02093614,0.01487992,0.01992939,0.01918029,0.03172509,0.0193675,0.03634931,0.05166463,0.05714349,0.03681634,0.04325241,0.02524222,0.03531113,0.07770357
1632.929,0.03609564,0.06867544,0.06103992,0.02102914,0.01484737,0.02001277,0.01939164,0.03158162,0.01963199,0.03641735,0.05195495,0.05738115,0.03703791,0.0434993,0.02511314,0.03517676,0.0777531
1633.411,0.03606546,0.06856867,0.06097021,0.02118634,0.01480069,0.02006927,0.01955196,0.0313882,0.0198441,0.0365546,0.05228743,0.05757752,0.03729995,0.04388344,0.02500344,0.0350039,0.07781753
1633.894,0.036112,0.06849672,0.06089065,0.02139987,0.01475402,0.02009445,0.01961648,0.0311565,0.0199901,0.03679537,0.0526637,0.05768315,0.03758652,0.0444474,0.02496005,0.03479525,0.07787322
1634.376,0.03628133,0.06844711,0.06081649,0.02165446,0.01473457,0.02008522,0.01955206,0.03091005,0.02006772,0.03715522,0.05306877,0.05763772,0.03784043,0.04519274,0.02503664,0.0345719,0.07788823
