absorbance_2.7_1A,2.7_1A,2.7_2A,2.7_3A,2.7_4A
614.2167,0.0192667,0.02755969,0.0891439,0.03662108
614.6989,0.01744605,0.0280291,0.09202142,0.03803832
615.181,0.01498828,0.02844728,0.09479269,0.03896694
615.6631,0.01226864,0.02891085,0.09715655,0.03945089
616.1452,0.009669684,0.02945638,0.09891418,0.03976825
616.6273,0.007489896,0.03003491,0.09999676,0.04028943
617.1094,0.005902352,0.03051534,0.1004565,0.04131755
617.5916,0.004930748,0.03073816,0.1004244,0.04291486
618.0737,0.004502329,0.03056446,0.1000486,0.04487043
618.5558,0.004500316,0.02991678,0.09945735,0.04675059
619.0379,0.004818058,0.02880176,0.09872411,0.04808461
619.52,0.005367517,0.02729885,0.09788591,0.04849455
620.0021,0.006076042,0.02554295,0.09696532,0.04781467
620.4843,0.006884535,0.02369041,0.09599144,0.04613761
620.9664,0.007736225,0.02191242,0.09501527,0.04377066
621.4485,0.008580987,0.02038774,0.09410909,0.0411562
621.9306,0.009386473,0.01927717,0.0933428,0.03872541
622.4127,0.01013905,0.01872521,0.09276954,0.03685439
622.8948,0.01084152,0.01882351,0.09240852,0.03579754
623.377,0.01150146,0.01957415,0.09224109,0.03566039
623.8591,0.01211964,0.02086209,0.09222116,0.03641588
624.3412,0.01268732,0.02244759,0.09229325,0.03790464
624.8233,0.01319382,0.02403131,0.09241293,0.03987516
625.3054,0.01363826,0.02530212,0.09255204,0.04199224
625.7875,0.01404007,0.02605082,0.09269754,0.04390988
626.2697,0.01442711,0.02623622,0.09283517,0.04536104
626.7518,0.01482311,0.02598402,0.0929285,0.04618453
627.2339,0.015221,0.02553668,0.09290862,0.04637317
627.716,0.01558072,0.02514726,0.09268379,0.04604702
628.1981,0.01583352,0.02501693,0.09215242,0.04541413
628.6802,0.01591722,0.02521755,0.09124827,0.04470331
629.1624,0.01580996,0.0256906,0.0899753,0.04410489
629.6445,0.01555472,0.02628085,0.08843592,0.04375935
630.1266,0.01525879,0.02681163,0.0868296,0.04373273
630.6087,0.01506207,0.02716219,0.08541191,0.04403002
631.0908,0.01510086,0.02730729,0.08446127,0.04460698
631.5729,0.01544888,0.0273277,0.08418506,0.04537844
632.0551,0.01609307,0.02736164,0.08466679,0.04622296
632.5372,0.01692681,0.02754334,0.08583408,0.04697364
633.0193,0.01778446,0.02792273,0.08746574,0.04745042
633.5014,0.01848147,0.02843167,0.08923312,0.04748955
633.9835,0.01885241,0.02888305,0.09075609,0.04698983
634.4656,0.01880219,0.02904385,0.09172247,0.04596742
634.9478,0.01831208,0.02871191,0.09193771,0.04456874
635.4299,0.01744005,0.02780341,0.09136979,0.04305092
635.912,0.01629829,0.026403,0.09013998,0.04169074
636.3941,0.01504052,0.02474878,0.08848204,0.04072146
636.8762,0.01384338,0.0231666,0.08668536,0.04025909
637.3583,0.01286831,0.02194036,0.08501218,0.04027694
637.8405,0.01225084,0.02124909,0.08368106,0.04063307
638.3226,0.01206235,0.02110676,0.08283626,0.0411243
638.8047,0.01228344,0.02138015,0.08253168,0.04157068
639.2868,0.0127975,0.02183859,0.08274372,0.04184747
639.7689,0.01340967,0.02224271,0.08337766,0.04191606
640.251,0.01391567,0.02244025,0.08429918,0.04180824
640.7332,0.01414443,0.02239883,0.08534959,0.04159138
641.2153,0.01402757,0.02222135,0.08638649,0.04132383
641.6974,0.01361284,0.02208542,0.08731523,0.04102793
642.1795,0.01304567,0.02219114,0.08808805,0.04068885
642.6616,0.01251293,0.02267389,0.0887052,0.04027005
643.1437,0.01217105,0.02355972,0.08919222,0.03974097
643.6259,0.01211423,0.0247599,0.08957728,0.03909691
644.108,0.01234157,0.02610185,0.08987072,0.03837071
644.5901,0.01277349,0.02739985,0.09006032,0.03763099
645.0722,0.01327735,0.02850031,0.09011359,0.0369812
645.5543,0.01371469,0.02933743,0.08999688,0.03654288
646.0364,0.01397606,0.02993195,0.08969046,0.0364407
646.5186,0.01399012,0.03036511,0.0892009,0.03679943
647.0007,0.01373854,0.03072971,0.08856602,0.03770906
647.4828,0.01324974,0.03108882,0.08784939,0.03920224
647.9649,0.01259954,0.03145111,0.08713518,0.04122368
648.447,0.01189603,0.03176748,0.08650698,0.04362046
648.9291,0.01126846,0.03195058,0.08603708,0.04615123
649.4113,0.01084431,0.03190264,0.08577807,0.04850867
649.8934,0.01070482,0.031558,0.08575448,0.05040102
650.3755,0.01085779,0.03090123,0.08596268,0.05159263
650.8576,0.01121802,0.02998025,0.08636896,0.05194788
651.3397,0.01163451,0.02889443,0.08691311,0.05146559
651.8218,0.01192805,0.02778326,0.08750639,0.05027352
652.304,0.01195926,0.02680175,0.08803837,0.04861303
652.7861,0.011694,0.02607848,0.08840565,0.04677075
653.2682,0.01121994,0.02570238,0.08852631,0.04505337
653.7503,0.01072876,0.0256995,0.08837045,0.04372426
654.2324,0.01042878,0.026031,0.08797866,0.04294582
654.7145,0.01048059,0.02660199,0.08746736,0.04276972
655.1967,0.01090983,0.02728824,0.0870147,0.04311763
655.6788,0.01159204,0.02797991,0.08680945,0.04381253
656.1609,0.01227244,0.02860355,0.08702265,0.04460948
656.643,0.01265598,0.02915062,0.08774212,0.04527139
657.1251,0.01252573,0.0296686,0.08894169,0.04564584
657.6072,0.01180649,0.03023803,0.09046919,0.04568619
658.0894,0.01062434,0.03092387,0.09207647,0.04546396
658.5715,0.009266273,0.03173175,0.09349344,0.04511749
659.0536,0.008137566,0.03258157,0.09447526,0.04480075
659.5357,0.007624803,0.03331606,0.09489416,0.04460855
660.0178,0.007981643,0.03375232,0.09477046,0.04454425
660.4999,0.009281153,0.03372634,0.0942637,0.04452963
660.9821,0.01138419,0.03316452,0.09360992,0.0444526
661.4642,0.01399839,0.03210791,0.09303609,0.04422773
661.9463,0.01672461,0.03071075,0.09270422,0.04383316
662.4284,0.01917868,0.02919581,0.09265273,0.04332114
662.9105,0.02107015,0.02779162,0.09281022,0.04278543
663.3926,0.0222491,0.02668262,0.0930359,0.04231678
663.8748,0.02274297,0.02594697,0.09319771,0.04195166
664.3569,0.02270876,0.02556527,0.09322216,0.0416619
664.839,0.02237247,0.02544919,0.09310856,0.04137115
665.3211,0.02194499,0.02549502,0.09290841,0.04099655
665.8032,0.02158989,0.02561584,0.09268812,0.04048593
666.2853,0.0214131,0.02575869,0.09250054,0.03986208
666.7675,0.02145774,0.02590958,0.09235428,0.0392511
667.2496,0.02173518,0.02606884,0.09223599,0.03890013
667.7317,0.02221968,0.02621515,0.09212997,0.03908959
668.2138,0.0227812,0.02628443,0.09204448,0.03991003
668.6959,0.02320121,0.02619664,0.09199119,0.04112121
669.178,0.02334591,0.02592963,0.09193829,0.04230998
669.6602,0.02327739,0.02554274,0.09184651,0.04320368
670.1423,0.02311241,0.02514438,0.09174104,0.04374993
670.6244,0.0229122,0.02485229,0.09170475,0.04404777
671.1065,0.02268862,0.02476381,0.09181509,0.04424053
671.5886,0.02242099,0.0249582,0.09211382,0.04446974
672.0707,0.02210564,0.02547369,0.09260426,0.04484661
672.5529,0.02177381,0.02629504,0.09326513,0.04543803
673.035,0.0215001,0.02735058,0.09406514,0.04627012
673.5171,0.02137478,0.02852856,0.09496669,0.04732799
673.9992,0.02146119,0.02971576,0.09592405,0.04856773
674.4813,0.02177598,0.030815,0.09687033,0.04991725
674.9634,0.02227703,0.03176858,0.09771709,0.05128055
675.4456,0.02289136,0.03255009,0.09836918,0.05254005
675.9277,0.02354704,0.03314614,0.09874184,0.05355064
676.4098,0.02421037,0.03354715,0.09880313,0.05418029
676.8919,0.02489464,0.03374514,0.09859544,0.05435286
677.374,0.0256452,0.03374206,0.09824448,0.05408719
677.8561,0.0265005,0.03355924,0.09792198,0.05351694
678.3383,0.02745823,0.03323721,0.09779904,0.05286235
678.8204,0.02845506,0.03283232,0.09800819,0.05239145
679.3025,0.02938354,0.0323987,0.09859643,0.05232496
679.7846,0.03012899,0.03197824,0.09952182,0.05278256
680.2667,0.03061471,0.031599,0.100661,0.05374385
680.7488,0.03084362,0.03128001,0.1018534,0.05505756
681.231,0.03089943,0.03104775,0.1029356,0.05648315
681.7131,0.03092091,0.03095131,0.1037742,0.05775412
682.1952,0.03103926,0.03105816,0.1042962,0.05866601
682.6773,0.03134141,0.03144375,0.1044828,0.05909991
683.1594,0.03183893,0.03216273,0.1043678,0.05904614
683.6415,0.03247127,0.03321824,0.1040209,0.05859353
684.1237,0.03312606,0.03454813,0.1035417,0.05790871
684.6058,0.03367361,0.03603255,0.1030402,0.05720199
685.0879,0.0340079,0.03753855,0.1026071,0.05666738
685.57,0.03405245,0.03894731,0.1023073,0.05646368
686.0521,0.03376994,0.04018921,0.1021665,0.05667361
686.5342,0.03316143,0.04125078,0.1021775,0.05729016
687.0164,0.03226985,0.0421513,0.1023141,0.05821663
687.4985,0.03119415,0.0429131,0.1025482,0.05928483
687.9806,0.03008552,0.04353377,0.1028608,0.06030803
688.4627,0.02915688,0.04397386,0.1032396,0.06111504
688.9448,0.02863224,0.04416929,0.1036677,0.06161719
689.4269,0.02868072,0.04406409,0.1041131,0.06183085
689.9091,0.02938083,0.04363427,0.104516,0.06186938
690.3912,0.03067291,0.04291149,0.104806,0.06189522
690.8733,0.03237693,0.04197709,0.1049251,0.06205615
691.3554,0.03420996,0.04095013,0.1048523,0.06244788
691.8375,0.03586785,0.03995279,0.1046241,0.06307408
692.3196,0.03710123,0.03908454,0.1043269,0.06385432
692.8018,0.03775981,0.0384144,0.1040769,0.06464435
693.2839,0.03784628,0.03797307,0.1039688,0.06529308
