absorbance_2.9_1A,2.9_1A,2.9_2,2.9_3A,2.9_4A
595.8963,0.01946123,0.06599925,0.05880727,0.02839395
596.3784,0.01951388,0.06440362,0.05499443,0.02704823
596.8605,0.02079707,0.0620562,0.05046842,0.02560329
597.3427,0.02290685,0.05898321,0.04586666,0.02432099
597.8248,0.02525054,0.055363,0.0419179,0.02338307
598.3069,0.0272256,0.05151807,0.03927812,0.02283731
598.789,0.02831323,0.04791262,0.03841777,0.02258612
599.2711,0.02826746,0.04502681,0.03940853,0.02241601
599.7532,0.02716812,0.04324322,0.04189516,0.02208075
600.2354,0.02541434,0.042775,0.0451554,0.02138133
600.7175,0.02356758,0.0435962,0.04838264,0.02026533
601.1996,0.02215217,0.04547519,0.05095094,0.01883929
601.6817,0.0215082,0.04802102,0.05257116,0.01733998
602.1638,0.0216696,0.05078524,0.05335753,0.01603887
602.6459,0.02240177,0.05330881,0.05369373,0.01517177
603.1281,0.02328004,0.05515809,0.05404869,0.01489544
603.6102,0.0238661,0.05603129,0.0547284,0.01525496
604.0923,0.02382578,0.05579834,0.05577127,0.0162093
604.5744,0.02304685,0.05456641,0.05693362,0.01765716
605.0565,0.02168287,0.05265433,0.0578466,0.01948129
605.5386,0.02011169,0.05052824,0.05817958,0.02155691
606.0208,0.01882217,0.04866276,0.05780976,0.02374653
606.5029,0.01821504,0.04735617,0.05687903,0.02589793
606.985,0.01850274,0.04666502,0.05574863,0.02781262
607.4671,0.01961844,0.04637913,0.05486281,0.02925674
607.9492,0.02126995,0.0461405,0.05455048,0.0300177
608.4313,0.02303504,0.04556865,0.054935,0.02993007
608.9135,0.02453345,0.04443837,0.05588278,0.02894891
609.3956,0.025579,0.04277636,0.05710365,0.02716876
609.8777,0.02621276,0.04086357,0.05825747,0.02482153
610.3598,0.02667718,0.0391392,0.05910268,0.02221495
610.8419,0.02727044,0.03801598,0.05956412,0.01963469
611.324,0.02822159,0.03777922,0.05970599,0.01730037
611.8062,0.02954597,0.03847409,0.05966208,0.01531139
612.2883,0.03103415,0.03994005,0.05953646,0.01366482
612.7704,0.0323009,0.04188268,0.05935607,0.01230962
613.2525,0.03295147,0.04400138,0.05906043,0.01120526
613.7346,0.03274115,0.04607132,0.05856048,0.0103655
614.2167,0.03166334,0.04794293,0.05779518,0.009871754
614.6989,0.02998685,0.04952963,0.05678805,0.009844658
615.181,0.02816963,0.05075921,0.05564445,0.01039245
615.6631,0.02676132,0.05153498,0.05452079,0.0115649
616.1452,0.0261889,0.05175342,0.05354965,0.0133082
616.6273,0.02663033,0.05134105,0.05278928,0.01546521
617.1094,0.02794939,0.0503047,0.05220966,0.01778449
617.5916,0.02974417,0.04875858,0.05172148,0.0199944
618.0737,0.03147482,0.04691328,0.05122878,0.02184604
618.5558,0.03260444,0.04504273,0.05067187,0.02315916
619.0379,0.03278552,0.04340561,0.05004788,0.02387055
619.52,0.03190992,0.04221572,0.04938738,0.02403967
620.0021,0.03013038,0.04162731,0.04871908,0.02383339
620.4843,0.02778082,0.04172068,0.04804213,0.02345924
620.9664,0.02529387,0.04252109,0.04732487,0.02311398
621.4485,0.0230808,0.04399189,0.04653063,0.02291591
621.9306,0.02139682,0.04602841,0.04566039,0.02286208
622.4127,0.0203117,0.04843737,0.04478607,0.02283321
622.8948,0.01970016,0.05093535,0.04405983,0.02262565
623.377,0.01932853,0.05320628,0.04366503,0.02204005
623.8591,0.01893627,0.05492145,0.0437733,0.02093963
624.3412,0.01834929,0.05583151,0.04445294,0.01933263
624.8233,0.01754212,0.05583749,0.04561862,0.01738882
625.3054,0.01662995,0.05500505,0.04701233,0.01542952
625.7875,0.01580837,0.05354654,0.04826508,0.01383142
626.2697,0.01524225,0.05173044,0.04902911,0.01289192
626.7518,0.01500361,0.04982526,0.04905559,0.01276203
627.2339,0.01503033,0.04802736,0.04829637,0.01337613
