absorbance_5.1_1A,5.1_1A,5.1_2A,5.1_3A,5.1_4A,5.1_5A
593.4857,0.1321664,0.08304794,0.03877542,0.0252545,0.1219142
593.9678,0.1303589,0.08472569,0.03636799,0.02667683,0.1211727
594.45,0.1284777,0.08606767,0.03510502,0.02827189,0.1206245
594.9321,0.1270727,0.08704541,0.03453469,0.02928134,0.1203374
595.4142,0.1264203,0.08774961,0.03415298,0.02921861,0.1201046
595.8963,0.1265009,0.08835453,0.03359662,0.02793354,0.1194486
596.3784,0.1270285,0.08903402,0.03279986,0.02566923,0.1178012
596.8605,0.1276226,0.08986254,0.03194126,0.02292651,0.1147579
597.3427,0.1279284,0.09074277,0.03129868,0.02035412,0.1102361
597.8248,0.1277709,0.09137996,0.03103097,0.01852406,0.1045924
598.3069,0.127187,0.09136309,0.03105058,0.01779978,0.09852365
598.789,0.1263947,0.09025555,0.0309909,0.01831341,0.09295745
599.2711,0.1256938,0.08781385,0.03034438,0.01995253,0.08871963
599.7532,0.1253473,0.0841388,0.02868592,0.02244174,0.08629259
600.2354,0.1254974,0.07976724,0.02585949,0.02541085,0.08571014
600.7175,0.1260946,0.07555105,0.02210476,0.02850662,0.08658858
601.1996,0.1269259,0.07241438,0.01798249,0.03144915,0.08835104
601.6817,0.1276616,0.0711257,0.01424534,0.03403988,0.09043577
602.1638,0.127974,0.07202157,0.01156887,0.03617894,0.09250354
602.6459,0.1276139,0.07499017,0.01042125,0.03783047,0.09444407
603.1281,0.1264716,0.07951622,0.01098083,0.03900049,0.09629826
603.6102,0.1246254,0.0848675,0.01310023,0.03971421,0.0981339
604.0923,0.1223326,0.09021918,0.01636775,0.04000858,0.09993108
604.5744,0.1199872,0.09477536,0.02018501,0.03993133,0.1015177
605.0565,0.1179823,0.0979475,0.0239477,0.03954468,0.1026167
605.5386,0.1166316,0.09935418,0.02710849,0.03894357,0.1029226
606.0208,0.1160733,0.09886576,0.02927559,0.03826294,0.1022263
606.5029,0.1162398,0.09660076,0.0302886,0.03765374,0.1005181
606.985,0.1168918,0.09290627,0.03021689,0.03726699,0.09801294
607.4671,0.1176899,0.0883293,0.02936243,0.03720323,0.09512092
607.9492,0.1183192,0.08350012,0.02815571,0.03746977,0.09230834
608.4313,0.1185553,0.07910431,0.02708051,0.03796779,0.09002717
608.9135,0.1183486,0.07573251,0.02650347,0.03851505,0.08857408
609.3956,0.1178354,0.07373239,0.02654585,0.03892354,0.08801252
609.8777,0.1173191,0.07316835,0.02705847,0.03906826,0.08817316
610.3598,0.117181,0.07377409,0.02766754,0.03896682,0.08870752
610.8419,0.1177457,0.07506286,0.02794778,0.03877635,0.08923459
611.324,0.1192007,0.07642626,0.02754717,0.03874669,0.08943728
611.8062,0.121479,0.07735008,0.02635252,0.03909509,0.08919455
612.2883,0.1242571,0.07756479,0.02451132,0.03989343,0.08860385
612.7704,0.1269713,0.07707275,0.02237965,0.04101962,0.08794993
613.2525,0.1289758,0.0761207,0.0203665,0.04217654,0.08759952
613.7346,0.1297348,0.07505724,0.01877834,0.04300246,0.08787645
614.2167,0.1289504,0.07422984,0.01777125,0.04316171,0.08899982
614.6989,0.12673,0.07384197,0.01733384,0.04249248,0.09100645
615.181,0.1235809,0.07391714,0.01737398,0.04105611,0.09376531
615.6631,0.1203673,0.07432223,0.01780386,0.03913574,0.09700623
616.1452,0.1180227,0.07485262,0.01860118,0.03713003,0.1003968
616.6273,0.1172782,0.075328,0.01979442,0.03541718,0.103591
617.1094,0.1184519,0.07565674,0.02139672,0.03425622,0.1062457
617.5916,0.1213167,0.07586498,0.02333396,0.03370023,0.1080758
618.0737,0.1252111,0.07605468,0.02540481,0.03363583,0.1088755
618.5558,0.1292228,0.07635102,0.02730165,0.03386246,0.108562
619.0379,0.1325327,0.07683106,0.02873151,0.03421317,0.1072255
619.52,0.1345682,0.07749784,0.02951246,0.0346101,0.1051433
620.0021,0.1351138,0.07827127,0.02965524,0.03507961,0.1027647
620.4843,0.1342994,0.07902008,0.02934802,0.03570319,0.100579
620.9664,0.1324844,0.07958638,0.02888802,0.03655187,0.09901237
621.4485,0.1301244,0.07982972,0.02856972,0.03762468,0.09827954
621.9306,0.1276151,0.07967186,0.02856805,0.03883382,0.09830292
622.4127,0.1252799,0.07911126,0.02891641,0.04001804,0.09874009
622.8948,0.1233676,0.07823494,0.02951846,0.04099958,0.09910598
623.377,0.12207,0.07718647,0.03022424,0.04165935,0.09899447
623.8591,0.1215552,0.07613656,0.03088501,0.04197107,0.0982087
624.3412,0.1219169,0.07521409,0.03140671,0.04202532,0.09687761
624.8233,0.1230984,0.07444616,0.03175607,0.04199278,0.09539182
625.3054,0.1248247,0.07373109,0.03192922,0.04208204,0.0942907
625.7875,0.1266165,0.07285763,0.03192419,0.04246154,0.09402961
626.2697,0.1279452,0.07159778,0.03172738,0.04320177,0.09478889
626.7518,0.1283592,0.06978516,0.03132407,0.04426187,0.09642988
627.2339,0.127695,0.06742255,0.03072535,0.04550079,0.09854499
627.716,0.1261314,0.064701,0.0299793,0.04673235,0.1006494
628.1981,0.1241539,0.06198407,0.02916704,0.04775567,0.1023021
628.6802,0.1223811,0.05969972,0.02836825,0.04842188,0.1032548
629.1624,0.1213358,0.05820838,0.02762616,0.04866655,0.1034686
629.6445,0.1213129,0.05773266,0.02693492,0.0485156,0.1030598
630.1266,0.1222501,0.05826843,0.02625212,0.04807598,0.102224
630.6087,0.1237905,0.05961565,0.02553936,0.04749248,0.1011571
631.0908,0.1253939,0.06144109,0.02480446,0.04690822,0.1000341
631.5729,0.1265707,0.06341696,0.02412066,0.04640803,0.09898415
632.0551,0.1270357,0.06532124,0.02360411,0.04599951,0.0981058
632.5372,0.1267779,0.06708192,0.02336679,0.0456138,0.09747893
633.0193,0.1260406,0.06877567,0.02344333,0.04514157,0.09714782
633.5014,0.1251952,0.07055913,0.02375469,0.04447864,0.09710672
633.9835,0.1245992,0.07258785,0.02410708,0.04357165,0.09728757
634.4656,0.1244325,0.07492623,0.02427336,0.04245485,0.09758403
634.9478,0.1246535,0.07751343,0.02407918,0.04125034,0.09789208
635.4299,0.1250174,0.08015577,0.02349284,0.04014364,0.09816577
635.912,0.1252023,0.08258872,0.0226541,0.03931595,0.09845094
636.3941,0.1249123,0.08452235,0.02183261,0.03890498,0.09887274
636.8762,0.1239861,0.085704,0.02133039,0.03895938,0.0995814
637.3583,0.1224432,0.08598525,0.02134818,0.03942723,0.1006652
637.8405,0.1204612,0.08532947,0.02193623,0.04016622,0.1021028
638.3226,0.1183224,0.08383429,0.02297263,0.04097646,0.1037435
638.8047,0.1163163,0.08170902,0.02423102,0.04166692,0.1053679
639.2868,0.1147049,0.07926988,0.02543917,0.04208712,0.1067479
639.7689,0.113662,0.07688858,0.02636801,0.04217783,0.1077406
640.251,0.1132503,0.07489784,0.02689424,0.04198252,0.1083375
640.7332,0.1134358,0.07355805,0.02699388,0.04163101,0.1086482
641.2153,0.114109,0.07297656,0.02672885,0.04129177,0.1088445
641.6974,0.1151297,0.07309815,0.02619577,0.04110472,0.1090709
642.1795,0.116345,0.07373069,0.02549707,0.04114941,0.109406
642.6616,0.1176208,0.07461411,0.02471471,0.04140977,0.1098397
643.1437,0.1188568,0.07551055,0.02390599,0.04179113,0.110308
643.6259,0.1199789,0.0762448,0.02311485,0.04214618,0.1107348
644.108,0.1209502,0.07675384,0.02237007,0.04233718,0.1110729
644.5901,0.1217709,0.07707136,0.02168139,0.0422857,0.1113112
645.0722,0.1224787,0.07729432,0.02103734,0.04199423,0.1114492
645.5543,0.1231407,0.07753016,0.02040872,0.04154317,0.1114667
646.0364,0.1238331,0.07785885,0.01976939,0.04105179,0.1113089
646.5186,0.1246188,0.07832795,0.01912257,0.04064423,0.1108954
647.0007,0.1255123,0.078953,0.01852487,0.04040418,0.1101678
647.4828,0.1264608,0.0797344,0.01808807,0.04036164,0.1091315
647.9649,0.1273347,0.08066285,0.0179614,0.04049756,0.1078884
648.447,0.1279659,0.08171505,0.01827263,0.04076323,0.106612
648.9291,0.1281894,0.08283883,0.01907801,0.04110334,0.1054978
649.4113,0.127894,0.08393852,0.02032427,0.04147284,0.1047027
649.8934,0.1270709,0.0848913,0.02185671,0.04184731,0.1042793
650.3755,0.1258174,0.0855669,0.02345723,0.0422156,0.10417
650.8576,0.1243217,0.08586632,0.02490228,0.04256868,0.1042297
651.3397,0.1227948,0.08576443,0.02603763,0.0428914,0.1042982
651.8218,0.1214349,0.08532143,0.02679921,0.04315869,0.1042411
652.304,0.1203795,0.08467549,0.02721968,0.04333745,0.1039868
652.7861,0.1196849,0.08399033,0.02739635,0.04339582,0.1035304
653.2682,0.1193505,0.08342139,0.02745842,0.04330532,0.1029092
653.7503,0.1193484,0.08307394,0.02752952,0.04304641,0.1021804
654.2324,0.1196536,0.08298701,0.0276982,0.04261515,0.1014048
654.7145,0.1202466,0.08315428,0.02802087,0.04203127,0.1006569
655.1967,0.1210905,0.0835487,0.0285169,0.04134756,0.1000321
655.6788,0.1221069,0.08414981,0.02917184,0.04064974,0.09963401
656.1609,0.1231477,0.08494768,0.02993378,0.04005714,0.0995623
656.643,0.1240118,0.08592939,0.03071049,0.03969834,0.09986913
657.1251,0.1245088,0.0870557,0.03138527,0.03967294,0.1005273
657.6072,0.1245047,0.0882305,0.03182142,0.04003299,0.1014203
658.0894,0.1239982,0.08929885,0.03190398,0.04075377,0.1023646
658.5715,0.123132,0.09007967,0.03157916,0.04174173,0.103174
659.0536,0.122178,0.09039393,0.03087604,0.04284695,0.103699
659.5357,0.1214434,0.09013461,0.02991299,0.04391162,0.1038907
660.0178,0.1211652,0.0893029,0.02885942,0.04481602,0.1038056
660.4999,0.121456,0.08801254,0.02790177,0.04549588,0.1035822
660.9821,0.1222662,0.08645613,0.02717779,0.04595262,0.1033823
661.4642,0.123428,0.08484668,0.02674983,0.04622971,0.1033378
661.9463,0.1247066,0.08338472,0.0266038,0.04639005,0.1035336
662.4284,0.1258856,0.08220214,0.02666522,0.04649089,0.103989
662.9105,0.1268144,0.08135139,0.02683475,0.04658054,0.1046718
663.3926,0.1274225,0.08081137,0.02701739,0.04670592,0.1055085
663.8748,0.1277229,0.08050787,0.02715393,0.04691419,0.1063982
664.3569,0.1277787,0.08034678,0.02722463,0.04725584,0.1072252
664.839,0.1276745,0.08023562,0.02724556,0.04777659,0.1078745
665.3211,0.1274815,0.08010774,0.02724879,0.04850079,0.1082669
665.8032,0.1272577,0.07992138,0.02727836,0.04941118,0.108383
666.2853,0.1270626,0.07966249,0.02738244,0.05041195,0.1082575
666.7675,0.1269615,0.07934433,0.02760086,0.05131171,0.1079816
667.2496,0.1270514,0.07901884,0.02793722,0.05180991,0.1076028
667.7317,0.1274137,0.07877694,0.02833156,0.05161365,0.1070664
668.2138,0.1280402,0.07870796,0.02875364,0.05068259,0.1062331
668.6959,0.128761,0.07884617,0.02924286,0.04935842,0.1050916
669.178,0.1292825,0.07915435,0.02980298,0.04813387,0.1039902
669.6602,0.1293842,0.0795742,0.03030982,0.04728438,0.103379
670.1423,0.1290535,0.08007222,0.03065184,0.04681261,0.1034212
670.6244,0.1284571,0.08064452,0.03080791,0.04655436,0.1039552
671.1065,0.1277923,0.08129752,0.03080644,0.04632267,0.1047558
671.5886,0.1272292,0.08202965,0.03070824,0.04596673,0.1056849
672.0707,0.1268678,0.08282102,0.03057338,0.04542021,0.1066995
672.5529,0.1267337,0.08363996,0.03044751,0.04471274,0.1077978
673.035,0.1268001,0.08445396,0.03035554,0.04396641,0.1089358
673.5171,0.1270049,0.0852575,0.03028634,0.04335444,0.1100166
673.9992,0.1272844,0.08608484,0.03019724,0.04303469,0.1109262
674.4813,0.1275891,0.08700791,0.03001808,0.04311847,0.1115847
674.9634,0.1278941,0.08810481,0.02968382,0.04363725,0.1120112
675.4456,0.1281872,0.08941879,0.02916381,0.044556,0.1123263
