absorbance_6.10_1 (1),6.10_1 (1),6.10_2,6.10_3,6.10_4
629.6445,0.07455663,0.01037343,0.004901111,0.05824715
630.1266,0.07501619,0.01050259,0.00462777,0.05833822
630.6087,0.07563417,0.01104705,0.004844331,0.05831066
631.0908,0.07632188,0.01189138,0.005728485,0.05792964
631.5729,0.0769714,0.01288892,0.00722436,0.05709848
632.0551,0.07746676,0.01391763,0.009076592,0.055896
632.5372,0.07769266,0.01490927,0.01091263,0.05457289
633.0193,0.077569,0.01585534,0.01241209,0.05345288
633.5014,0.07706963,0.01677424,0.01340502,0.05283099
633.9835,0.07624876,0.01767601,0.01391737,0.05287755
634.4656,0.07523885,0.01853962,0.01412483,0.05356781
634.9478,0.07423253,0.0193182,0.01425349,0.05469759
635.4299,0.07344031,0.01996455,0.01447102,0.05594773
635.912,0.07301122,0.02046223,0.01481202,0.05702049
636.3941,0.072992,0.02083601,0.01519256,0.05771243
636.8762,0.07329523,0.02114093,0.01546905,0.05797664
637.3583,0.07373443,0.02142899,0.01553397,0.05791231
637.8405,0.07406834,0.02172528,0.01535944,0.05771282
638.3226,0.07409111,0.02201657,0.01501263,0.05758903
638.8047,0.07371696,0.02226657,0.01460895,0.05768594
639.2868,0.07300627,0.02243774,0.01426397,0.05805301
639.7689,0.07216053,0.02251679,0.01404349,0.05862917
640.251,0.07143871,0.02251813,0.01394746,0.05928366
640.7332,0.07109594,0.02246579,0.01393441,0.05985609
641.2153,0.07129183,0.0223658,0.01395362,0.06022266
641.6974,0.07205336,0.02219139,0.0139759,0.06033949
642.1795,0.07329105,0.02188908,0.01398739,0.06024693
642.6616,0.07483833,0.0214182,0.013972,0.06005548
643.1437,0.07651692,0.02079583,0.01388589,0.05989964
643.6259,0.07815202,0.02012943,0.01364362,0.05990861
644.108,0.07960194,0.01960637,0.01314312,0.06016278
644.5901,0.08075593,0.0194341,0.0123147,0.06068185
645.0722,0.08151532,0.01978094,0.01116684,0.06143034
645.5543,0.08180719,0.02069269,0.009813607,0.06233567
646.0364,0.0816019,0.02207138,0.008449685,0.06331152
646.5186,0.08093794,0.02368964,0.007309584,0.06426067
647.0007,0.07993982,0.02527583,0.006578529,0.06508616
647.4828,0.07880555,0.02659878,0.006342545,0.06569138
647.9649,0.07777653,0.02752699,0.0065684,0.06597823
648.447,0.077051,0.02806871,0.007126746,0.06587666
648.9291,0.07672205,0.02834188,0.007844833,0.06536786
649.4113,0.07673427,0.0285222,0.008562382,0.06451122
649.8934,0.07690115,0.02876214,0.009191805,0.06344204
650.3755,0.07696203,0.02915587,0.009725517,0.06235629
650.8576,0.07666565,0.02972296,0.01022099,0.06146767
