absorbance_1.7_1A,1.7_1A,1.7_2A,1.7_3A,1.7_4A,1.7_5
1330.642,0.09469964,0.09727687,0.07836416,0.08737189,0.09990937
1331.124,0.09470092,0.09732423,0.07833683,0.08730562,0.09989811
1331.606,0.09472841,0.0973987,0.07835295,0.08722515,0.09993163
1332.089,0.09477611,0.09748583,0.07839006,0.08714356,0.1000072
1332.571,0.0948374,0.0975704,0.07842871,0.08706387,0.1001191
1333.053,0.09490949,0.09764056,0.07846026,0.08698206,0.1002593
1333.535,0.09499544,0.09769222,0.07848878,0.08689381,0.100417
1334.017,0.09510359,0.09772978,0.07852893,0.08680202,0.1005796
1334.499,0.09524378,0.09776402,0.0785978,0.08671891,0.1007346
1334.981,0.09542321,0.09780949,0.07870914,0.08666535,0.1008699
1335.463,0.09564203,0.09787968,0.07886633,0.08666374,0.1009778
1335.945,0.09589344,0.09798224,0.07906158,0.08672976,0.1010586
1336.427,0.0961635,0.09811851,0.0792767,0.08686978,0.1011229
1336.91,0.09643615,0.09828411,0.07949099,0.08707881,0.1011901
1337.392,0.09669901,0.09847248,0.07968833,0.08734714,0.1012853
1337.874,0.09694338,0.09867567,0.07986116,0.0876615,0.1014334
1338.356,0.09716735,0.09888639,0.08001295,0.08800838,0.1016483
1338.838,0.09737258,0.09909737,0.08015428,0.08837231,0.1019252
1339.32,0.09756359,0.09929805,0.08029713,0.08873154,0.1022378
1339.802,0.09774621,0.0994771,0.08044627,0.08906011,0.1025498
1340.284,0.09792672,0.09962428,0.08059683,0.08933552,0.1028323
1340.767,0.09811091,0.09973399,0.08073857,0.08954527,0.1030748
1341.249,0.09830137,0.09980587,0.08086313,0.08969042,0.1032851
1341.731,0.09849547,0.09984506,0.08096907,0.08978435,0.1034791
1342.213,0.0986864,0.09986249,0.08106238,0.08984983,0.1036714
1342.695,0.0988628,0.09987303,0.08115519,0.08991356,0.1038681
1343.177,0.09901253,0.09989536,0.08126166,0.09000179,0.1040661
1343.659,0.09912443,0.09994945,0.08139586,0.09013639,0.1042543
1344.141,0.09919471,0.1000509,0.08156562,0.09032705,0.1044195
1344.624,0.09922939,0.1002069,0.08177143,0.09056853,0.1045499
1345.106,0.09924723,0.1004138,0.0820049,0.09084076,0.1046398
1345.588,0.09927435,0.1006582,0.08225159,0.09111677,0.1046921
1346.07,0.09933966,0.1009206,0.08249363,0.09136976,0.1047158
1346.552,0.09946597,0.1011808,0.08271436,0.09158116,0.1047242
1347.034,0.09966223,0.1014233,0.08290307,0.09174666,0.1047295
1347.516,0.09992123,0.1016375,0.08305507,0.09187551,0.1047432
1347.998,0.10022,0.1018176,0.08317284,0.09198633,0.1047737
1348.48,0.100528,0.1019612,0.08326317,0.09209976,0.104827
1348.963,0.1008121,0.1020673,0.08333518,0.0922318,0.1049053
1349.445,0.1010458,0.102136,0.08339654,0.09238846,0.1050055
1349.927,0.1012142,0.1021712,0.08345124,0.09256307,0.1051189
1350.409,0.1013126,0.1021817,0.08349863,0.09273981,0.1052295
1350.891,0.1013436,0.1021822,0.08353452,0.0928984,0.1053172
1351.373,0.1013126,0.1021895,0.08355388,0.09302241,0.1053644
1351.855,0.1012257,0.1022199,0.08355229,0.09310155,0.1053586
1352.337,0.1010894,0.1022813,0.08352913,0.09313519,0.1052983
1352.82,0.1009106,0.1023695,0.08348847,0.09312981,0.1051935
1353.302,0.1007022,0.1024657,0.08343983,0.09309663,0.1050644
1353.784,0.1004825,0.1025409,0.08339716,0.09304664,0.1049355
1354.266,0.1002753,0.1025669,0.08337621,0.0929881,0.1048277
1354.748,0.1001077,0.1025257,0.08339152,0.0929253,0.104754
1355.23,0.1000027,0.1024221,0.08345154,0.09286071,0.1047146
1355.712,0.09997545,0.1022832,0.08355567,0.09279691,0.1046998
1356.194,0.1000299,0.1021543,0.0836937,0.09274003,0.1046941
1356.677,0.1001595,0.1020814,0.08384891,0.09269847,0.1046839
1357.159,0.1003497,0.1020975,0.08400254,0.09268179,0.1046622
1357.641,0.10058,0.1022149,0.08413766,0.09269714,0.1046296
1358.123,0.1008278,0.1024207,0.08424461,0.09274563,0.1045936
1358.605,0.1010711,0.1026827,0.08432236,0.09282148,0.1045656
1359.087,0.1012876,0.1029562,0.0843785,0.09291221,0.1045606
1359.569,0.1014601,0.1031989,0.08442631,0.09300362,0.1045946
1360.051,0.1015746,0.103378,0.08448157,0.09308256,0.1046853
1360.533,0.1016222,0.1034768,0.08455833,0.09314059,0.1048509
1361.016,0.1016003,0.1034982,0.08466395,0.09317676,0.1051063
1361.498,0.1015147,0.1034645,0.08479816,0.09319647,0.1054535
1361.98,0.1013836,0.1034138,0.08495195,0.09320892,0.1058702
1362.462,0.1012378,0.1033874,0.0851115,0.09322553,0.1063076
1362.944,0.1011191,0.1034188,0.08526495,0.09325798,0.106702
1363.426,0.1010669,0.1035211,0.08540614,0.09331583,0.107001
1363.908,0.1011034,0.1036846,0.08553531,0.09340236,0.1071848
1364.39,0.1012324,0.1038855,0.08565538,0.0935134,0.1072625
1364.872,0.1014417,0.1040951,0.0857683,0.09363744,0.1072606
1365.354,0.1017105,0.1042895,0.08587393,0.09375917,0.107206
1365.837,0.1020137,0.1044511,0.08597244,0.09386413,0.1071241
1366.319,0.1023235,0.1045719,0.0860664,0.0939421,0.1070363
1366.801,0.1026119,0.1046539,0.08616269,0.09399053,0.1069605
1367.283,0.102849,0.1047086,0.08627269,0.09401655,0.106915
1367.765,0.1030108,0.1047545,0.0864081,0.09403768,0.106917
1368.247,0.1030873,0.1048102,0.08657369,0.09407576,0.1069801
1368.729,0.1030862,0.1048883,0.08676284,0.09415101,0.1071114
1369.211,0.1030328,0.1049897,0.08695718,0.09427041,0.1073093
1369.694,0.1029598,0.1051059,0.08713318,0.09442484,0.1075642
1370.176,0.1029018,0.1052235,0.08727146,0.09459148,0.1078611
1370.658,0.1028866,0.1053343,0.08736668,0.09474529,0.1081853
1371.14,0.1029367,0.105441,0.08742947,0.09487014,0.1085279
1371.622,0.1030757,0.1055623,0.08748896,0.09496983,0.1088882
1372.104,0.1033311,0.1057322,0.08758692,0.0950739,0.1092758
1372.586,0.1037338,0.1059936,0.08777224,0.09523668,0.1097083
1373.068,0.1043079,0.1063878,0.08809251,0.09553021,0.1102061
1373.551,0.1050521,0.1069319,0.08857422,0.09601424,0.1107793
1374.033,0.1059243,0.107602,0.08920632,0.09670746,0.1114177
1374.515,0.1068404,0.1083326,0.08993464,0.09756745,0.1120879
1374.997,0.1077086,0.1090457,0.09068222,0.09850933,0.1127439
1375.479,0.1084574,0.1096794,0.09137467,0.09944077,0.1133403
1375.961,0.1090454,0.1101985,0.09195383,0.1002884,0.1138381
1376.443,0.1094526,0.1105867,0.09237873,0.1010018,0.1142026
1376.925,0.1096604,0.1108286,0.09260897,0.1015359,0.1143954
1377.407,0.1096458,0.1109012,0.09260151,0.1018362,0.1143753
1377.89,0.109387,0.1107795,0.09232397,0.1018474,0.1141116
1378.372,0.1088753,0.1104453,0.09176707,0.1015204,0.1135961
1378.854,0.10813,0.1099019,0.09096316,0.1008415,0.1128567
1379.336,0.1071986,0.1091774,0.08997983,0.09984727,0.1119521
1379.818,0.1061501,0.1083198,0.08890449,0.09862405,0.1109585
1380.3,0.1050553,0.1073809,0.08781449,0.09728658,0.109944
1380.782,0.1039684,0.1064002,0.08675381,0.09594206,0.1089493
1381.264,0.1029308,0.1054077,0.08573839,0.0946815,0.107993
1381.747,0.1019701,0.1044243,0.08476617,0.0935633,0.1070788
1382.229,0.101104,0.1034671,0.08383398,0.0926083,0.1062073
1382.711,0.1003439,0.1025541,0.08294849,0.09180747,0.1053843
1383.193,0.09969105,0.1016987,0.08212668,0.09112593,0.1046187
1383.675,0.09913213,0.1009032,0.08138569,0.0905169,0.1039156
1384.157,0.09864038,0.100158,0.08073648,0.08993047,0.1032715
1384.639,0.09817821,0.09944243,0.0801751,0.08932642,0.1026714
1385.121,0.0977048,0.09873264,0.07968432,0.08868004,0.1020924
1385.604,0.09718008,0.0980133,0.07923635,0.08798628,0.1015112
1386.086,0.09657864,0.09728944,0.0788046,0.08726314,0.1009175
1386.568,0.09590071,0.09659204,0.07837561,0.08654898,0.1003236
1387.05,0.09517661,0.09596784,0.07795715,0.08589377,0.09976561
1387.532,0.09445889,0.09545615,0.0775755,0.0853413,0.09928881
1388.014,0.09379796,0.09506675,0.07725798,0.08491306,0.09892197
1388.496,0.09322219,0.09477636,0.07701452,0.08460467,0.09866309
1388.978,0.09273417,0.09454741,0.07683325,0.08439426,0.09848364
1389.46,0.0923212,0.09434665,0.07668816,0.08425458,0.09834497
1389.943,0.09196751,0.09415521,0.07654866,0.08415855,0.09821093
1390.425,0.09165871,0.09396914,0.07639035,0.08408047,0.09805763
1390.907,0.09138264,0.09379247,0.07619731,0.08399424,0.09787354
1391.389,0.0911254,0.09362892,0.07596484,0.08387141,0.09765778
1391.871,0.0908686,0.09347368,0.07569648,0.08368421,0.09741428
1392.353,0.09059019,0.09330913,0.07540226,0.08340854,0.09714717
1392.835,0.09026835,0.09310506,0.07509613,0.08303198,0.09685563
