absorbance_2.4_1A,2.4_1A,2.4_2A,2.4_3A
744.8704,0.06177901,0.0518097,0.06567944
745.3525,0.0616448,0.05205763,0.06540504
745.8346,0.06125285,0.05203968,0.06501375
746.3167,0.06061086,0.05176263,0.06455649
746.7988,0.05978528,0.05126639,0.06408671
747.2809,0.05888575,0.05060392,0.06364907
747.7631,0.05803691,0.04982577,0.06326386
748.2452,0.05734291,0.04897653,0.06292866
748.7273,0.0568798,0.04811159,0.06262871
749.2094,0.05667292,0.04730769,0.06235529
749.6915,0.05669455,0.04665834,0.06212005
750.1736,0.05687032,0.0462696,0.06196253
750.6558,0.0570997,0.04622227,0.06194141
751.1379,0.05728753,0.04653628,0.06211039
751.62,0.0573607,0.04714741,0.06249905
752.1021,0.05729347,0.04790459,0.06308776
752.5842,0.05710709,0.04860833,0.06380678
753.0663,0.0568598,0.04904284,0.06454085
753.5485,0.05662002,0.04905564,0.06516644
754.0306,0.05643908,0.04860014,0.06558578
754.5127,0.05633834,0.04775028,0.06574874
754.9948,0.05630443,0.04667802,0.0656681
755.4769,0.05630634,0.04560117,0.06540395
755.959,0.05631557,0.04473848,0.065042
756.4412,0.05632707,0.04423691,0.06465738
756.9233,0.0563614,0.04415214,0.06429531
757.4054,0.05645543,0.04444218,0.06396477
757.8875,0.05663471,0.04499483,0.06364556
758.3696,0.05689196,0.0456631,0.06330774
758.8517,0.05717394,0.04630252,0.06293185
759.3339,0.0573976,0.04681078,0.06252192
759.816,0.05747151,0.04712918,0.06210618
760.2981,0.05732745,0.04724148,0.06172686
760.7802,0.05696739,0.04716263,0.06142691
761.2623,0.05644975,0.04692718,0.06123451
761.7444,0.05587717,0.04658029,0.06115485
762.2266,0.05535273,0.04616788,0.06117031
762.7087,0.05495372,0.04573643,0.0612451
763.1908,0.05470173,0.04532505,0.06133344
763.6729,0.05456444,0.044958,0.06139041
764.155,0.05447106,0.04464272,0.06137042
764.6371,0.05434587,0.04436783,0.06123392
765.1193,0.05414111,0.04411016,0.06095448
765.6014,0.05384761,0.04384171,0.0605227
766.0835,0.05349686,0.04354311,0.05995805
766.5656,0.05314019,0.04321061,0.05931082
767.0477,0.05283278,0.04285666,0.05866595
767.5298,0.05261217,0.04250414,0.05812692
768.012,0.05249304,0.04217494,0.05779126
768.4941,0.05247216,0.04188259,0.05773552
768.9762,0.05253593,0.04162593,0.05798501
769.4583,0.05266904,0.04139153,0.05850774
769.9404,0.05285448,0.04115877,0.05921527
770.4225,0.05307203,0.04091032,0.0599875
770.9047,0.05329328,0.04063943,0.06069944
771.3868,0.05347777,0.0403523,0.0612387
771.8689,0.05358295,0.04006674,0.06153463
772.351,0.0535756,0.03980624,0.06156126
772.8331,0.05344586,0.03959375,0.06133516
773.3152,0.05321758,0.03944121,0.06090312
773.7974,0.0529463,0.03934446,0.06032918
774.2795,0.05270699,0.03927846,0.05968184
774.7616,0.05256348,0.03920098,0.05901717
775.2437,0.05255039,0.03905865,0.05837769
775.7258,0.0526516,0.03880028,0.05778826
776.2079,0.05280538,0.03839884,0.05725646
776.6901,0.05291585,0.03786545,0.05677827
777.1722,0.05288509,0.03726135,0.05634301
777.6543,0.05265404,0.03668148,0.05594169
778.1364,0.05222066,0.03624124,0.05557166
778.6185,0.05165128,0.03603604,0.05523861
779.1006,0.05105596,0.03610424,0.05495322
