absorbance_6.5_1A,6.5_1A,6.5_2A,6.5_3A,6.5_4A,6.5_5A,6.5_6A
650.3755,0.02899076,0.07085381,0.02577407,0.01791853,0.05361036,0.06388518
650.8576,0.02864098,0.06985526,0.02527051,0.01791026,0.05236072,0.06382306
651.3397,0.02907275,0.06855616,0.02466385,0.01813134,0.0514228,0.06401725
651.8218,0.03044748,0.0671673,0.02401932,0.01852459,0.05075301,0.06435947
652.304,0.0327003,0.0659368,0.02337347,0.01900515,0.05023176,0.06470336
652.7861,0.03556158,0.06509118,0.02275615,0.01951219,0.04969974,0.06493258
653.2682,0.03860372,0.06480896,0.02222232,0.02002252,0.04899026,0.06499657
653.7503,0.04134709,0.06515544,0.02186789,0.02053787,0.04799353,0.06493364
654.2324,0.04340484,0.06605533,0.02180606,0.0210464,0.04670952,0.06484457
654.7145,0.04451815,0.06729516,0.0221462,0.02147929,0.0452663,0.06485954
655.1967,0.04461293,0.06857572,0.02293807,0.02169588,0.04390849,0.06508262
655.6788,0.04378119,0.06961916,0.02413854,0.02152568,0.04291277,0.06555445
656.1609,0.04224781,0.07022317,0.0255948,0.02081528,0.04253808,0.06624851
656.643,0.04031248,0.07033484,0.02706436,0.0195153,0.04292826,0.06708242
657.1251,0.03827442,0.07004394,0.02828325,0.01772218,0.04407702,0.06795398
657.6072,0.03641791,0.06954352,0.02899863,0.01568361,0.0458378,0.06876034
658.0894,0.03494846,0.06904956,0.02905063,0.01373474,0.04797877,0.06942467
658.5715,0.03396192,0.06872132,0.02841518,0.01218493,0.05026715,0.06990708
659.0536,0.03344177,0.06863815,0.0272142,0.01125593,0.05250698,0.07020202
659.5357,0.03326392,0.06879304,0.02569631,0.01099793,0.05458678,0.07033804
660.0178,0.03325026,0.06913959,0.02416401,0.01130478,0.05646664,0.07036798
660.4999,0.03321249,0.06964133,0.02293148,0.01196309,0.05813282,0.07036322
660.9821,0.03302896,0.07030486,0.02222929,0.01274786,0.05955695,0.07039593
661.4642,0.03267997,0.07116856,0.02216748,0.0134969,0.06066921,0.07052297
661.9463,0.03224973,0.07226655,0.02273094,0.0141321,0.06136074,0.07077888
662.4284,0.03188655,0.07357645,0.02378711,0.01466089,0.06153668,0.07116093
662.9105,0.03173594,0.07499689,0.02513265,0.01513131,0.06117136,0.07163132
663.3926,0.03188406,0.07635381,0.02653128,0.01558704,0.0603484,0.07212286
663.8748,0.03231194,0.0774722,0.02779191,0.01603656,0.05925529,0.07256215
664.3569,0.03291429,0.07822719,0.02879396,0.01645387,0.05813269,0.07288762
664.839,0.03354224,0.07857062,0.02948597,0.0167921,0.05721014,0.07306372
665.3211,0.03407396,0.07853343,0.02987836,0.01701588,0.05662296,0.07309744
665.8032,0.03445112,0.07819177,0.03000852,0.01711508,0.05638503,0.07303803
666.2853,0.03469546,0.07765505,0.02992788,0.01712691,0.05639148,0.07296258
666.7675,0.03490249,0.07703531,0.02969145,0.01714363,0.05644597,0.07295692
667.2496,0.03518232,0.07647546,0.02938617,0.01732256,0.05637053,0.07305218
667.7317,0.03556943,0.07610733,0.02912951,0.01781782,0.05612512,0.07316082
668.2138,0.03595345,0.07591394,0.0289606,0.01858762,0.05585784,0.07302043
668.6959,0.03617072,0.07570006,0.02882215,0.01936039,0.05573343,0.07241137
669.178,0.03621792,0.0752892,0.02870633,0.01987262,0.05564855,0.0715553
669.6602,0.03626277,0.07471631,0.02873352,0.02008986,0.05535476,0.07099548
670.1423,0.03647924,0.07412743,0.02899517,0.02009127,0.05477186,0.07109632
670.6244,0.03694455,0.07366365,0.02946454,0.01994959,0.05408527,0.07184111
671.1065,0.0376579,0.07341623,0.03005187,0.01971023,0.0535721,0.07302535
671.5886,0.03857247,0.07341769,0.03062627,0.01939434,0.0534872,0.07438937
672.0707,0.03959234,0.07365392,0.03106211,0.01903037,0.05398661,0.07569804
672.5529,0.04059019,0.074076,0.0312736,0.01866338,0.05509146,0.07677954
673.035,0.04141288,0.07461227,0.03122933,0.01836389,0.0566952,0.07750918
673.5171,0.04194896,0.07518835,0.03098253,0.01820998,0.05857721,0.07785213
673.9992,0.04217538,0.07574727,0.03065331,0.0182582,0.06048374,0.07785953
674.4813,0.0421717,0.07625662,0.0304134,0.01853358,0.06218349,0.07766075
674.9634,0.04209042,0.0767117,0.0304217,0.01901828,0.06355203,0.07741921
675.4456,0.04209051,0.07712522,0.0307771,0.0196677,0.06458483,0.07728502
675.9277,0.04228932,0.07751761,0.03149709,0.02043433,0.06536949,0.07737601
676.4098,0.04271022,0.07790436,0.03250236,0.02129691,0.0660283,0.07774004
676.8919,0.04328794,0.07828864,0.03364547,0.02226976,0.06665125,0.07835306
677.374,0.04389934,0.07865708,0.03473897,0.02339625,0.06725922,0.07912575
677.8561,0.04442873,0.07898207,0.03562064,0.02471414,0.06779101,0.07993682
678.3383,0.04481563,0.0792286,0.03619018,0.02621923,0.06813808,0.08066584
678.8204,0.04507358,0.07936131,0.03642511,0.02783407,0.06819032,0.08121733
679.3025,0.04527665,0.07936016,0.03638173,0.02941458,0.06789903,0.08154663
679.7846,0.04552102,0.07923102,0.03617247,0.03078042,0.06730444,0.08165848
680.2667,0.04588553,0.07901119,0.03594251,0.03176698,0.06654094,0.08159623
680.7488,0.04639571,0.07876217,0.03581948,0.0322989,0.06578551,0.08141875
681.231,0.0470227,0.07855688,0.0358928,0.03241557,0.06521165,0.08117906
681.7131,0.0477004,0.07846124,0.0361921,0.03226525,0.06493977,0.08091351
